aluno_id,escola,serie,turno,idade,sexo,renda_familiar,escolaridade_pais,acesso_internet,frequencia_pct,nota_matematica,nota_portugues,nota_media_geral
ALU-00114,Escola Alpha,7º Ano,Tarde,17,F,Até 1 SM,Médio Completo,0,85.6,30.1,44.1,37.1
ALU-00115,Escola Alpha,7º Ano,Tarde,17,F,2-3 SM,Médio Completo,1,100.0,63.2,63.4,63.3
ALU-00116,Escola Alpha,7º Ano,Tarde,19,F,Até 1 SM,Fundamental Completo,1,83.2,46.0,52.4,49.2
ALU-00117,Escola Alpha,7º Ano,Tarde,17,M,1-2 SM,Médio Completo,1,93.6,63.3,58.3,60.8
ALU-00118,Escola Alpha,7º Ano,Tarde,18,M,Até 1 SM,Superior Completo,1,78.1,85.6,61.6,73.6
ALU-00119,Escola Alpha,8º Ano,Manhã,20,M,1-2 SM,Fundamental Completo,0,73.8,32.6,47.6,40.1
ALU-00120,Escola Alpha,8º Ano,Manhã,20,M,1-2 SM,Fundamental Incompleto,1,89.0,40.4,54.9,47.6
ALU-00121,Escola Alpha,8º Ano,Manhã,20,M,1-2 SM,Superior Completo,1,83.2,47.1,63.4,55.3
ALU-00122,Escola Alpha,8º Ano,Manhã,20,F,,Fundamental Incompleto,0,78.8,57.5,67.6,62.5
ALU-00123,Escola Alpha,8º Ano,Manhã,20,M,2-3 SM,Fundamental Completo,1,86.0,77.7,56.3,67.0
ALU-00124,Escola Alpha,8º Ano,Manhã,18,M,2-3 SM,Médio Completo,1,94.2,63.4,52.9,58.2
ALU-00125,Escola Alpha,8º Ano,Manhã,19,F,2-3 SM,Superior Completo,0,94.2,69.6,53.2,61.4
ALU-00126,Escola Alpha,8º Ano,Manhã,19,M,2-3 SM,Fundamental Completo,1,69.5,28.8,45.3,37.1
ALU-00127,Escola Alpha,8º Ano,Manhã,18,M,2-3 SM,Fundamental Completo,0,82.5,40.8,43.0,41.9
ALU-00128,Escola Alpha,8º Ano,Manhã,19,F,1-2 SM,Pós-graduação,1,100.0,47.6,59.6,53.6
ALU-00129,Escola Alpha,8º Ano,Manhã,19,F,2-3 SM,Fundamental Completo,1,87.0,49.6,65.4,57.5
ALU-00130,Escola Alpha,8º Ano,Manhã,20,M,2-3 SM,Médio Completo,1,83.0,48.8,53.3,51.1
ALU-00131,Escola Alpha,8º Ano,Manhã,18,M,2-3 SM,Superior Completo,1,100.0,54.4,49.9,52.1
ALU-00132,Escola Alpha,8º Ano,Manhã,19,M,1-2 SM,Fundamental Incompleto,1,85.7,66.7,65.0,65.9
ALU-00133,Escola Alpha,8º Ano,Manhã,19,M,1-2 SM,Médio Completo,1,84.6,68.7,55.8,62.2
ALU-00134,Escola Alpha,8º Ano,Manhã,18,M,5+ SM,Médio Completo,1,68.2,52.4,60.7,56.5
ALU-00135,Escola Alpha,8º Ano,Manhã,20,M,5+ SM,Médio Completo,1,65.2,43.0,61.3,52.2
ALU-00136,Escola Alpha,8º Ano,Manhã,19,F,Até 1 SM,Superior Completo,1,98.1,63.9,76.7,70.3
ALU-00137,Escola Alpha,8º Ano,Manhã,20,M,3-5 SM,Fundamental Incompleto,1,79.8,37.4,91.9,64.6
ALU-00138,Escola Alpha,8º Ano,Manhã,19,M,Até 1 SM,Fundamental Completo,1,79.7,55.9,55.4,55.6
ALU-00139,Escola Alpha,8º Ano,Manhã,20,F,Até 1 SM,Médio Completo,1,78.2,66.7,51.3,59.0
ALU-00140,Escola Alpha,8º Ano,Manhã,20,F,5+ SM,Fundamental Completo,1,86.1,67.7,76.4,72.0
ALU-00141,Escola Alpha,8º Ano,Manhã,20,F,1-2 SM,Fundamental Incompleto,1,91.2,60.8,40.9,50.8
ALU-00142,Escola Alpha,8º Ano,Manhã,19,M,1-2 SM,Superior Completo,1,69.2,32.2,39.0,35.6
ALU-00143,Escola Alpha,8º Ano,Manhã,18,F,5+ SM,Pós-graduação,1,91.5,66.3,83.3,74.8
ALU-00144,Escola Alpha,8º Ano,Manhã,18,F,1-2 SM,Fundamental Completo,1,79.8,57.9,73.5,65.7
ALU-00145,Escola Alpha,8º Ano,Manhã,20,F,2-3 SM,Médio Completo,1,70.6,44.7,54.4,49.6
ALU-00146,Escola Alpha,8º Ano,Manhã,20,M,5+ SM,Superior Completo,1,77.4,80.2,77.6,78.9
ALU-00147,Escola Alpha,8º Ano,Manhã,20,M,1-2 SM,Fundamental Completo,0,100.0,63.4,46.4,54.9
ALU-00148,Escola Alpha,8º Ano,Manhã,20,F,1-2 SM,Médio Completo,1,91.2,80.1,76.1,78.1
ALU-00149,Escola Alpha,8º Ano,Manhã,19,M,1-2 SM,Superior Completo,0,90.1,66.2,81.3,73.7
ALU-00150,Escola Alpha,8º Ano,Tarde,20,F,Até 1 SM,Fundamental Completo,0,89.3,57.4,43.2,50.3
ALU-00151,Escola Alpha,8º Ano,Tarde,18,F,3-5 SM,Fundamental Completo,1,79.9,57.2,80.9,69.0
ALU-00152,Escola Alpha,8º Ano,Tarde,18,F,2-3 SM,Superior Completo,0,95.2,75.6,56.7,66.2
ALU-00153,Escola Alpha,8º Ano,Tarde,20,M,1-2 SM,Superior Completo,1,81.2,75.5,76.2,75.8
ALU-00154,Escola Alpha,8º Ano,Tarde,19,M,5+ SM,Médio Completo,1,77.1,57.7,67.2,62.4
ALU-00155,Escola Alpha,8º Ano,Tarde,18,M,,Superior Completo,1,100.0,79.4,69.3,74.4
ALU-00156,Escola Alpha,8º Ano,Tarde,18,M,3-5 SM,Pós-graduação,0,88.6,71.5,74.6,73.0
ALU-00157,Escola Alpha,8º Ano,Tarde,18,F,1-2 SM,Superior Completo,1,86.8,51.6,48.9,50.3
ALU-00158,Escola Alpha,8º Ano,Tarde,18,M,2-3 SM,Médio Completo,1,74.2,49.5,35.3,42.4
ALU-00159,Escola Alpha,8º Ano,Tarde,19,F,2-3 SM,Pós-graduação,0,74.7,58.9,39.9,49.4
ALU-00160,Escola Alpha,8º Ano,Tarde,19,M,Até 1 SM,Fundamental Completo,1,89.5,64.6,63.9,64.2
ALU-00161,Escola Alpha,8º Ano,Tarde,18,M,Até 1 SM,Superior Completo,1,95.0,74.5,72.6,73.5
ALU-00162,Escola Alpha,8º Ano,Tarde,19,F,2-3 SM,Médio Completo,1,81.9,54.2,61.1,57.6
ALU-00163,Escola Alpha,8º Ano,Tarde,20,M,5+ SM,Superior Completo,1,81.6,58.3,81.3,69.8
ALU-00164,Escola Alpha,8º Ano,Tarde,18,F,2-3 SM,Superior Completo,1,100.0,46.7,60.9,53.8
ALU-00165,Escola Alpha,8º Ano,Tarde,20,M,1-2 SM,Fundamental Incompleto,1,78.7,57.3,46.9,52.1
ALU-00166,Escola Alpha,8º Ano,Tarde,19,F,2-3 SM,Médio Completo,0,97.5,54.9,50.3,52.6
ALU-00167,Escola Alpha,8º Ano,Tarde,19,F,5+ SM,Fundamental Completo,1,73.6,53.9,58.2,56.0
ALU-00168,Escola Alpha,8º Ano,Tarde,18,M,Até 1 SM,Superior Completo,0,93.1,72.0,56.4,64.2
ALU-00169,Escola Alpha,8º Ano,Tarde,20,F,2-3 SM,Fundamental Completo,1,89.0,65.8,39.2,52.5
ALU-00170,Escola Alpha,8º Ano,Tarde,19,M,2-3 SM,Médio Completo,1,92.4,36.3,57.0,46.6
ALU-00171,Escola Alpha,8º Ano,Tarde,19,M,1-2 SM,Fundamental Completo,0,70.7,16.7,21.7,19.2
ALU-00172,Escola Alpha,8º Ano,Tarde,20,M,2-3 SM,Médio Completo,1,71.8,51.9,67.5,59.7
ALU-00173,Escola Alpha,8º Ano,Tarde,19,M,Até 1 SM,Médio Completo,1,85.0,59.6,72.0,65.8
ALU-00174,Escola Alpha,8º Ano,Tarde,20,F,1-2 SM,Fundamental Incompleto,1,85.3,54.7,68.0,61.3
ALU-00175,Escola Alpha,8º Ano,Tarde,19,F,Até 1 SM,Médio Completo,1,95.7,57.3,59.9,58.6
ALU-00176,Escola Alpha,8º Ano,Tarde,19,M,2-3 SM,Fundamental Incompleto,1,81.3,71.0,42.2,56.6
ALU-00177,Escola Alpha,8º Ano,Tarde,18,F,1-2 SM,Médio Completo,1,86.1,75.8,30.8,53.3
ALU-00178,Escola Alpha,9º Ano,Manhã,20,M,5+ SM,Médio Completo,1,71.4,48.9,71.1,60.0
ALU-00179,Escola Alpha,9º Ano,Manhã,19,F,2-3 SM,Fundamental Completo,1,75.4,61.1,55.4,58.2
ALU-00180,Escola Alpha,9º Ano,Manhã,21,F,3-5 SM,Superior Completo,0,100.0,66.2,80.3,73.2
ALU-00181,Escola Alpha,9º Ano,Manhã,19,M,1-2 SM,Fundamental Completo,1,100.0,80.5,31.6,56.0
ALU-00182,Escola Alpha,9º Ano,Manhã,20,F,1-2 SM,Fundamental Completo,1,69.7,51.8,41.4,46.6
ALU-00183,Escola Alpha,9º Ano,Manhã,21,F,3-5 SM,Médio Completo,1,94.4,83.6,70.8,77.2
ALU-00184,Escola Alpha,9º Ano,Manhã,19,F,1-2 SM,Superior Completo,1,75.6,85.4,53.6,69.5
ALU-00185,Escola Alpha,9º Ano,Manhã,20,F,5+ SM,Fundamental Completo,0,67.3,60.8,39.2,50.0
ALU-00186,Escola Alpha,9º Ano,Manhã,21,M,2-3 SM,Médio Completo,1,90.9,59.7,74.8,67.3
ALU-00187,Escola Alpha,9º Ano,Manhã,19,M,1-2 SM,Médio Completo,1,72.6,44.8,46.8,45.8
ALU-00188,Escola Alpha,9º Ano,Manhã,20,M,3-5 SM,Médio Completo,1,82.0,50.3,75.3,62.8
ALU-00189,Escola Alpha,9º Ano,Manhã,21,F,2-3 SM,Superior Completo,0,88.6,68.3,84.2,76.2
ALU-00190,Escola Alpha,9º Ano,Manhã,19,M,5+ SM,Superior Completo,1,64.8,47.4,53.2,50.3
ALU-00191,Escola Alpha,9º Ano,Manhã,19,F,5+ SM,Fundamental Completo,1,73.8,61.7,46.2,54.0
ALU-00192,Escola Alpha,9º Ano,Manhã,19,F,2-3 SM,Fundamental Incompleto,0,77.2,33.6,54.7,44.2
ALU-00193,Escola Alpha,9º Ano,Manhã,20,M,1-2 SM,Médio Completo,0,73.1,20.7,35.3,28.0
ALU-00194,Escola Alpha,9º Ano,Manhã,20,M,1-2 SM,Fundamental Completo,1,100.0,66.1,60.0,63.1
ALU-00195,Escola Alpha,9º Ano,Manhã,19,M,Até 1 SM,Superior Completo,1,70.0,53.7,63.2,58.4
ALU-00196,Escola Alpha,9º Ano,Manhã,20,F,1-2 SM,,1,84.6,64.6,77.4,71.0
ALU-00197,Escola Alpha,9º Ano,Manhã,20,M,3-5 SM,Médio Completo,1,89.4,38.6,54.1,46.3
ALU-00198,Escola Alpha,9º Ano,Manhã,21,F,5+ SM,Fundamental Completo,1,100.0,58.6,73.3,66.0
ALU-00199,Escola Alpha,9º Ano,Manhã,20,M,2-3 SM,Fundamental Incompleto,0,86.6,59.0,53.0,56.0
ALU-00200,Escola Alpha,9º Ano,Manhã,19,F,2-3 SM,Médio Completo,1,87.6,65.3,79.7,72.5
ALU-00201,Escola Alpha,9º Ano,Manhã,20,M,3-5 SM,Superior Completo,0,79.9,65.2,91.3,78.2
ALU-00202,Escola Alpha,9º Ano,Manhã,19,M,1-2 SM,Pós-graduação,0,82.8,85.4,58.8,72.1
ALU-00203,Escola Alpha,9º Ano,Manhã,19,F,3-5 SM,Médio Completo,1,82.5,52.4,73.1,62.8
ALU-00204,Escola Alpha,9º Ano,Manhã,21,M,1-2 SM,Médio Completo,1,91.0,57.6,56.3,56.9
ALU-00205,Escola Alpha,9º Ano,Manhã,21,M,1-2 SM,Médio Completo,1,100.0,54.4,53.7,54.0
ALU-00206,Escola Alpha,9º Ano,Manhã,20,F,1-2 SM,Fundamental Completo,1,86.9,57.9,72.0,65.0
ALU-00207,Escola Alpha,9º Ano,Manhã,21,F,1-2 SM,Fundamental Incompleto,0,77.4,44.2,46.6,45.4
ALU-00208,Escola Alpha,9º Ano,Manhã,20,F,2-3 SM,Superior Completo,1,100.0,71.0,81.0,76.0
ALU-00209,Escola Alpha,9º Ano,Manhã,20,M,2-3 SM,Superior Completo,1,100.0,83.9,59.7,71.8
ALU-00210,Escola Alpha,9º Ano,Manhã,21,F,2-3 SM,Médio Completo,1,87.0,44.3,48.9,46.6
ALU-00211,Escola Alpha,9º Ano,Manhã,19,F,2-3 SM,Médio Completo,1,66.0,49.9,59.6,54.8
ALU-00212,Escola Alpha,9º Ano,Tarde,20,F,3-5 SM,Superior Completo,1,82.9,71.1,89.5,80.3
ALU-00213,Escola Alpha,9º Ano,Tarde,21,F,Até 1 SM,Superior Completo,1,100.0,41.7,78.6,60.1
ALU-00214,Escola Alpha,9º Ano,Tarde,20,F,1-2 SM,Pós-graduação,1,89.3,59.8,58.5,59.1
ALU-00215,Escola Alpha,9º Ano,Tarde,21,M,1-2 SM,,0,81.4,58.6,61.8,60.2
ALU-00216,Escola Alpha,9º Ano,Tarde,19,F,Até 1 SM,Médio Completo,0,88.5,55.7,64.2,59.9
ALU-00217,Escola Alpha,9º Ano,Tarde,19,M,Até 1 SM,Superior Completo,0,79.3,60.8,67.1,64.0
ALU-00218,Escola Alpha,9º Ano,Tarde,20,F,1-2 SM,Superior Completo,1,90.9,49.9,74.4,62.2
ALU-00219,Escola Alpha,9º Ano,Tarde,20,F,3-5 SM,Médio Completo,0,84.4,66.8,82.7,74.8
ALU-00220,Escola Alpha,9º Ano,Tarde,19,F,1-2 SM,Fundamental Incompleto,1,75.2,71.9,62.2,67.0
ALU-00221,Escola Alpha,9º Ano,Tarde,20,M,3-5 SM,Médio Completo,1,94.8,62.7,80.1,71.4
