manutencao_id,veiculo_id,tipo_veiculo,ano_fabricacao,data_manutencao,oficina,tipo_manutencao,componente,custo_reais,tempo_parado_horas,km_odometro,cidade_servico
MAN-00021,VEI-0010,Caminhão,2020,2024-11-28,Auto Elétrica Norte,Corretiva,Elétrica,747.63,27.2,195857,Fortaleza
MAN-00022,VEI-0171,Utilitário,2018,2024-10-08,Moto Peças,Preventiva,Direção,499.43,11.6,155753,Sobral
MAN-00023,VEI-0024,Caminhão,2019,2024-06-22,ServiCar Express,Corretiva,Direção,2258.59,15.7,241774,Teresina
MAN-00024,VEI-0036,Van,2021,2023-09-10,AutoCenter VIP,Corretiva,Elétrica,1186.38,30.3,251341,Sobral
MAN-00025,VEI-0088,Utilitário,2021,2023-09-03,AutoCenter VIP,Corretiva,Freios,1160.03,21.7,268406,Sobral
MAN-00026,VEI-0015,Van,2021,2023-12-12,MecaPremium,Corretiva,Elétrica,834.84,23.2,353317,Salvador
MAN-00027,VEI-0182,Van,2022,2023-10-23,Freios Total,Preventiva,Arrefecimento,193.5,1.0,99266,Fortaleza
MAN-00028,VEI-0151,Utilitário,2019,2023-10-05,Mecânica Central,Corretiva,Transmissão,3477.15,19.4,194936,Maracanaú
MAN-00029,VEI-0167,Caminhão,2018,2023-12-13,AutoCenter VIP,Corretiva,Freios,1684.46,22.7,363220,Maracanaú
MAN-00030,VEI-0099,Van,2021,2023-10-18,Mecânica Central,Corretiva,Freios,399.74,15.1,235291,Juazeiro do Norte
MAN-00031,VEI-0010,Caminhão,2020,2023-12-13,Retífica Ceará,Corretiva,Pneus,1649.05,33.9,190704,Fortaleza
MAN-00032,VEI-0148,Utilitário,2016,2024-12-05,Mecânica Central,Corretiva,Pneus,1439.83,26.5,225027,Fortaleza
MAN-00033,VEI-0139,Caminhão,2023,2024-01-17,Pneus & Cia,Corretiva,Transmissão,4879.86,28.5,96409,Maracanaú
MAN-00034,VEI-0062,Caminhão,2022,2024-07-08,Pneus & Cia,Preventiva,Freios,498.64,2.8,183879,Caucaia
MAN-00035,VEI-0180,Van,2015,2023-12-18,Retífica Ceará,Corretiva,Suspensão,786.19,25.8,241098,Sobral
MAN-00036,VEI-0120,Utilitário,2022,2023-08-04,Moto Peças,Corretiva,Suspensão,1295.33,30.2,100319,Maracanaú
MAN-00037,VEI-0108,Van,2021,2024-06-18,Moto Peças,Corretiva,Arrefecimento,723.83,25.2,369461,Maracanaú
MAN-00038,VEI-0027,Utilitário,2019,2024-05-28,Freios Total,Preventiva,Arrefecimento,434.26,17.5,127825,Maracanaú
MAN-00039,VEI-0164,Van,2016,2024-12-12,AutoCenter VIP,Preventiva,Freios,480.7,16.5,288207,Caucaia
MAN-00040,VEI-0192,Caminhão,2019,2024-02-19,ServiCar Express,Corretiva,Elétrica,934.0,29.3,179997,Salvador
MAN-00041,VEI-0193,Van,2021,2024-08-13,Freios Total,Corretiva,Direção,1166.22,27.1,165354,Maracanaú
MAN-00042,VEI-0083,Van,2020,2024-09-13,Oficina Popular,Corretiva,Elétrica,523.17,23.0,107393,Caucaia
MAN-00043,VEI-0015,Van,2021,2024-07-10,ServiCar Express,Corretiva,Direção,1509.96,35.6,346919,Sobral
MAN-00044,VEI-0179,Caminhão,2016,2023-11-04,Auto Elétrica Norte,Corretiva,Suspensão,1243.73,15.1,301097,Sobral
MAN-00045,VEI-0166,Van,2023,2023-08-01,ServiCar Express,Preventiva,Suspensão,1499.63,9.1,169723,Fortaleza
MAN-00046,VEI-0164,Van,2016,2023-07-17,MecaPremium,Corretiva,Pneus,3508.36,26.6,313941,Salvador
MAN-00047,VEI-0186,Caminhão,2017,2024-02-27,ServiCar Express,Corretiva,Motor,4058.14,19.3,244494,Maracanaú
MAN-00048,VEI-0089,Van,2022,2023-12-15,Freios Total,Corretiva,Elétrica,529.13,19.9,340795,Fortaleza
MAN-00049,VEI-0029,Van,2020,2023-11-21,MecaPremium,Corretiva,Transmissão,4337.22,15.4,286349,Caucaia
MAN-00050,VEI-0186,Caminhão,2017,2023-12-04,Oficina Popular,Corretiva,Motor,3364.85,23.1,268405,Maracanaú
MAN-00051,VEI-0189,Utilitário,2023,2023-10-02,Mecânica Central,Preventiva,Arrefecimento,308.82,9.4,236637,Caucaia
MAN-00052,VEI-0056,Caminhão,2020,2024-02-14,AutoCenter VIP,Corretiva,Freios,1161.57,,68189,Sobral
MAN-00053,VEI-0112,Van,2019,2024-04-17,MecaPremium,Corretiva,Suspensão,2227.42,28.8,303238,Recife
MAN-00054,VEI-0164,Van,2016,2024-06-11,AutoCenter VIP,Preventiva,Suspensão,1565.86,1.0,333663,Caucaia
MAN-00055,VEI-0132,Van,2016,2024-08-16,Retífica Ceará,Corretiva,Arrefecimento,473.68,,102141,Juazeiro do Norte
MAN-00056,VEI-0093,Utilitário,2019,2024-07-15,Auto Elétrica Norte,Corretiva,Freios,968.8,31.2,170461,Juazeiro do Norte
MAN-00057,VEI-0131,Caminhão,2018,2024-04-25,Retífica Ceará,Corretiva,Motor,3041.87,31.2,196232,Fortaleza
MAN-00058,VEI-0030,Caminhão,2015,2023-11-05,Mecânica Central,Corretiva,Suspensão,962.78,28.0,88047,Fortaleza
MAN-00059,VEI-0133,Van,2016,2024-01-09,Freios Total,Corretiva,Arrefecimento,1055.84,22.3,279979,Sobral
MAN-00060,VEI-0119,Caminhão,2020,2024-05-25,Auto Elétrica Norte,Corretiva,Freios,1102.13,31.2,259381,Maracanaú
MAN-00061,VEI-0024,Caminhão,2019,2023-10-07,Mecânica Central,Preventiva,Motor,915.11,24.5,277792,Maracanaú
MAN-00062,VEI-0170,Caminhão,2021,2024-03-23,MecaPremium,Preventiva,Elétrica,376.65,6.7,247437,Juazeiro do Norte
MAN-00063,VEI-0171,Utilitário,2018,2023-08-05,MecaPremium,Preventiva,Freios,597.1,6.4,174957,Sobral
MAN-00064,VEI-0132,Van,2016,2023-12-11,Pneus & Cia,Preventiva,Arrefecimento,447.45,1.0,82078,Juazeiro do Norte
MAN-00065,VEI-0006,Caminhão,2016,2024-12-05,Freios Total,Preventiva,Freios,465.97,15.9,243790,Sobral
MAN-00066,VEI-0017,Caminhão,2017,2023-10-14,Auto Elétrica Norte,Corretiva,Arrefecimento,505.14,27.3,207694,Sobral
MAN-00067,VEI-0094,Utilitário,2017,2024-02-18,Retífica Ceará,Preventiva,Transmissão,152.84,3.8,255285,Sobral
MAN-00068,VEI-0122,Caminhão,2020,2024-01-25,Auto Elétrica Norte,Corretiva,Transmissão,2151.49,33.4,313583,Maracanaú
MAN-00069,VEI-0097,Caminhão,2016,2023-07-29,ServiCar Express,Corretiva,Direção,1934.54,18.3,228405,Caucaia
MAN-00070,VEI-0039,Utilitário,2020,2024-03-01,MecaPremium,Corretiva,Elétrica,1226.4,23.6,76729,Recife
MAN-00071,VEI-0168,Caminhão,2020,2024-05-18,Retífica Ceará,Preventiva,Arrefecimento,177.72,6.9,148334,Fortaleza
MAN-00072,VEI-0114,Van,2016,2024-02-20,MecaPremium,Preventiva,Elétrica,116.43,4.7,38997,Teresina
MAN-00073,VEI-0030,Caminhão,2015,2023-09-20,Oficina Popular,Preventiva,Arrefecimento,509.95,7.0,110832,Fortaleza
MAN-00074,VEI-0102,Caminhão,2023,2024-07-11,Auto Elétrica Norte,Corretiva,Motor,1951.62,14.4,278295,Caucaia
MAN-00075,VEI-0023,Caminhão,2021,2023-07-23,AutoCenter VIP,Preventiva,Freios,1406.32,6.7,325255,Caucaia
MAN-00076,VEI-0120,Utilitário,2022,2024-02-08,Auto Elétrica Norte,Preventiva,Pneus,714.22,8.4,135468,Maracanaú
MAN-00077,VEI-0148,Utilitário,2016,2024-10-20,ServiCar Express,Corretiva,Freios,1239.09,15.5,194017,Fortaleza
MAN-00078,VEI-0152,Van,2023,2024-12-22,MecaPremium,Corretiva,Elétrica,1506.93,23.3,78606,Sobral
MAN-00079,VEI-0190,Utilitário,2022,2023-12-12,Oficina Popular,Corretiva,Suspensão,2095.91,26.6,332596,Caucaia
MAN-00080,VEI-0162,Utilitário,2020,2023-08-29,Moto Peças,Corretiva,Suspensão,972.96,14.1,142902,Juazeiro do Norte
MAN-00081,VEI-0104,Caminhão,2019,2023-12-15,Retífica Ceará,Preventiva,Freios,741.55,11.0,67251,Juazeiro do Norte
MAN-00082,VEI-0173,Van,2023,2024-10-08,Mecânica Central,Corretiva,Freios,602.79,21.8,92087,Maracanaú
MAN-00083,VEI-0016,Van,2021,2024-11-08,Moto Peças,Corretiva,Motor,2296.69,17.9,92535,Juazeiro do Norte
MAN-00084,VEI-0008,Van,2019,2024-08-16,Freios Total,Corretiva,Motor,1159.38,28.6,115053,Maracanaú
MAN-00085,VEI-0095,Caminhão,2022,2024-05-08,Oficina Popular,Preventiva,Motor,2298.35,9.2,240688,Caucaia
MAN-00086,VEI-0067,Van,2016,2024-03-06,Retífica Ceará,Preventiva,Pneus,1264.43,21.2,181070,Juazeiro do Norte
MAN-00087,VEI-0131,Caminhão,2018,2023-09-30,Moto Peças,Corretiva,Suspensão,1151.35,28.5,238503,Fortaleza
MAN-00088,VEI-0005,Utilitário,2020,2024-08-17,MecaPremium,Corretiva,Arrefecimento,360.93,33.0,47318,Fortaleza
MAN-00089,VEI-0035,Van,2017,2024-01-24,AutoCenter VIP,Corretiva,Freios,759.39,23.3,130652,Caucaia
MAN-00090,VEI-0199,Van,2016,2024-05-13,AutoCenter VIP,Corretiva,Elétrica,648.67,28.2,278190,Recife
MAN-00091,VEI-0187,Utilitário,2022,2024-08-29,Auto Elétrica Norte,Corretiva,Direção,1260.71,24.7,42839,Caucaia
MAN-00092,VEI-0065,Caminhão,2023,2024-05-21,ServiCar Express,Preventiva,Freios,222.0,6.0,348348,Recife
MAN-00093,VEI-0073,Caminhão,2016,2024-08-20,Freios Total,Corretiva,Transmissão,3024.85,24.4,136617,Fortaleza
MAN-00094,VEI-0142,Caminhão,2016,2024-08-05,Moto Peças,Corretiva,Motor,3217.9,26.8,159003,Fortaleza
MAN-00095,VEI-0012,Caminhão,2015,2024-03-18,AutoCenter VIP,Corretiva,Transmissão,6372.01,28.0,77826,Juazeiro do Norte
MAN-00096,VEI-0163,Van,2015,2024-04-18,Mecânica Central,Preventiva,Freios,184.6,7.3,173622,Sobral
MAN-00097,VEI-0135,Van,2018,2024-05-03,ServiCar Express,Corretiva,Suspensão,2142.96,20.1,233640,Fortaleza
MAN-00098,VEI-0156,Caminhão,2020,2024-02-24,Oficina Popular,Corretiva,Arrefecimento,423.43,16.2,16205,Juazeiro do Norte
MAN-00099,VEI-0174,Van,2016,2024-05-31,Moto Peças,Corretiva,Arrefecimento,927.31,27.3,345573,Sobral
MAN-00100,VEI-0020,Utilitário,2015,2024-07-01,MecaPremium,Corretiva,Pneus,1728.24,26.2,211132,Fortaleza
MAN-00101,VEI-0002,Caminhão,2019,2024-07-19,ServiCar Express,Preventiva,Suspensão,712.63,17.3,131384,Fortaleza
MAN-00102,VEI-0122,Caminhão,2020,2023-12-28,Moto Peças,Corretiva,Motor,2842.4,30.3,366955,Maracanaú
MAN-00103,VEI-0091,Van,2018,2023-08-22,MecaPremium,Corretiva,Pneus,1039.67,25.9,329001,Teresina
MAN-00104,VEI-0015,Van,2021,2024-10-12,Retífica Ceará,Corretiva,Freios,789.41,30.9,342332,Sobral
MAN-00105,VEI-0183,Van,2020,2024-10-23,Pneus & Cia,Preventiva,Elétrica,495.65,8.9,349292,Juazeiro do Norte
MAN-00106,VEI-0067,Van,2016,2024-07-08,Retífica Ceará,Preventiva,Transmissão,1368.82,14.8,170977,Juazeiro do Norte
MAN-00107,VEI-0010,Caminhão,2020,2024-08-31,ServiCar Express,Corretiva,Arrefecimento,681.35,33.1,215850,Teresina
MAN-00108,VEI-0158,Utilitário,2020,2024-01-20,Pneus & Cia,Corretiva,Pneus,507.96,,134099,Maracanaú
MAN-00109,VEI-0091,Van,2018,2024-03-10,Moto Peças,Corretiva,Arrefecimento,546.95,32.4,334049,Fortaleza
MAN-00110,VEI-0038,Utilitário,2016,2024-08-12,AutoCenter VIP,Corretiva,Suspensão,2099.4,31.4,82964,Juazeiro do Norte
MAN-00111,VEI-0136,Caminhão,2015,2024-08-21,AutoCenter VIP,Corretiva,Freios,1783.15,19.5,201600,Maracanaú
MAN-00112,VEI-0014,Utilitário,2017,2023-07-09,Retífica Ceará,Preventiva,Freios,877.66,,187177,Caucaia
MAN-00113,VEI-0130,Van,2019,2024-06-18,Pneus & Cia,Corretiva,Freios,863.02,22.8,183448,Sobral
MAN-00114,VEI-0012,Caminhão,2015,2024-08-23,Freios Total,Corretiva,Pneus,908.46,29.3,142858,Juazeiro do Norte
MAN-00115,VEI-0195,Caminhão,2019,2023-08-16,Mecânica Central,Corretiva,Suspensão,1443.33,19.6,317345,Fortaleza
MAN-00116,VEI-0079,Caminhão,2022,2024-06-13,Freios Total,Preventiva,Arrefecimento,482.81,10.3,151235,Sobral
MAN-00117,VEI-0079,Caminhão,2022,2023-07-12,Oficina Popular,Corretiva,Elétrica,868.81,15.6,147333,Sobral
MAN-00118,VEI-0140,Caminhão,2022,2023-12-29,Auto Elétrica Norte,Preventiva,Transmissão,3221.27,12.5,266265,Juazeiro do Norte
MAN-00119,VEI-0152,Van,2023,2024-08-07,Pneus & Cia,Preventiva,Pneus,771.17,7.0,85547,Sobral
MAN-00120,VEI-0179,Caminhão,2016,2024-07-18,Moto Peças,Corretiva,Elétrica,818.45,17.5,342643,Sobral
MAN-00121,VEI-0019,Utilitário,2021,2024-04-08,AutoCenter VIP,Preventiva,Freios,1177.39,4.1,223259,Juazeiro do Norte
MAN-00122,VEI-0171,Utilitário,2018,2023-08-02,ServiCar Express,Corretiva,Freios,1616.95,27.2,125348,Sobral
MAN-00123,VEI-0124,Caminhão,2015,2024-12-18,MecaPremium,Corretiva,Suspensão,1455.72,21.9,95873,Caucaia
MAN-00124,VEI-0115,Van,2019,2024-09-15,Moto Peças,Corretiva,Arrefecimento,349.96,24.5,75132,Juazeiro do Norte
MAN-00125,VEI-0063,Caminhão,2016,2024-11-08,ServiCar Express,Corretiva,Direção,1026.87,11.1,260792,Fortaleza
MAN-00126,VEI-0050,Caminhão,2019,2024-05-22,Retífica Ceará,Corretiva,Suspensão,1055.66,16.4,112835,Fortaleza
MAN-00127,VEI-0089,Van,2022,2024-10-14,AutoCenter VIP,Preventiva,Direção,748.79,7.3,332881,Fortaleza
MAN-00128,VEI-0122,Caminhão,2020,2023-12-29,ServiCar Express,Corretiva,Elétrica,984.67,22.1,334858,Maracanaú
MAN-00129,VEI-0117,Caminhão,2021,2024-05-09,Oficina Popular,Preventiva,Direção,153.87,13.5,98353,Fortaleza
MAN-00130,VEI-0019,Utilitário,2021,2023-11-16,AutoCenter VIP,Corretiva,Arrefecimento,1165.26,25.0,256197,Teresina
MAN-00131,VEI-0115,Van,2019,2023-12-26,AutoCenter VIP,Corretiva,Motor,4608.38,24.8,65902,Juazeiro do Norte
MAN-00132,VEI-0090,Caminhão,2020,2024-09-10,AutoCenter VIP,Corretiva,Arrefecimento,1058.17,27.5,33033,Caucaia
MAN-00133,VEI-0092,Utilitário,2020,2023-07-26,MecaPremium,Corretiva,Motor,5736.49,21.1,258278,Caucaia
MAN-00134,VEI-0141,Utilitário,2021,2024-06-16,Moto Peças,Corretiva,Freios,1144.78,24.5,338724,Sobral
MAN-00135,VEI-0056,Caminhão,2020,2024-07-11,ServiCar Express,Preventiva,Pneus,1394.79,6.3,84176,Sobral
MAN-00136,VEI-0147,Van,2023,2024-07-29,MecaPremium,Corretiva,Suspensão,1481.94,19.8,167934,Juazeiro do Norte
MAN-00137,VEI-0074,Caminhão,2023,2024-12-27,Oficina Popular,Corretiva,Motor,3264.92,18.3,212730,Caucaia
MAN-00138,VEI-0036,Van,2021,2024-08-14,Mecânica Central,Preventiva,Suspensão,722.24,1.0,231372,Sobral
MAN-00139,VEI-0088,Utilitário,2021,2023-10-02,MecaPremium,Corretiva,Transmissão,3341.24,20.0,277412,Sobral
MAN-00140,VEI-0106,Caminhão,2017,2024-12-20,Pneus & Cia,Preventiva,Transmissão,3044.59,10.2,195919,Fortaleza
MAN-00141,VEI-0059,Van,2023,2024-01-15,Moto Peças,Corretiva,Motor,1611.28,13.2,181056,Fortaleza
MAN-00142,VEI-0179,Caminhão,2016,2024-05-15,Pneus & Cia,Corretiva,Suspensão,1518.08,17.0,341659,Sobral
MAN-00143,VEI-0124,Caminhão,2015,2024-05-13,AutoCenter VIP,Corretiva,Elétrica,1122.9,26.6,96763,Salvador
MAN-00144,VEI-0075,Utilitário,2017,2023-12-18,Pneus & Cia,Corretiva,Suspensão,1574.58,31.2,319951,Fortaleza
MAN-00145,VEI-0109,Utilitário,2016,2024-08-02,MecaPremium,Preventiva,Suspensão,210.57,4.9,182862,Juazeiro do Norte
MAN-00146,VEI-0126,Caminhão,2017,2024-01-22,AutoCenter VIP,Preventiva,Freios,89.42,10.9,102935,Recife
MAN-00147,VEI-0114,Van,2016,2024-08-29,Oficina Popular,Corretiva,Elétrica,829.23,22.7,33446,Sobral
MAN-00148,VEI-0045,Utilitário,2019,2024-03-23,AutoCenter VIP,Corretiva,Elétrica,1226.79,13.8,298424,Teresina
MAN-00149,VEI-0017,Caminhão,2017,2024-01-13,ServiCar Express,Corretiva,Arrefecimento,641.65,,223308,Sobral
MAN-00150,VEI-0011,Utilitário,2023,2024-01-19,AutoCenter VIP,Corretiva,Freios,1365.47,15.9,366987,Juazeiro do Norte
MAN-00151,VEI-0056,Caminhão,2020,2023-12-22,Pneus & Cia,Preventiva,Suspensão,602.71,1.0,94006,Sobral
MAN-00152,VEI-0128,Utilitário,2022,2024-11-27,Pneus & Cia,Corretiva,Elétrica,837.67,20.3,106744,Maracanaú
MAN-00153,VEI-0081,Caminhão,2021,2023-07-11,Retífica Ceará,Corretiva,Arrefecimento,863.44,23.6,156078,Juazeiro do Norte
MAN-00154,VEI-0073,Caminhão,2016,2024-05-31,ServiCar Express,Preventiva,Freios,1016.61,16.6,182557,Fortaleza
MAN-00155,VEI-0099,Van,2021,2023-11-14,Freios Total,Preventiva,Transmissão,793.03,11.8,226202,Juazeiro do Norte
MAN-00156,VEI-0067,Van,2016,2023-10-22,MecaPremium,Corretiva,Freios,1030.51,32.3,165108,Recife
MAN-00157,VEI-0046,Utilitário,2015,2023-09-03,ServiCar Express,Corretiva,Motor,3280.97,20.9,77505,Juazeiro do Norte
MAN-00158,VEI-0016,Van,2021,2024-07-18,Retífica Ceará,Preventiva,Motor,1916.83,12.9,82633,Juazeiro do Norte
MAN-00159,VEI-0076,Utilitário,2016,2024-03-19,Oficina Popular,Preventiva,Elétrica,175.46,11.7,222123,Juazeiro do Norte
MAN-00160,VEI-0124,Caminhão,2015,2023-12-10,Auto Elétrica Norte,Preventiva,Pneus,1312.69,5.5,95539,Caucaia
MAN-00161,VEI-0054,Van,2019,2023-09-09,Auto Elétrica Norte,Corretiva,Motor,2469.65,37.7,262024,Maracanaú
MAN-00162,VEI-0182,Van,2022,2024-02-07,Oficina Popular,Corretiva,Freios,769.07,23.5,75285,Fortaleza
MAN-00163,VEI-0089,Van,2022,2024-08-29,Auto Elétrica Norte,Corretiva,Pneus,1709.24,22.9,373928,Fortaleza
MAN-00164,VEI-0084,Caminhão,2023,2024-01-11,ServiCar Express,Preventiva,Transmissão,1409.98,1.5,308768,Salvador
MAN-00165,VEI-0147,Van,2023,2024-10-18,MecaPremium,Preventiva,Elétrica,346.53,9.0,137235,Teresina
MAN-00166,VEI-0026,Van,2020,2024-09-18,Pneus & Cia,Preventiva,Suspensão,1017.69,6.4,201919,Juazeiro do Norte
MAN-00167,VEI-0116,Caminhão,2022,2023-08-02,Auto Elétrica Norte,Corretiva,Pneus,772.21,23.9,342661,Caucaia
MAN-00168,VEI-0078,Caminhão,2015,2024-02-18,MecaPremium,Corretiva,Arrefecimento,1125.12,18.0,134163,Recife
MAN-00169,VEI-0022,Caminhão,2016,2024-08-27,MecaPremium,Preventiva,Transmissão,259.34,3.5,152045,Fortaleza
MAN-00170,VEI-0130,Van,2019,2023-09-25,ServiCar Express,Corretiva,Transmissão,4110.01,23.4,180316,Sobral
MAN-00171,VEI-0085,Van,2020,2024-07-20,Moto Peças,Corretiva,Elétrica,115.86,20.6,132223,Sobral
MAN-00172,VEI-0044,Caminhão,2018,2024-02-12,Retífica Ceará,Corretiva,Elétrica,921.1,21.2,263778,Caucaia
MAN-00173,VEI-0191,Utilitário,2019,2024-11-18,Moto Peças,Corretiva,Elétrica,819.86,23.1,122770,Fortaleza
MAN-00174,VEI-0085,Van,2020,2023-11-06,ServiCar Express,Corretiva,Direção,1837.76,21.6,119224,Sobral
MAN-00175,VEI-0164,Van,2016,2023-09-20,AutoCenter VIP,Corretiva,Transmissão,3766.03,15.9,292105,Caucaia
MAN-00176,VEI-0070,Van,2017,2024-09-17,MecaPremium,Corretiva,Pneus,1971.97,16.0,236320,Juazeiro do Norte
MAN-00177,VEI-0094,Utilitário,2017,2024-03-07,Auto Elétrica Norte,Corretiva,Transmissão,1662.99,21.5,270269,Sobral
MAN-00178,VEI-0189,Utilitário,2023,2024-02-07,Freios Total,Preventiva,Freios,893.78,10.1,208777,Caucaia
MAN-00179,VEI-0031,Caminhão,2022,2023-12-19,ServiCar Express,Preventiva,Elétrica,554.98,2.5,321525,Sobral
MAN-00180,VEI-0116,Caminhão,2022,2024-08-03,Freios Total,Preventiva,Transmissão,797.52,1.6,284734,Caucaia
MAN-00181,VEI-0179,Caminhão,2016,2023-08-26,Mecânica Central,Preventiva,Arrefecimento,483.88,10.6,306891,Sobral
MAN-00182,VEI-0166,Van,2023,2024-11-08,ServiCar Express,Preventiva,Transmissão,2673.23,8.1,138920,Fortaleza
MAN-00183,VEI-0113,Caminhão,2018,2024-04-09,Auto Elétrica Norte,Preventiva,Suspensão,1082.65,2.4,343982,Maracanaú
MAN-00184,VEI-0189,Utilitário,2023,2024-06-14,Oficina Popular,Corretiva,Arrefecimento,368.03,34.1,211755,Caucaia
MAN-00185,VEI-0049,Caminhão,2015,2023-12-07,Oficina Popular,Preventiva,Transmissão,2707.91,10.0,296216,Fortaleza
MAN-00186,VEI-0149,Caminhão,2016,2024-08-02,MecaPremium,Corretiva,Transmissão,3504.79,24.0,140303,Fortaleza
MAN-00187,VEI-0190,Utilitário,2022,2024-06-25,Mecânica Central,Corretiva,Suspensão,925.13,29.2,339225,Caucaia
MAN-00188,VEI-0153,Caminhão,2020,2024-07-10,ServiCar Express,Corretiva,Direção,938.94,28.9,45830,Sobral
MAN-00189,VEI-0137,Van,2022,2024-11-09,Retífica Ceará,Corretiva,Freios,674.27,21.5,142782,Caucaia
MAN-00190,VEI-0181,Utilitário,2022,2024-11-01,Freios Total,Preventiva,Motor,1283.98,,104207,Maracanaú
MAN-00191,VEI-0092,Utilitário,2020,2024-07-27,AutoCenter VIP,Corretiva,Elétrica,1104.15,15.7,301312,Caucaia
MAN-00192,VEI-0190,Utilitário,2022,2024-09-29,Auto Elétrica Norte,Corretiva,Pneus,1419.33,17.8,361771,Caucaia
MAN-00193,VEI-0010,Caminhão,2020,2024-11-10,Oficina Popular,Corretiva,Suspensão,1374.06,24.4,229786,Fortaleza
MAN-00194,VEI-0165,Van,2017,2023-10-03,Mecânica Central,Corretiva,Transmissão,2800.46,27.2,53977,Sobral
MAN-00195,VEI-0028,Caminhão,2016,2024-07-18,ServiCar Express,Preventiva,Motor,1812.62,13.0,306131,Sobral
MAN-00196,VEI-0092,Utilitário,2020,2023-09-22,ServiCar Express,Preventiva,Pneus,1975.02,9.3,267973,Caucaia
MAN-00197,VEI-0198,Caminhão,2023,2024-04-08,Freios Total,Corretiva,Direção,1047.19,27.5,208209,Juazeiro do Norte
MAN-00198,VEI-0158,Utilitário,2020,2024-02-10,Pneus & Cia,Preventiva,Motor,2340.95,20.0,147927,Maracanaú
MAN-00199,VEI-0146,Utilitário,2017,2023-07-02,AutoCenter VIP,Corretiva,Direção,2109.59,11.2,322890,Sobral
MAN-00200,VEI-0021,Van,2021,2023-08-20,Mecânica Central,Preventiva,Suspensão,761.96,15.6,74449,Fortaleza
MAN-00201,VEI-0103,Van,2015,2024-09-23,ServiCar Express,Corretiva,Direção,1548.82,26.4,226665,Juazeiro do Norte
MAN-00202,VEI-0086,Van,2018,2024-10-11,MecaPremium,Corretiva,Freios,1434.32,22.1,174521,Caucaia
MAN-00203,VEI-0178,Utilitário,2018,2024-05-27,Freios Total,Corretiva,Suspensão,1073.49,28.5,101239,Fortaleza
MAN-00204,VEI-0007,Caminhão,2019,2023-10-18,MecaPremium,Corretiva,Motor,4748.43,30.6,271897,Sobral
MAN-00205,VEI-0031,Caminhão,2022,2024-05-24,Auto Elétrica Norte,Preventiva,Motor,1839.02,1.0,360353,Sobral
MAN-00206,VEI-0069,Caminhão,2017,2023-11-10,Oficina Popular,Corretiva,Transmissão,2375.74,34.2,117693,Caucaia
