ano,mes,unidade,especialidade,leitos_disponiveis,taxa_ocupacao,internacoes,tempo_medio_internacao_dias,taxa_reinternacao_30d,obitos,custo_medio_internacao,faixa_etaria_predominante,tipo_internacao
2022,2,Hospital Maternidade Vida,Oncologia,57,0.717,86,4.1,0.118,3,1438.42,0-14,Urgência
2022,2,Hospital Maternidade Vida,Clínica Médica,33,0.881,62,10.2,0.056,3,4389.26,65+,Urgência
2022,2,Hospital Maternidade Vida,Obstetrícia,23,0.658,25,6.5,0.105,0,2753.45,65+,Urgência
2022,2,Hospital Maternidade Vida,Pediatria,23,0.573,35,,0.101,0,3351.18,65+,Eletiva
2022,2,Hospital Maternidade Vida,Neurologia,57,0.771,87,10.4,0.132,4,5476.95,15-29,Eletiva
2022,2,Hospital Pronto-Socorro 24h,Pediatria,20,0.724,29,6.3,0.028,1,3577.74,15-29,Urgência
2022,2,Hospital Pronto-Socorro 24h,Clínica Médica,53,0.753,86,6.1,0.045,3,2824.19,65+,Urgência
2022,2,Hospital Pronto-Socorro 24h,Obstetrícia,66,0.745,131,7.5,0.044,0,4171.98,0-14,Urgência
2022,2,Hospital Pronto-Socorro 24h,Neurologia,74,0.571,94,7.7,0.093,2,4696.48,0-14,Eletiva
2022,2,Hospital Pronto-Socorro 24h,Cirurgia Geral,37,0.8,72,2.1,0.048,1,4417.8,30-49,Urgência
2022,2,Hospital Clínica Esperança,Cirurgia Geral,22,0.527,86,7.9,0.067,3,7809.1,50-64,Urgência
2022,2,Hospital Clínica Esperança,Neurologia,17,0.98,71,5.2,0.007,0,6665.06,30-49,Urgência
2022,2,Hospital Clínica Esperança,Obstetrícia,26,0.92,197,1.3,0.111,6,7157.73,15-29,Urgência
2022,2,Hospital Clínica Esperança,Clínica Médica,18,0.772,93,7.0,0.101,3,9970.03,65+,Urgência
2022,2,Hospital Clínica Esperança,Oncologia,23,0.814,190,5.9,0.065,7,8152.24,0-14,Urgência
2022,2,Hospital Clínica Esperança,Ortopedia,31,0.858,150,4.2,0.112,3,3945.39,0-14,Urgência
2022,2,Hospital Hospital do Coração,Pediatria,63,0.833,112,6.8,0.048,2,3757.25,30-49,Urgência
2022,2,Hospital Hospital do Coração,Neurologia,27,0.86,44,4.2,0.038,1,3235.51,50-64,Urgência
2022,2,Hospital Hospital do Coração,Cardiologia,20,0.802,42,11.3,0.083,0,4355.14,50-64,Eletiva
2022,2,Hospital Hospital do Coração,Clínica Médica,28,0.816,47,4.7,0.035,2,1931.24,0-14,Urgência
2022,2,Hospital Oncológico,Neurologia,78,0.812,135,6.5,0.033,5,3249.58,30-49,Eletiva
2022,2,Hospital Oncológico,Clínica Médica,71,0.839,173,1.8,0.095,3,4317.53,0-14,Eletiva
2022,2,Hospital Oncológico,Ortopedia,47,0.596,58,3.9,0.067,2,3197.49,65+,Urgência
2022,2,Hospital Infantil Anjo,Obstetrícia,35,0.783,45,5.4,0.105,2,4882.76,0-14,Eletiva
2022,2,Hospital Infantil Anjo,Pediatria,80,0.74,155,2.6,0.083,2,4645.71,65+,Urgência
2022,2,Hospital Infantil Anjo,Oncologia,75,0.649,143,4.4,0.119,1,3774.13,30-49,Urgência
2022,2,Hospital Infantil Anjo,Cirurgia Geral,42,0.617,56,5.4,0.151,2,5270.68,0-14,Urgência
2022,2,Hospital Ortopédico Plus,Clínica Médica,50,0.831,93,8.1,0.069,3,1732.19,0-14,Eletiva
2022,2,Hospital Ortopédico Plus,Ortopedia,22,0.722,34,8.2,,0,2931.18,50-64,Urgência
2022,2,Hospital Ortopédico Plus,Cardiologia,63,0.79,119,6.4,0.024,4,3679.3,50-64,Urgência
2022,2,Hospital Ortopédico Plus,Cirurgia Geral,36,0.691,71,1.9,0.105,1,3020.72,30-49,Urgência
2022,2,Hospital Ortopédico Plus,Pediatria,61,0.687,106,2.9,0.114,4,3173.11,50-64,Urgência
2022,2,Hospital Ortopédico Plus,Neurologia,72,0.85,178,8.3,0.168,5,4740.43,65+,Urgência
2022,2,Hospital Saúde Mental,Obstetrícia,80,0.819,119,8.2,0.065,3,4038.15,0-14,Urgência
2022,2,Hospital Saúde Mental,Pediatria,74,0.754,128,2.6,0.077,1,2425.34,65+,Eletiva
2022,2,Hospital Saúde Mental,Cirurgia Geral,58,0.511,61,8.0,0.144,2,1696.23,15-29,Urgência
2022,3,Hospital São José,Neurologia,66,0.73,92,8.2,0.08,1,2659.0,50-64,Eletiva
2022,3,Hospital São José,Pediatria,43,0.698,75,3.1,0.062,2,1777.62,65+,Urgência
2022,3,Hospital São José,Obstetrícia,30,0.808,41,1.4,0.08,2,4394.25,0-14,Urgência
2022,3,Hospital Santa Casa,Cirurgia Geral,77,0.611,106,6.0,0.065,5,2517.9,30-49,Urgência
2022,3,Hospital Santa Casa,Neurologia,46,0.854,72,6.5,0.119,2,5775.18,30-49,Eletiva
2022,3,Hospital Santa Casa,Oncologia,28,0.769,33,8.0,0.058,1,2027.73,50-64,Urgência
2022,3,Hospital Santa Casa,Pediatria,59,0.769,85,5.5,0.106,1,3325.38,0-14,Urgência
2022,3,Hospital Santa Casa,Ortopedia,35,0.575,39,8.0,0.092,1,2436.47,0-14,Urgência
2022,3,Hospital Regional Norte,Ortopedia,28,0.832,240,5.5,0.056,2,5427.175,65+,Urgência
2022,3,Hospital Regional Norte,Obstetrícia,30,0.948,216,2.6,0.127,3,9706.619,0-14,Urgência
2022,3,Hospital Regional Norte,Cirurgia Geral,16,0.655,148,7.3,0.035,0,7071.35,50-64,Urgência
2022,3,Hospital Regional Sul,Ortopedia,79,0.73,113,1.8,0.124,2,3545.44,15-29,Urgência
2022,3,Hospital Regional Sul,Clínica Médica,42,0.744,77,4.9,0.07,4,2567.48,50-64,Urgência
2022,3,Hospital Regional Sul,Cirurgia Geral,41,0.767,93,2.6,0.081,4,2945.85,0-14,Urgência
2022,3,Hospital Regional Sul,Neurologia,25,0.365,16,8.9,0.075,0,3106.29,50-64,Urgência
2022,3,Hospital Regional Sul,Pediatria,30,0.809,61,5.1,0.089,2,2820.42,50-64,Urgência
2022,3,Hospital Universitário,Cirurgia Geral,45,0.579,65,8.9,0.101,1,2139.72,0-14,Eletiva
2022,3,Hospital Universitário,Obstetrícia,24,0.589,26,4.0,0.05,0,3419.89,15-29,Urgência
2022,3,Hospital Universitário,Neurologia,80,0.63,81,7.5,0.105,3,3181.85,0-14,Urgência
2022,3,Hospital Municipal Centro,Oncologia,27,0.809,41,5.3,0.123,1,3481.27,50-64,Eletiva
2022,3,Hospital Municipal Centro,Cardiologia,27,0.751,35,6.2,0.049,0,4471.8,30-49,Urgência
2022,3,Hospital Municipal Centro,Ortopedia,65,0.428,44,1.0,0.058,1,2231.82,15-29,Urgência
2022,3,Hospital Municipal Centro,Neurologia,52,0.776,108,12.7,0.084,5,2663.61,50-64,Eletiva
2022,3,Hospital Municipal Leste,Cirurgia Geral,30,0.84,332,5.9,0.066,10,8942.375,65+,Urgência
2022,3,Hospital Municipal Leste,Pediatria,32,0.671,316,4.3,0.091,5,9734.426000000001,30-49,Eletiva
2022,3,Hospital Municipal Leste,Ortopedia,31,0.769,403,5.5,0.137,5,8729.708,65+,Urgência
2022,3,Hospital Maternidade Vida,Pediatria,66,0.809,154,4.2,0.157,5,5625.62,65+,Urgência
2022,3,Hospital Maternidade Vida,Cirurgia Geral,61,0.863,95,2.4,0.056,5,3896.59,65+,Urgência
2022,3,Hospital Maternidade Vida,Obstetrícia,61,0.853,140,4.7,0.067,2,3815.21,50-64,Urgência
2022,3,Hospital Maternidade Vida,Cardiologia,50,0.739,81,4.8,0.099,3,2829.42,30-49,Urgência
2022,3,Hospital Pronto-Socorro 24h,Obstetrícia,40,0.723,62,6.8,0.088,2,5381.65,50-64,Eletiva
2022,3,Hospital Pronto-Socorro 24h,Cardiologia,75,0.639,136,7.8,0.0,3,2861.78,15-29,Urgência
2022,3,Hospital Pronto-Socorro 24h,Neurologia,52,0.479,55,6.6,0.114,2,2784.48,65+,Urgência
2022,3,Hospital Pronto-Socorro 24h,Clínica Médica,23,0.744,26,1.0,0.083,0,2570.16,65+,Urgência
2022,3,Hospital Clínica Esperança,Neurologia,26,0.73,208,3.1,0.097,6,13843.739000000001,30-49,Urgência
2022,3,Hospital Clínica Esperança,Cirurgia Geral,18,0.783,171,2.4,,3,7944.664,65+,Urgência
2022,3,Hospital Clínica Esperança,Pediatria,16,0.79,137,7.2,0.042,1,7094.451000000001,65+,Urgência
2022,3,Hospital Hospital do Coração,Oncologia,72,0.866,95,4.9,0.097,1,3929.37,0-14,Urgência
2022,3,Hospital Hospital do Coração,Obstetrícia,36,0.925,88,,0.024,1,2970.82,65+,Urgência
2022,3,Hospital Hospital do Coração,Cardiologia,29,0.683,54,5.7,0.132,1,2880.52,50-64,Urgência
2022,3,Hospital Hospital do Coração,Pediatria,46,0.827,80,8.6,0.094,0,4637.84,0-14,Eletiva
2022,3,Hospital Hospital do Coração,Ortopedia,53,0.58,55,3.8,0.133,0,3361.68,15-29,Urgência
2022,3,Hospital Oncológico,Obstetrícia,32,0.814,50,5.0,0.186,0,3707.24,50-64,Urgência
2022,3,Hospital Oncológico,Oncologia,50,0.534,54,9.6,0.051,1,4004.31,65+,Urgência
2022,3,Hospital Oncológico,Neurologia,77,0.94,212,4.9,0.091,3,3129.3,30-49,Urgência
2022,3,Hospital Oncológico,Pediatria,61,0.905,103,,0.084,0,2941.88,30-49,Eletiva
2022,3,Hospital Oncológico,Ortopedia,26,0.601,29,3.3,0.056,0,3287.43,50-64,Urgência
2022,3,Hospital Infantil Anjo,Cirurgia Geral,61,0.69,122,7.6,0.048,5,5948.65,30-49,Urgência
2022,3,Hospital Infantil Anjo,Obstetrícia,61,0.911,137,7.1,0.087,7,3662.53,15-29,Urgência
2022,3,Hospital Infantil Anjo,Oncologia,76,0.693,145,6.1,0.076,6,1990.85,15-29,Urgência
2022,3,Hospital Infantil Anjo,Clínica Médica,76,0.818,149,6.0,0.113,3,2126.51,65+,Urgência
2022,3,Hospital Infantil Anjo,Neurologia,76,0.769,169,7.2,0.044,5,3957.68,15-29,Urgência
2022,3,Hospital Infantil Anjo,Ortopedia,61,0.716,113,7.1,0.093,1,3528.42,50-64,Urgência
2022,3,Hospital Ortopédico Plus,Cirurgia Geral,28,0.646,40,5.8,0.078,0,4226.82,30-49,Urgência
2022,3,Hospital Ortopédico Plus,Ortopedia,39,0.584,43,3.9,0.061,1,2947.27,15-29,Urgência
2022,3,Hospital Ortopédico Plus,Obstetrícia,63,0.603,85,8.6,0.042,2,3963.56,30-49,Urgência
2022,3,Hospital Ortopédico Plus,Clínica Médica,59,0.775,101,11.7,0.0,4,2409.34,50-64,Eletiva
2022,3,Hospital Ortopédico Plus,Oncologia,68,0.853,108,5.7,0.0,4,4035.35,30-49,Urgência
2022,3,Hospital Saúde Mental,Clínica Médica,77,0.564,74,5.4,0.057,3,4005.15,65+,Urgência
2022,3,Hospital Saúde Mental,Neurologia,25,0.774,55,4.7,0.085,2,4263.98,65+,Urgência
2022,3,Hospital Saúde Mental,Cardiologia,55,0.508,72,6.6,0.022,3,3465.36,0-14,Urgência
2022,4,Hospital São José,Cirurgia Geral,22,0.562,23,6.1,0.1,0,2244.57,50-64,Urgência
2022,4,Hospital São José,Cardiologia,77,0.541,119,8.9,0.037,5,2844.78,30-49,Urgência
2022,4,Hospital São José,Clínica Médica,31,0.593,54,4.5,0.093,3,3247.07,0-14,Urgência
2022,4,Hospital São José,Obstetrícia,49,0.65,73,2.7,0.093,1,3043.77,0-14,Urgência
2022,4,Hospital São José,Ortopedia,71,0.799,141,1.1,0.018,5,3023.57,0-14,Urgência
2022,4,Hospital Santa Casa,Oncologia,65,0.782,79,,0.034,2,3547.67,15-29,Urgência
2022,4,Hospital Santa Casa,Cardiologia,34,0.512,47,5.2,0.045,0,2637.6,30-49,Eletiva
2022,4,Hospital Santa Casa,Obstetrícia,39,0.969,86,1.0,0.053,3,2245.68,15-29,Urgência
2022,4,Hospital Regional Norte,Clínica Médica,28,0.664,98,5.6,,3,6458.16,50-64,Urgência
2022,4,Hospital Regional Norte,Pediatria,28,0.87,117,4.9,0.097,5,9717.64,15-29,Urgência
2022,4,Hospital Regional Norte,Obstetrícia,27,0.611,139,6.6,0.062,4,4161.19,50-64,Eletiva
2022,4,Hospital Regional Norte,Ortopedia,25,0.634,77,10.7,,0,8142.26,15-29,Urgência
2022,4,Hospital Regional Norte,Neurologia,22,0.454,84,3.2,0.114,1,8856.81,50-64,Urgência
2022,4,Hospital Regional Norte,Cardiologia,30,0.728,115,3.3,0.157,4,7633.89,65+,Urgência
2022,4,Hospital Regional Sul,Pediatria,56,0.698,107,1.9,0.08,2,2792.38,50-64,Urgência
2022,4,Hospital Regional Sul,Cirurgia Geral,49,0.825,70,9.4,0.071,0,4583.4,0-14,Urgência
2022,4,Hospital Regional Sul,Oncologia,73,0.645,130,9.0,0.06,4,2472.97,15-29,Urgência
2022,4,Hospital Regional Sul,Neurologia,65,0.769,109,6.9,0.133,4,5520.88,50-64,Urgência
2022,4,Hospital Regional Sul,Ortopedia,20,0.613,28,5.1,0.084,0,2280.07,30-49,Urgência
2022,4,Hospital Universitário,Pediatria,32,0.653,42,4.2,0.085,1,4572.4,15-29,Eletiva
2022,4,Hospital Universitário,Clínica Médica,39,0.686,67,7.6,0.032,3,2187.08,0-14,Urgência
2022,4,Hospital Universitário,Neurologia,44,0.622,67,7.5,0.075,1,4311.31,30-49,Urgência
2022,4,Hospital Universitário,Cardiologia,77,0.577,101,7.2,0.087,5,1959.2,50-64,Urgência
2022,4,Hospital Universitário,Cirurgia Geral,22,0.882,37,3.8,0.024,0,4337.14,0-14,Eletiva
2022,4,Hospital Universitário,Obstetrícia,57,0.931,91,7.5,0.013,3,3135.52,65+,Eletiva
2022,4,Hospital Municipal Centro,Obstetrícia,67,0.759,109,5.4,0.099,2,3796.54,50-64,Urgência
2022,4,Hospital Municipal Centro,Ortopedia,21,0.423,21,6.1,0.037,0,4757.13,50-64,Urgência
2022,4,Hospital Municipal Centro,Oncologia,31,0.645,32,2.2,0.027,0,3404.95,15-29,Urgência
2022,4,Hospital Municipal Centro,Cirurgia Geral,65,0.672,116,6.9,0.113,2,3836.36,30-49,Urgência
2022,4,Hospital Municipal Centro,Clínica Médica,43,0.724,50,4.3,0.034,1,3034.47,0-14,Urgência
2022,4,Hospital Municipal Centro,Pediatria,55,0.716,64,3.7,0.06,1,4048.47,50-64,Urgência
2022,4,Hospital Municipal Leste,Pediatria,23,0.676,75,8.3,0.04,2,8234.26,50-64,Eletiva
2022,4,Hospital Municipal Leste,Obstetrícia,18,0.762,57,1.7,0.127,0,10253.86,50-64,Eletiva
2022,4,Hospital Municipal Leste,Ortopedia,25,0.573,85,3.2,0.052,3,8338.2,15-29,Urgência
2022,4,Hospital Municipal Leste,Cirurgia Geral,23,0.551,105,7.9,0.114,1,6403.94,65+,Urgência
2022,4,Hospital Maternidade Vida,Ortopedia,51,0.785,75,7.1,0.104,3,2718.3,65+,Urgência
2022,4,Hospital Maternidade Vida,Oncologia,57,0.811,97,1.0,0.076,2,2330.49,30-49,Urgência
2022,4,Hospital Maternidade Vida,Pediatria,26,0.741,39,1.9,0.073,1,4996.4,50-64,Urgência
2022,4,Hospital Maternidade Vida,Clínica Médica,70,0.701,105,7.4,0.082,1,3418.93,65+,Eletiva
2022,4,Hospital Maternidade Vida,Neurologia,48,0.626,75,7.5,0.072,1,4648.16,30-49,Urgência
2022,4,Hospital Maternidade Vida,Obstetrícia,78,0.718,164,9.9,,6,4171.99,50-64,Eletiva
2022,4,Hospital Pronto-Socorro 24h,Obstetrícia,24,0.652,26,9.8,0.114,0,3235.15,15-29,Eletiva
2022,4,Hospital Pronto-Socorro 24h,Ortopedia,55,0.655,62,1.0,0.043,1,4512.48,15-29,Eletiva
2022,4,Hospital Pronto-Socorro 24h,Clínica Médica,60,0.654,102,3.4,0.112,1,3414.66,15-29,Eletiva
2022,4,Hospital Pronto-Socorro 24h,Neurologia,37,0.725,70,5.8,0.067,3,4709.77,15-29,Urgência
2022,4,Hospital Pronto-Socorro 24h,Cardiologia,40,0.739,74,6.7,0.0,2,3115.16,50-64,Urgência
2022,4,Hospital Pronto-Socorro 24h,Cirurgia Geral,42,0.83,70,4.0,0.086,1,1907.19,65+,Urgência
2022,4,Hospital Clínica Esperança,Obstetrícia,20,0.674,95,6.5,,2,5528.71,15-29,Eletiva
2022,4,Hospital Clínica Esperança,Clínica Médica,24,0.732,89,4.7,0.084,2,6838.21,50-64,Urgência
