pedido_id,data_pedido,hora_pedido,vendedor_id,categoria,produto_id,preco_unitario,quantidade,valor_total,frete,estado_cliente,status_pedido,nota_avaliacao
PED-000021,2023-02-26,11:00,VEND-0113,Eletrônicos,PROD-0203,37.62,1,37.62,24.78,BA,Em trânsito,
PED-000022,2023-07-18,07:27,VEND-0114,Moda Feminina,PROD-0498,94.34,1,94.34,19.9,BA,Entregue,5.0
PED-000023,2023-09-12,12:02,VEND-0063,Esporte & Lazer,PROD-0032,234.61,2,469.23,10.73,CE,Cancelado,
PED-000024,2024-02-18,06:28,VEND-0120,Casa & Decoração,PROD-0033,253.16,2,506.33,42.73,CE,Entregue,5.0
PED-000025,2024-12-17,22:32,VEND-0106,Infantil,PROD-0177,117.96,1,117.96,21.08,MG,Cancelado,
PED-000026,2024-03-06,04:15,VEND-0099,Eletrônicos,PROD-0331,535.58,3,1606.73,41.12,PB,Entregue,4.0
PED-000027,2023-09-16,08:01,VEND-0113,Beleza & Saúde,PROD-0464,102.27,1,102.27,30.57,PR,Entregue,1.0
PED-000028,2024-08-14,16:06,VEND-0033,Eletrônicos,PROD-0131,571.25,1,571.25,,MA,Entregue,5.0
PED-000029,2024-12-05,19:18,VEND-0024,Beleza & Saúde,PROD-0127,70.34,1,70.34,33.86,CE,Entregue,5.0
PED-000030,2023-09-24,12:43,VEND-0066,Infantil,PROD-0400,82.69,1,82.69,38.12,SE,Em trânsito,
PED-000031,2024-10-25,17:16,VEND-0064,Moda Masculina,PROD-0033,175.47,1,175.47,41.34,BA,Cancelado,
PED-000032,2024-11-07,21:50,VEND-0022,Eletrônicos,PROD-0356,366.46,1,366.46,41.3,CE,Entregue,5.0
PED-000033,2024-02-10,18:45,VEND-0075,Acessórios,PROD-0101,41.71,1,41.71,41.32,MA,Entregue,1.0
PED-000034,2024-06-08,17:11,VEND-0051,Eletrônicos,PROD-0015,555.62,1,555.62,43.64,MG,Devolvido,
PED-000035,2023-11-21,15:55,VEND-0026,Moda Feminina,PROD-0330,140.09,1,140.09,32.25,CE,Entregue,3.0
PED-000036,2024-08-29,11:49,VEND-0110,Eletrônicos,PROD-0102,297.38,3,892.14,20.83,RJ,Devolvido,
PED-000037,2023-02-16,21:00,VEND-0089,Moda Feminina,PROD-0257,127.22,2,254.43,,SP,Em trânsito,
PED-000038,2024-04-17,23:47,VEND-0041,Esporte & Lazer,PROD-0203,227.94,1,227.94,15.5,RS,Devolvido,
PED-000039,2023-01-24,19:11,VEND-0090,Infantil,PROD-0343,99.05,1,99.05,7.12,PA,Entregue,5.0
PED-000040,2024-04-12,10:19,VEND-0096,Eletrônicos,PROD-0500,445.16,1,445.16,27.86,RJ,Entregue,5.0
PED-000041,2024-05-06,21:00,VEND-0026,Moda Feminina,PROD-0203,189.49 ,1,189.49,30.03,CE,Cancelado,
PED-000042,2024-02-02,12:30,VEND-0021,Casa & Decoração,PROD-0210,248.96,1,248.96,35.68,GO,Devolvido,
PED-000043,2023-10-15,12:08,VEND-0074,Infantil,PROD-0361,56.92,2,113.84,31.3,RS,Devolvido,
PED-000044,2024-07-15,16:53,VEND-0015,Moda Feminina,PROD-0267,124.8,1,124.8,14.12,MA,Entregue,5.0
PED-000045,2024-08-23,13:48,VEND-0064,Eletrônicos,PROD-0284,823.91,2,1647.82,43.98,PB,Entregue,4.0
PED-000046,2023-11-12,19:43,VEND-0008,Moda Feminina,PROD-0212,114.19,1,114.19,14.51,SP,Devolvido,
PED-000047,2023-03-22,19:48,VEND-0105,Esporte & Lazer,PROD-0058,269.07,1,269.07,37.35,RJ,Entregue,1.0
PED-000048,2023-04-22,13:00,VEND-0055,Acessórios,PROD-0121,56.14,1,56.14,41.05,CE,Entregue,5.0
PED-000049,2024-10-23,13:48,VEND-0112,Casa & Decoração,PROD-0225,282.34,1,282.34,15.56,CE,Entregue,5.0
PED-000050,2024-08-19,08:53,VEND-0071,Acessórios,PROD-0211,84.05,1,84.05,31.56,BA,Entregue,2.0
PED-000051,2024-10-14,13:10,VEND-0110,Eletrônicos,PROD-0321,645.66,1,645.66,43.67,PI,Entregue,5.0
PED-000052,2024-06-14,19:49,VEND-0060,Moda Feminina,PROD-0057,123.84,1,123.84,43.23,PR,Entregue,4.0
PED-000053,2024-10-14,17:54,VEND-0043,Eletrônicos,PROD-0291,39.47,1,39.47,36.02,SE,Entregue,5.0
PED-000054,2024-04-23,11:29,VEND-0117,Casa & Decoração,PROD-0079,257.26,1,257.26,18.86,CE,Cancelado,
PED-000055,2024-01-16,13:59,VEND-0103,Esporte & Lazer,PROD-0312,302.56,2,605.13,16.11,PA,Em trânsito,
PED-000056,2023-04-11,08:11,VEND-0037,Moda Masculina,PROD-0062,153.34,2,306.68,38.0,SP,Entregue,4.0
PED-000057,2024-04-01,18:42,VEND-0080,Moda Feminina,PROD-0058,65.2,1,65.2,15.34,CE,Em trânsito,
PED-000058,2024-06-11,12:38,VEND-0018,Casa & Decoração,PROD-0209,332.31,2,664.61,10.8,BA,Cancelado,
PED-000059,2024-08-10,20:47,VEND-0108,Moda Feminina,PROD-0200,15.0,3,45.0,33.38,MG,Cancelado,
PED-000060,2023-07-10,20:04,VEND-0042,Moda Masculina,PROD-0318,191.26,1,191.26,39.78,SP,Entregue,5.0
PED-000061,2024-02-07,06:30,VEND-0031,Eletrônicos,PROD-0123,486.88,1,486.88,21.42,CE,Entregue,2.0
PED-000062,2023-09-16,09:49,VEND-0021,Moda Feminina,PROD-0261,125.95,1,125.95,41.78,MG,Entregue,1.0
PED-000063,2024-05-12,16:47,VEND-0097,Casa & Decoração,PROD-0462,173.54,1,173.54,11.18,BA,Entregue,1.0
PED-000064,2024-08-22,09:25,VEND-0001,Casa & Decoração,PROD-0317,270.26,2,540.51,17.4,SP,Em trânsito,
PED-000065,2024-11-09,14:32,VEND-0095,Infantil,PROD-0225,30.13,1,30.13,27.52,RJ,Em trânsito,
PED-000066,2024-07-04,06:06,VEND-0108,Beleza & Saúde,PROD-0345,96.62,1,96.62,30.11,CE,Cancelado,
PED-000067,2023-07-10,04:27,VEND-0010,Moda Feminina,PROD-0016,150.14,1,150.14,44.67,CE,Entregue,5.0
PED-000068,2023-06-01,17:43,VEND-0106,Eletrônicos,PROD-0072,313.32,1,313.32,37.8,PA,Em trânsito,
PED-000069,2023-11-10,11:32,VEND-0076,Moda Feminina,PROD-0155,115.37,1,115.37,32.06,BA,Entregue,3.0
PED-000070,2023-05-01,14:12,VEND-0030,Casa & Decoração,PROD-0098,209.17,1,209.17,35.27,CE,Em trânsito,
PED-000071,2023-11-26,19:58,VEND-0039,Moda Feminina,PROD-0396,111.21,3,333.64,15.16,SP,Entregue,5.0
PED-000072,2023-12-08,09:25,VEND-0082,Moda Feminina,PROD-0469,78.59,3,235.76,23.95,PE,Devolvido,
PED-000073,2023-09-03,00:25,VEND-0028,Eletrônicos,PROD-0155,549.03,1,549.03,8.34,SP,Entregue,3.0
PED-000074,2023-01-19,08:51,VEND-0032,Beleza & Saúde,PROD-0414,69.94,1,69.94,6.02,MG,Entregue,4.0
PED-000075,2023-02-07,13:06,VEND-0101,Infantil,PROD-0261,76.71,2,153.42,22.55,RJ,Entregue,2.0
PED-000076,2024-03-09,22:41,VEND-0100,Esporte & Lazer,PROD-0423,165.8,1,165.8,31.33,SP,Entregue,2.0
PED-000077,2024-03-12,00:03,VEND-0104,Moda Masculina,PROD-0041,167.5,1,167.5,31.41,SP,Entregue,5.0
PED-000078,2024-04-25,06:02,VEND-0098,Eletrônicos,PROD-0074,344.05,1,344.05,23.31,MG,Entregue,4.0
PED-000079,2024-07-13,20:36,VEND-0024,Eletrônicos,PROD-0084,74.74,2,149.48,34.03,RS,Entregue,5.0
PED-000080,2023-09-30,15:59,VEND-0037,Casa & Decoração,PROD-0151,198.34,1,198.34,44.26,MG,Entregue,4.0
PED-000081,2024-10-17,10:32,VEND-0094,Moda Masculina,PROD-0199,83.2,1,83.2,31.59,PA,Devolvido,
PED-000082,2024-02-16,06:28,VEND-0023,Esporte & Lazer,PROD-0460,125.59,1,125.59,26.84,CE,Em trânsito,
PED-000083,2024-03-30,08:04,VEND-0098,Moda Masculina,PROD-0286,91.44,1,91.44,26.52,RJ,Entregue,4.0
PED-000084,2023-04-17,19:38,VEND-0106,Infantil,PROD-0167,87.72,1,87.72,25.46,CE,Em trânsito,
PED-000085,2024-03-09,11:10,VEND-0050,Moda Feminina,PROD-0127,196.84,1,196.84,7.8,RJ,Entregue,4.0
PED-000086,2024-12-04,10:52,VEND-0023,Moda Feminina,PROD-0158,166.86,1,166.86,14.6,SP,Entregue,5.0
PED-000087,2024-07-02,11:43,VEND-0097,Moda Masculina,PROD-0421,50.13,1,50.13,37.44,MG,Em trânsito,
PED-000088,2024-03-12,10:26,VEND-0061,Eletrônicos,PROD-0047,315.94,1,315.94,24.87,MA,Entregue,5.0
PED-000089,2023-05-29,19:02,VEND-0047,Esporte & Lazer,PROD-0102,52.86,1,52.86,,CE,Entregue,2.0
PED-000090,2024-05-02,20:18,VEND-0062,Eletrônicos,PROD-0106,506.01,1,506.01,20.43,CE,Entregue,4.0
PED-000091,2023-07-08,17:32,VEND-0091,Infantil,PROD-0312,117.14,2,234.28,12.43,CE,Em trânsito,
PED-000092,2024-07-05,11:16,VEND-0117,Moda Feminina,PROD-0223,77.59,1,77.59,32.07,PE,Entregue,4.0
PED-000093,2023-06-12,11:09,VEND-0012,Infantil,PROD-0003,69.82,1,69.82,7.57,RS,Entregue,4.0
PED-000094,2023-10-23,12:28,VEND-0083,Moda Feminina,PROD-0452,115.83,2,231.65,5.25,SP,Entregue,3.0
PED-000095,2024-03-11,16:28,VEND-0055,Moda Feminina,PROD-0187,100.18,1,100.18,22.68,SP,Devolvido,
PED-000096,2023-12-14,11:27,VEND-0005,Moda Feminina,PROD-0490,75.93,1,75.93,30.56,PE,Devolvido,
PED-000097,2024-05-04,14:00,VEND-0040,Casa & Decoração,PROD-0081,116.85,1,116.85,33.48,MG,Entregue,5.0
PED-000098,2023-07-24,03:41,VEND-0042,Esporte & Lazer,PROD-0305,189.2,2,378.39,26.38,CE,Entregue,5.0
PED-000099,2023-11-23,19:11,VEND-0087,Infantil,PROD-0257,130.48,1,130.48,22.36,RJ,Entregue,5.0
PED-000100,2024-07-14,10:22,VEND-0020,Eletrônicos,PROD-0072,153.6,1,153.6,19.08,CE,Em trânsito,
PED-000101,2023-08-16,04:02,VEND-0045,Moda Masculina,PROD-0033,161.69,2,323.38,25.42,CE,Em trânsito,
PED-000102,2024-11-04,16:15,VEND-0039,Esporte & Lazer,PROD-0412,66.16,1,66.16,26.16,PR,Entregue,4.0
PED-000103,2024-01-24,15:01,VEND-0033,Casa & Decoração,PROD-0112,128.33,3,385.0,28.05,MG,Em trânsito,
PED-000104,2023-07-12,11:36,VEND-0073,Eletrônicos,PROD-0447,547.33,1,547.33,16.69,SP,Entregue,2.0
PED-000105,2023-02-12,21:29,VEND-0069,Moda Feminina,PROD-0257,109.18,1,109.18,10.3,PR,Em trânsito,
PED-000106,2023-04-23,12:11,VEND-0079,Moda Masculina,PROD-0445,165.92,1,165.92,20.54,RJ,Cancelado,
PED-000107,2023-04-03,11:54,VEND-0060,Casa & Decoração,PROD-0419,312.82,2,625.63,36.29,PE,Entregue,3.0
PED-000108,2023-08-05,12:01,VEND-0026,Eletrônicos,PROD-0479,595.04,1,595.04,18.63,RJ,Em trânsito,
PED-000109,2023-10-15,18:59,VEND-0117,Eletrônicos,PROD-0288,276.93,1,276.93,28.2,PR,Em trânsito,
PED-000110,2023-01-27,11:15,VEND-0097,Moda Feminina,PROD-0470,182.63,1,182.63,17.52,MA,Entregue,4.0
PED-000111,2024-10-08,12:13,VEND-0071,Moda Feminina,PROD-0180,93.66,1,93.66,,PI,Entregue,1.0
PED-000112,2023-04-10,21:08,VEND-0113,Moda Masculina,PROD-0339,231.27,2,462.55,7.35,RJ,Em trânsito,
PED-000113,2024-07-03,11:38,VEND-0012,Moda Masculina,PROD-0449,67.15,1,67.15,18.35,MG,Em trânsito,
PED-000114,2024-11-01,11:28,VEND-0102,Moda Masculina,PROD-0240,231.3,2,462.6,19.35,GO,Entregue,2.0
PED-000115,2023-09-16,14:00,VEND-0114,Casa & Decoração,PROD-0117,310.21,1,310.21,29.43,SP,Cancelado,
PED-000116,2023-12-15,12:51,VEND-0030,Beleza & Saúde,PROD-0132,105.39,1,105.39,,CE,Entregue,4.0
PED-000117,2023-11-02,16:01,VEND-0045,Beleza & Saúde,PROD-0355,133.21,1,133.21,16.33,MA,Entregue,5.0
PED-000118,2023-02-22,18:52,VEND-0106,Casa & Decoração,PROD-0201,249.19,1,249.19,22.92,PE,Entregue,4.0
PED-000119,2024-01-08,07:00,VEND-0088,Esporte & Lazer,PROD-0177,88.4,1,88.4,22.91,RJ,Entregue,4.0
PED-000120,2024-04-29,03:53,VEND-0088,Casa & Decoração,PROD-0433,148.47,2,296.94,23.0,RJ,Em trânsito,
PED-000121,2023-02-28,10:09,VEND-0004,Beleza & Saúde,PROD-0419,49.37,1,49.37,14.28,PE,Cancelado,
PED-000122,2023-10-26,16:03,VEND-0084,Eletrônicos,PROD-0011,489.63,1,489.63,11.9,SP,Entregue,5.0
PED-000123,2024-07-18,16:01,VEND-0015,Infantil,PROD-0189,70.61,1,70.61,12.97,CE,Entregue,3.0
PED-000124,2024-08-24,03:13,VEND-0055,Esporte & Lazer,PROD-0420,383.67,2,767.34,35.92,MA,Devolvido,
PED-000125,2023-06-13,18:39,VEND-0039,Eletrônicos,PROD-0079,483.39,2,966.78,22.6,SP,Entregue,4.0
PED-000126,2024-03-01,10:50,VEND-0100,Acessórios,PROD-0110,46.27,1,46.27,10.93,CE,Em trânsito,
PED-000127,2024-05-03,16:01,VEND-0012,Casa & Decoração,PROD-0478,149.27,1,149.27,38.99,GO,Entregue,5.0
PED-000128,2023-06-15,00:20,VEND-0075,Beleza & Saúde,PROD-0170,15.0,1,15.0,5.51,SP,Entregue,5.0
PED-000129,2023-05-24,16:20,VEND-0089,Acessórios,PROD-0136,73.49,1,73.49,30.19,PE,Entregue,5.0
PED-000130,2024-02-03,10:06,VEND-0106,Eletrônicos,PROD-0313,887.01,1,887.01,6.27,CE,Entregue,4.0
PED-000131,2023-10-21,16:49,VEND-0091,Esporte & Lazer,PROD-0014,86.05,1,86.05,8.95,SP,Entregue,2.0
PED-000132,2023-10-24,10:44,VEND-0010,Moda Feminina,PROD-0339,48.18,1,48.18,15.5,PI,Devolvido,
PED-000133,2024-03-21,11:46,VEND-0026,Beleza & Saúde,PROD-0288,124.46,1,124.46,17.15,PA,Entregue,4.0
PED-000134,2023-12-29,15:15,VEND-0028,Moda Feminina,PROD-0041,158.7,1,158.7,42.07,BA,Cancelado,
PED-000135,2024-11-27,15:44,VEND-0060,Eletrônicos,PROD-0272,404.7,1,404.7,,RJ,Entregue,3.0
PED-000136,2023-01-12,11:02,VEND-0024,Casa & Decoração,PROD-0277,238.47,1,238.47,19.59,CE,Entregue,4.0
PED-000137,2024-10-28,17:51,VEND-0109,Eletrônicos,PROD-0493,660.84 ,1,660.84,5.6,MA,Entregue,3.0
PED-000138,2024-10-07,14:40,VEND-0034,Eletrônicos,PROD-0044,608.75,2,1217.5,31.81,SP,Entregue,5.0
PED-000139,2024-12-24,08:11,VEND-0025,Esporte & Lazer,PROD-0287,218.31,1,218.31,20.2,CE,Entregue,3.0
PED-000140,2024-08-19,08:34,VEND-0120,Moda Masculina,PROD-0032,88.96,1,88.96,19.12,MG,Entregue,5.0
PED-000141,2024-03-22,06:08,VEND-0093,Casa & Decoração,PROD-0353,299.95,1,299.95,32.68,CE,Entregue,4.0
PED-000142,2024-03-04,06:55,VEND-0034,Moda Masculina,PROD-0332,292.07,1,292.07,26.06,RN,Entregue,4.0
PED-000143,2024-05-11,09:19,VEND-0069,Eletrônicos,PROD-0074,283.0,1,283.0,17.61,CE,Entregue,5.0
PED-000144,2023-11-01,23:25,VEND-0030,Casa & Decoração,PROD-0454,195.94,2,391.89,26.59,CE,Entregue,4.0
PED-000145,2024-08-16,17:02,VEND-0061,Beleza & Saúde,PROD-0184,52.26,1,52.26,19.22,PE,Em trânsito,
PED-000146,2023-03-13,18:43,VEND-0037,Eletrônicos,PROD-0382,406.36,1,406.36,21.14,SP,Em trânsito,
PED-000147,2024-06-29,09:40,VEND-0019,Infantil,PROD-0044,72.99,1,72.99,12.45,RS,Entregue,5.0
PED-000148,2023-10-30,12:34,VEND-0038,Moda Masculina,PROD-0033,160.03 ,1,160.03,23.1,PI,Entregue,4.0
PED-000149,2024-05-10,15:39,VEND-0107,Infantil,PROD-0035,143.49,1,143.49,24.49,CE,Entregue,5.0
PED-000150,2024-10-26,12:02,VEND-0042,Moda Feminina,PROD-0465,79.43,1,79.43,20.71,PE,Entregue,3.0
PED-000151,2023-11-22,07:08,VEND-0014,Esporte & Lazer,PROD-0179,154.21,1,154.21,10.53,RJ,Entregue,1.0
PED-000152,2023-05-17,13:56,VEND-0088,Moda Masculina,PROD-0289,157.22,1,157.22,18.46,PA,Cancelado,
PED-000153,2023-12-09,11:28,VEND-0098,Esporte & Lazer,PROD-0307,133.61 ,2,267.22,6.61,RS,Entregue,5.0
PED-000154,2024-05-29,09:59,VEND-0109,Eletrônicos,PROD-0010,589.7,1,589.7,6.49,CE,Entregue,3.0
PED-000155,2024-01-01,10:11,VEND-0026,Moda Feminina,PROD-0251,204.32,1,204.32,37.67,PE,Devolvido,
PED-000156,2023-01-24,16:50,VEND-0107,Casa & Decoração,PROD-0398,174.78,3,524.35,35.48,CE,Entregue,3.0
PED-000157,2023-08-19,11:13,VEND-0016,Casa & Decoração,PROD-0084,243.83,3,731.49,6.89,CE,Entregue,4.0
PED-000158,2023-06-14,12:49,VEND-0027,Esporte & Lazer,PROD-0048,216.09,1,216.09,30.22,BA,Entregue,5.0
PED-000159,2023-06-28,16:46,VEND-0001,Casa & Decoração,PROD-0187,212.63,1,212.63,6.88,GO,Entregue,4.0
PED-000160,2023-10-16,00:04,VEND-0066,Acessórios,PROD-0031,85.96,1,85.96,36.89,BA,Devolvido,
PED-000161,2024-05-05,03:20,VEND-0050,Esporte & Lazer,PROD-0266,139.86,2,279.72,33.37,CE,Cancelado,
PED-000162,2024-03-05,07:07,VEND-0075,Acessórios,PROD-0126,96.36,1,96.36,6.01,PI,Em trânsito,
PED-000163,2024-09-04,12:35,VEND-0014,Infantil,PROD-0429,99.27,2,198.55,13.22,CE,Entregue,1.0
PED-000164,2024-04-27,14:05,VEND-0069,Infantil,PROD-0162,112.7,1,112.7,20.58,CE,Cancelado,
PED-000165,2024-12-05,09:37,VEND-0050,Eletrônicos,PROD-0303,314.89,2,629.77,40.43,MG,Entregue,5.0
PED-000166,2023-07-07,13:21,VEND-0080,Acessórios,PROD-0384,18.84,1,18.84,16.37,BA,Devolvido,
PED-000167,2023-03-16,10:38,VEND-0082,Moda Masculina,PROD-0204,154.26,1,154.26,35.92,RJ,Entregue,5.0
PED-000168,2023-01-25,13:54,VEND-0012,Eletrônicos,PROD-0008,82.98,2,165.96,40.7,SP,Entregue,4.0
PED-000169,2023-10-02,15:28,VEND-0069,Esporte & Lazer,PROD-0197,192.96,1,192.96,25.06,CE,Entregue,5.0
PED-000170,2024-07-25,11:50,VEND-0028,Moda Feminina,PROD-0155,43.66,1,43.66,14.74,CE,Entregue,4.0
PED-000171,2023-07-16,06:07,VEND-0100,Esporte & Lazer,PROD-0289,175.27,1,175.27,36.66,RJ,Entregue,4.0
PED-000172,2024-10-25,19:44,VEND-0004,Casa & Decoração,PROD-0009,182.26,1,182.26,38.32,PE,Em trânsito,
PED-000173,2024-12-11,12:21,VEND-0062,Casa & Decoração,PROD-0355,56.09,1,56.09,8.19,RN,Entregue,4.0
PED-000174,2023-10-18,11:38,VEND-0021,Moda Masculina,PROD-0196,220.89,1,220.89,40.21,MG,Cancelado,
PED-000175,2024-11-25,09:13,VEND-0070,Infantil,PROD-0402,138.35,1,138.35,26.64,CE,Entregue,3.0
PED-000176,2024-11-14,12:01,VEND-0039,Infantil,PROD-0435,87.0,1,87.0,10.37,PB,Entregue,5.0
PED-000177,2024-07-19,22:03,VEND-0021,Esporte & Lazer,PROD-0498,152.36,1,152.36,19.15,PI,Em trânsito,
PED-000178,2023-06-21,18:45,VEND-0003,Beleza & Saúde,PROD-0378,107.07,1,107.07,17.31,RJ,Entregue,2.0
PED-000179,2024-02-16,10:38,VEND-0041,Casa & Decoração,PROD-0243,271.23,1,271.23,11.64,MG,Cancelado,
PED-000180,2023-06-14,11:33,VEND-0008,Esporte & Lazer,PROD-0187,107.73,1,107.73,41.9,CE,Entregue,2.0
PED-000181,2023-12-09,12:17,VEND-0054,Beleza & Saúde,PROD-0341,71.27,1,71.27,5.71,SP,Entregue,5.0
PED-000182,2024-06-11,10:34,VEND-0006,Casa & Decoração,PROD-0303,160.04,1,160.04,18.01,SP,Entregue,3.0
PED-000183,2024-09-14,09:08,VEND-0067,Moda Feminina,PROD-0033,58.81,1,58.81,21.76,MA,Devolvido,
PED-000184,2024-02-29,03:54,VEND-0099,Moda Feminina,PROD-0316,99.86,1,99.86,43.31,BA,Cancelado,
PED-000185,2024-10-24,18:16,VEND-0070,Infantil,PROD-0033,64.17,1,64.17,36.89,BA,Devolvido,
PED-000186,2024-08-05,11:30,VEND-0111,Moda Masculina,PROD-0389,202.34,2,404.69,,RS,Em trânsito,
PED-000187,2024-09-12,22:00,VEND-0035,Beleza & Saúde,PROD-0116,63.24,2,126.47,17.52,PE,Devolvido,
PED-000188,2024-06-20,11:54,VEND-0065,Casa & Decoração,PROD-0332,89.72,2,179.43,20.04,SP,Entregue,3.0
PED-000189,2024-05-31,09:26,VEND-0071,Casa & Decoração,PROD-0025,274.36,1,274.36,7.01,CE,Cancelado,
PED-000190,2023-06-20,15:39,VEND-0104,Moda Feminina,PROD-0236,118.66,1,118.66,7.11,RJ,Entregue,5.0
PED-000191,2023-05-30,10:34,VEND-0064,Eletrônicos,PROD-0171,402.03,2,804.05,27.68,SP,Devolvido,
PED-000192,2023-02-02,18:00,VEND-0109,Casa & Decoração,PROD-0123,197.76,1,197.76,11.71,CE,Entregue,5.0
PED-000193,2024-05-19,04:01,VEND-0078,Moda Feminina,PROD-0478,111.77,1,111.77,30.41,PB,Em trânsito,
PED-000194,2023-08-16,04:57,VEND-0044,Moda Masculina,PROD-0298,87.34,1,87.34,25.24,CE,Entregue,4.0
PED-000195,2023-10-11,16:37,VEND-0100,Moda Feminina,PROD-0017,45.15,1,45.15,34.51,PR,Cancelado,
PED-000196,2023-06-29,20:46,VEND-0062,Esporte & Lazer,PROD-0268,130.35,1,130.35,38.65,PR,Entregue,4.0
PED-000197,2023-08-31,18:02,VEND-0060,Moda Masculina,PROD-0496,75.89,1,75.89,42.49,CE,Devolvido,
PED-000198,2024-04-14,09:12,VEND-0013,Eletrônicos,PROD-0472,271.47,2,542.93,7.21,MG,Entregue,3.0
PED-000199,2024-01-17,16:23,VEND-0003,Beleza & Saúde,PROD-0290,102.31,1,102.31,40.38,RJ,Em trânsito,
PED-000200,2023-02-07,15:02,VEND-0023,Eletrônicos,PROD-0158,591.01,1,591.01,43.65,MA,Entregue,4.0
PED-000201,2024-08-20,08:35,VEND-0005,Casa & Decoração,PROD-0289,270.2,2,540.4,43.71,BA,Entregue,1.0
PED-000202,2023-03-09,12:56,VEND-0047,Moda Masculina,PROD-0340,237.64,1,237.64,9.02,SP,Em trânsito,
PED-000203,2023-05-02,11:06,VEND-0027,Moda Masculina,PROD-0404,102.64,1,102.64,44.99,SP,Em trânsito,
PED-000204,2023-09-24,14:27,VEND-0050,Moda Feminina,PROD-0247,15.0,1,15.0,8.71,CE,Entregue,4.0
PED-000205,2023-04-05,21:01,VEND-0105,Eletrônicos,PROD-0118,474.46,1,474.46,8.88,CE,Entregue,3.0
PED-000206,2023-12-13,11:51,VEND-0074,Moda Feminina,PROD-0408,28.92,2,57.85,43.08,RS,Entregue,5.0
PED-000207,2024-04-12,15:12,VEND-0050,Infantil,PROD-0500,129.7,1,129.7,6.87,PA,Devolvido,
PED-000208,2024-08-19,07:25,VEND-0075,Eletrônicos,PROD-0276,555.96,1,555.96,22.59,PE,Entregue,4.0
PED-000209,2023-05-23,07:21,VEND-0030,Acessórios,PROD-0400,53.12,2,106.24,6.1,RN,Devolvido,
PED-000210,2024-03-17,05:16,VEND-0071,Eletrônicos,PROD-0287,863.53,1,863.53,20.27,SP,Entregue,5.0
PED-000211,2023-03-03,10:41,VEND-0047,Esporte & Lazer,PROD-0271,164.09,1,164.09,12.62,CE,Entregue,1.0
PED-000212,2024-03-16,21:29,VEND-0031,Moda Feminina,PROD-0034,83.11,1,83.11,43.68,CE,Entregue,5.0
PED-000213,2024-11-17,12:39,VEND-0039,Eletrônicos,PROD-0221,565.85,1,565.85,38.93,SP,Entregue,5.0
PED-000214,2024-08-25,15:50,VEND-0109,Moda Masculina,PROD-0081,197.1,1,197.1,6.66,CE,Entregue,4.0
