municipio,ano,programa,valor_repassado,valor_executado_declarado,fonte
Juazeiro do Norte,2022,Educação Fundamental,784551.56,783967.24,SUS
Juazeiro do Norte,2022,Saneamento,911300.73,794801.6,Emenda Parlamentar
Juazeiro do Norte,2022,Cultura,513747.32,462707.72,Emenda Parlamentar
Juazeiro do Norte,2023,Saneamento,755938.29,656418.28,PAC
Juazeiro do Norte,2023,Assistência Social,381687.13,381437.93,SUS
Juazeiro do Norte,2023,Cultura,586600.17,566290.81,FPM
Juazeiro do Norte,2023,Infraestrutura,467335.84,444838.71,Emenda Parlamentar
Juazeiro do Norte,2023,Saúde Básica,558266.87,526636.55,SUS
Juazeiro do Norte,2023,Educação Fundamental,325566.34,302181.69,Emenda Parlamentar
Maracanaú,2020,Assistência Social,88993.38,85288.85,Emenda Parlamentar
Maracanaú,2020,Cultura,600322.42,599053.07,FUNDEB
Maracanaú,2020,Saúde Básica,100749.92,95536.46,Emenda Parlamentar
Maracanaú,2020,Educação Fundamental,487084.97,467026.48,FUNDEB
Maracanaú,2020,Saneamento,392220.24,389141.26,FPM
Maracanaú,2021,Assistência Social,568458.3,534783.51,SUS
Maracanaú,2021,Saúde Básica,344459.74,299747.62,PAC
Maracanaú,2021,Educação Fundamental,332193.41,323394.17,SUS
Maracanaú,2022,Esporte,638201.47,571762.78,FPM
Maracanaú,2022,Saneamento,386428.33,373071.72,SUS
Maracanaú,2022,Assistência Social,675106.18,595190.12,FUNDEB
Maracanaú,2022,Educação Fundamental,540131.84,467474.65,FPM
Maracanaú,2023,Saneamento,676889.6,600389.43,PAC
Maracanaú,2023,Assistência Social,365628.68,342362.59,FUNDEB
Maracanaú,2023,Infraestrutura,725311.19,664543.62,Emenda Parlamentar
Maracanaú,2023,Esporte,409871.68,388265.16,PAC
Maracanaú,2023,Saúde Básica,482647.29,418203.99,FUNDEB
Maracanaú,2023,Cultura,227609.7,217047.16,SUS
Sobral,2020,Educação Fundamental,477150.76,438783.12,FUNDEB
Sobral,2020,Infraestrutura,188258.59,180609.49,PAC
Sobral,2020,Esporte,584003.87,511050.93,FPM
Sobral,2021,Infraestrutura,436124.66,414171.39,FPM
Sobral,2021,Cultura,523563.5,495106.26,Emenda Parlamentar
Sobral,2021,Assistência Social,860723.93,829540.74,PAC
Sobral,2022,Cultura,560827.72,537261.89,Emenda Parlamentar
Sobral,2022,Esporte,488019.02,438217.22,FPM
Sobral,2022,Saneamento,850515.67,755516.56,FPM
Sobral,2022,Assistência Social,509131.55,436744.44,PAC
Sobral,2022,Saúde Básica,203276.6,178955.26,FPM
Sobral,2022,Infraestrutura,592040.68,532732.32,PAC
Sobral,2023,Saneamento,344181.47,316641.45,PAC
Sobral,2023,Educação Fundamental,485261.63,412859.34,SUS
Sobral,2023,Esporte,298282.2,270549.03,PAC
Sobral,2023,Cultura,477439.12,413541.34,Emenda Parlamentar
Sobral,2023,Assistência Social,402865.73,350367.08,FUNDEB
Crato,2020,Saneamento,589682.98,560435.6,SUS
Crato,2020,Infraestrutura,462768.58,438315.18,FUNDEB
Crato,2020,Assistência Social,394817.51,370552.06,FUNDEB
Crato,2020,Cultura,735106.95,688760.7,SUS
Crato,2021,Educação Fundamental,668145.32,644066.4,PAC
Crato,2021,Cultura,516765.56,505314.57,SUS
Crato,2021,Infraestrutura,812484.9,801976.08,FPM
Crato,2021,Saneamento,553207.92,517087.78,FPM
Crato,2021,Esporte,225680.72,200137.98,FPM
Crato,2021,Saúde Básica,239686.25,233925.07,SUS
Crato,2022,Educação Fundamental,227419.98,220453.05,FPM
Crato,2022,Saúde Básica,369357.44,327356.37,SUS
Crato,2022,Cultura,451154.49,438260.28,PAC
Crato,2022,Assistência Social,199722.89,169824.57,FUNDEB
Crato,2022,Esporte,525488.59,476849.1,FPM
Crato,2022,Saneamento,369603.96,340595.03,SUS
Crato,2023,Infraestrutura,642443.57,633736.24,PAC
Crato,2023,Assistência Social,50000.0,43979.52,SUS
Crato,2023,Cultura,798344.73,685993.56,FPM
Crato,2023,Educação Fundamental,405611.2,349954.44,FPM
Crato,2023,Saneamento,458201.56,403395.58,FUNDEB
Itapipoca,2020,Infraestrutura,389427.11,359330.83,FPM
Itapipoca,2020,Educação Fundamental,352954.68,306571.41,FPM
Itapipoca,2020,Saneamento,215765.26,193500.28,Emenda Parlamentar
Itapipoca,2020,Assistência Social,438467.66,433022.9,SUS
Itapipoca,2021,Saneamento,428967.8,386093.23,Emenda Parlamentar
Itapipoca,2021,Esporte,281525.54,249556.33,Emenda Parlamentar
Itapipoca,2021,Educação Fundamental,906369.77,832075.44,SUS
Itapipoca,2021,Saúde Básica,100357.81,91780.35,PAC
Itapipoca,2022,Educação Fundamental,744619.95,678086.48,PAC
Itapipoca,2022,Assistência Social,623586.62,559279.97,Emenda Parlamentar
Itapipoca,2022,Esporte,337600.35,334274.8,FPM
Itapipoca,2022,Cultura,380147.56,354212.28,SUS
Itapipoca,2022,Saneamento,327257.6,285800.53,FUNDEB
Itapipoca,2022,Infraestrutura,528312.26,492612.76,FPM
Itapipoca,2023,Saúde Básica,253386.5,250612.56,FPM
Itapipoca,2023,Saneamento,441017.41,428461.91,FUNDEB
Itapipoca,2023,Educação Fundamental,181130.82,167181.79,FPM
Itapipoca,2023,Infraestrutura,255503.85,246859.69,SUS
Itapipoca,2023,Esporte,449326.84,386312.8,FUNDEB
Itapipoca,2023,Cultura,489922.69,426755.52,Emenda Parlamentar
Maranguape,2020,Cultura,314006.27,301715.22,Emenda Parlamentar
Maranguape,2020,Educação Fundamental,754249.19,674986.15,Emenda Parlamentar
Maranguape,2020,Saúde Básica,60922.27,53297.41,FPM
Maranguape,2020,Esporte,178265.4,164058.71,Emenda Parlamentar
Maranguape,2020,Saneamento,489159.51,439036.96,Emenda Parlamentar
Maranguape,2020,Assistência Social,250153.78,237439.31,PAC
Maranguape,2021,Esporte,478803.09,437543.15,FUNDEB
Maranguape,2021,Saúde Básica,432533.5,405379.15,FUNDEB
Maranguape,2021,Cultura,548150.06,540618.35,PAC
Maranguape,2021,Assistência Social,490877.23,431568.8,SUS
Maranguape,2021,Infraestrutura,409344.02,365051.66,SUS
Maranguape,2022,Esporte,241417.82,220875.26,FPM
Maranguape,2022,Assistência Social,644903.63,566256.75,Emenda Parlamentar
Maranguape,2022,Infraestrutura,545743.64,508649.28,PAC
Maranguape,2023,Assistência Social,504197.98,488117.85,FUNDEB
Maranguape,2023,Esporte,362874.61,311963.55,Emenda Parlamentar
Maranguape,2023,Cultura,367543.25,347059.73,FUNDEB
Maranguape,2023,Educação Fundamental,700584.92,634483.54,SUS
Maranguape,2023,Saneamento,585032.96,573334.88,Emenda Parlamentar
Maranguape,2023,Infraestrutura,651186.62,605331.04,FPM
Iguatu,2020,Assistência Social,256193.45,231371.17,FPM
Iguatu,2020,Esporte,50000.0,43515.68,Emenda Parlamentar
Iguatu,2020,Cultura,850576.15,795721.11,FUNDEB
Iguatu,2020,Saneamento,343358.31,293198.87,PAC
Iguatu,2020,Educação Fundamental,334675.82,290825.88,PAC
Iguatu,2021,Saneamento,170363.47,154036.87,FPM
Iguatu,2021,Educação Fundamental,420038.2,410496.11,FPM
Iguatu,2021,Saúde Básica,87037.93,86753.02,SUS
Iguatu,2021,Assistência Social,930569.98,866283.92,FUNDEB
Iguatu,2022,Saúde Básica,429058.86,399037.32,Emenda Parlamentar
Iguatu,2022,Assistência Social,642843.23,578351.31,PAC
Iguatu,2022,Infraestrutura,549435.94,543582.19,FPM
Iguatu,2022,Cultura,405293.0,393290.78,Emenda Parlamentar
Iguatu,2022,Saneamento,643226.1,618271.62,FUNDEB
Iguatu,2022,Educação Fundamental,542947.06,467207.89,FPM
Iguatu,2023,Saneamento,481625.96,434732.85,Emenda Parlamentar
Iguatu,2023,Saúde Básica,220678.07,198494.86,FPM
Iguatu,2023,Educação Fundamental,200577.1,185955.25,PAC
Iguatu,2023,Infraestrutura,921360.9,846169.62,PAC
Iguatu,2023,Esporte,217147.52,192821.62,PAC
Quixadá,2020,Saúde Básica,473468.38,405463.2,FPM
Quixadá,2020,Esporte,829182.58,796878.6,SUS
Quixadá,2020,Educação Fundamental,384687.7,335064.0,FPM
Quixadá,2020,Assistência Social,434096.67,433372.17,FUNDEB
Quixadá,2021,Infraestrutura,523123.27,469658.12,Emenda Parlamentar
Quixadá,2021,Cultura,932638.83,828419.56,PAC
Quixadá,2021,Esporte,520544.27,474813.77,FPM
Quixadá,2021,Assistência Social,367909.16,323084.14,FPM
Quixadá,2021,Saneamento,542689.18,542571.29,SUS
Quixadá,2022,Saúde Básica,455201.4,392183.92,Emenda Parlamentar
Quixadá,2022,Esporte,304374.08,298820.47,FUNDEB
Quixadá,2022,Assistência Social,327215.29,284051.09,SUS
Quixadá,2022,Infraestrutura,248203.44,242580.92,FPM
Quixadá,2023,Assistência Social,197941.2,183772.41,FPM
Quixadá,2023,Infraestrutura,372652.91,369021.55,FPM
Quixadá,2023,Saneamento,468667.98,433284.23,PAC
Quixadá,2023,Esporte,627124.92,551524.99,SUS
Quixadá,2023,Educação Fundamental,319600.78,318186.69,FPM
Quixadá,2023,Saúde Básica,431538.61,414942.99,Emenda Parlamentar
Pacatuba,2020,Saneamento,671963.93,655790.53,PAC
Pacatuba,2020,Infraestrutura,209486.04,190403.39,FUNDEB
Pacatuba,2020,Cultura,580751.91,525498.99,Emenda Parlamentar
Pacatuba,2020,Assistência Social,387610.06,346470.1,FPM
Pacatuba,2020,Educação Fundamental,315149.19,277809.06,Emenda Parlamentar
Pacatuba,2020,Saúde Básica,432876.76,372467.08,PAC
Pacatuba,2021,Infraestrutura,597920.49,561295.07,Emenda Parlamentar
Pacatuba,2021,Cultura,413106.64,411532.84,FUNDEB
Pacatuba,2021,Saúde Básica,247995.42,237345.99,FPM
Pacatuba,2021,Esporte,985848.52,896235.63,FPM
Pacatuba,2021,Saneamento,690781.85,591953.5,FUNDEB
Pacatuba,2022,Cultura,562321.55,545735.05,FPM
Pacatuba,2022,Esporte,454157.98,408128.67,SUS
Pacatuba,2022,Saúde Básica,693944.06,688789.1,SUS
Pacatuba,2022,Saneamento,835511.22,747384.87,SUS
Pacatuba,2023,Esporte,362250.69,332966.57,FUNDEB
Pacatuba,2023,Saúde Básica,569388.94,508819.36,SUS
Pacatuba,2023,Cultura,684425.23,615470.31,PAC
Pacatuba,2023,Educação Fundamental,253980.25,225811.59,FUNDEB
Pacatuba,2023,Assistência Social,285746.51,265143.61,SUS
Aquiraz,2020,Assistência Social,803765.12,717708.47,FPM
Aquiraz,2020,Cultura,364816.26,343262.32,PAC
Aquiraz,2020,Esporte,375684.95,358310.07,Emenda Parlamentar
Aquiraz,2020,Educação Fundamental,432944.93,430538.39,FPM
Aquiraz,2020,Saúde Básica,664055.24,656108.91,SUS
Aquiraz,2021,Assistência Social,349076.2,324510.93,SUS
Aquiraz,2021,Infraestrutura,433968.61,426326.48,SUS
Aquiraz,2021,Cultura,567781.4,556739.19,Emenda Parlamentar
Aquiraz,2021,Saneamento,186142.01,179717.94,PAC
Aquiraz,2021,Esporte,525544.22,523911.87,SUS
Aquiraz,2022,Saneamento,486857.3,463471.03,FPM
Aquiraz,2022,Infraestrutura,693541.9,638979.38,Emenda Parlamentar
Aquiraz,2022,Educação Fundamental,50000.0,44432.8,PAC
Aquiraz,2023,Saneamento,591391.65,571594.78,PAC
Aquiraz,2023,Infraestrutura,157325.46,148839.74,FUNDEB
Aquiraz,2023,Cultura,763905.23,673508.99,FPM
Canindé,2020,Saneamento,615779.16,523461.4,PAC
Canindé,2020,Assistência Social,194345.22,166363.92,FPM
Canindé,2020,Saúde Básica,724473.44,672118.73,Emenda Parlamentar
Canindé,2021,Saneamento,577307.24,504644.31,FPM
Canindé,2021,Cultura,295995.06,288048.4,FUNDEB
Canindé,2021,Esporte,345024.17,302194.63,FUNDEB
Canindé,2021,Educação Fundamental,514272.8,448085.5,FUNDEB
Canindé,2021,Infraestrutura,654094.92,579290.12,PAC
Canindé,2022,Infraestrutura,91701.12,90876.58,Emenda Parlamentar
Canindé,2022,Assistência Social,493267.76,420676.87,FPM
Canindé,2022,Educação Fundamental,585613.39,547456.44,PAC
Canindé,2022,Saúde Básica,632174.88,544797.54,FPM
Canindé,2022,Saneamento,628663.25,556302.65,FUNDEB
Canindé,2023,Saneamento,431287.82,414446.44,Emenda Parlamentar
Canindé,2023,Esporte,538186.09,517296.01,FUNDEB
Canindé,2023,Cultura,559801.09,508200.78,FPM
Canindé,2023,Assistência Social,665597.73,584652.96,SUS
Russas,2020,Saúde Básica,379004.85,322765.6,SUS
Russas,2020,Educação Fundamental,243960.89,227676.07,PAC
Russas,2020,Saneamento,428288.01,425775.95,Emenda Parlamentar
Russas,2020,Infraestrutura,649446.5,646116.96,PAC
Russas,2021,Esporte,700059.15,682588.03,PAC
Russas,2021,Saneamento,468582.35,453066.59,FUNDEB
Russas,2021,Assistência Social,704030.01,694702.58,Emenda Parlamentar
Russas,2022,Saneamento,330622.86,329341.11,PAC
Russas,2022,Educação Fundamental,697012.65,665776.48,SUS
Russas,2022,Cultura,622360.28,605430.99,FUNDEB
Russas,2022,Saúde Básica,431059.83,379393.25,FPM
Russas,2022,Esporte,855250.08,816021.62,SUS
Russas,2022,Assistência Social,711755.53,645058.67,Emenda Parlamentar
Russas,2023,Saneamento,475568.07,414267.73,SUS
Russas,2023,Cultura,551715.05,512231.89,SUS
Russas,2023,Saúde Básica,486128.96,438446.57,SUS
Russas,2023,Esporte,607873.94,601349.53,FPM
Russas,2023,Infraestrutura,430522.57,412196.57,FPM
Tianguá,2020,Infraestrutura,487394.63,450505.17,PAC
Tianguá,2020,Assistência Social,364689.09,316636.45,PAC
Tianguá,2020,Educação Fundamental,568678.16,549886.39,FUNDEB
Tianguá,2020,Saúde Básica,813340.28,778970.26,FUNDEB
Tianguá,2021,Educação Fundamental,267006.68,252196.18,FUNDEB
Tianguá,2021,Cultura,216460.76,214045.69,SUS
Tianguá,2021,Esporte,549105.39,500760.82,SUS
Tianguá,2022,Saneamento,106704.54,103608.33,SUS
Tianguá,2022,Assistência Social,377544.6,339823.12,Emenda Parlamentar
Tianguá,2022,Infraestrutura,253742.22,246998.84,FPM
Tianguá,2023,Cultura,431066.45,417655.5,FUNDEB
Tianguá,2023,Assistência Social,730454.14,646338.71,PAC
Tianguá,2023,Saúde Básica,673464.4,613247.45,SUS
Crateús,2020,Infraestrutura,846303.55,845186.34,FPM
Crateús,2020,Saneamento,714190.13,668446.81,FUNDEB
Crateús,2020,Educação Fundamental,583177.11,577686.01,FUNDEB
Crateús,2020,Cultura,679739.15,591921.34,FPM
Crateús,2020,Assistência Social,648271.82,643305.05,Emenda Parlamentar
Crateús,2020,Saúde Básica,439354.63,423386.13,SUS
Crateús,2021,Educação Fundamental,581552.85,503048.22,Emenda Parlamentar
Crateús,2021,Cultura,420826.94,410260.11,PAC
Crateús,2021,Infraestrutura,351295.8,342987.65,FUNDEB
Crateús,2021,Saneamento,537138.74,461377.41,Emenda Parlamentar
Crateús,2021,Assistência Social,716966.63,675642.71,FPM
Crateús,2022,Assistência Social,488117.44,464761.82,SUS
Crateús,2022,Esporte,334458.54,323366.17,Emenda Parlamentar
Crateús,2022,Saúde Básica,633822.89,586411.87,SUS
Crateús,2023,Assistência Social,770204.29,704833.08,FUNDEB
Crateús,2023,Educação Fundamental,868949.62,832240.27,FUNDEB
Crateús,2023,Esporte,231924.35,210750.62,FUNDEB
Crateús,2023,Cultura,564149.1,517886.12,FUNDEB
Crateús,2023,Saúde Básica,250260.77,242470.41,Emenda Parlamentar
Aracati,2020,Saneamento,415071.82,397294.02,SUS
Aracati,2020,Infraestrutura,50000.0,49385.48,FPM
Aracati,2020,Esporte,534706.73,529299.05,FUNDEB
Aracati,2020,Assistência Social,648858.83,635958.0,FPM
Aracati,2020,Educação Fundamental,508727.0,442403.42,PAC
Aracati,2020,Saúde Básica,657523.7,619223.62,FPM
Aracati,2021,Educação Fundamental,470497.86,411930.2,FUNDEB
Aracati,2021,Cultura,312563.89,283049.45,FUNDEB
Aracati,2021,Saúde Básica,973533.14,928527.3,SUS
Aracati,2021,Infraestrutura,380934.91,329944.52,FPM
Aracati,2022,Esporte,239388.67,223969.96,FUNDEB
Aracati,2022,Infraestrutura,862065.56,811397.04,PAC
Aracati,2022,Educação Fundamental,61420.34,53231.23,PAC
Aracati,2023,Educação Fundamental,403360.9,367629.79,PAC
Aracati,2023,Assistência Social,481805.1,457755.83,PAC
Aracati,2023,Infraestrutura,248096.28,223827.14,Emenda Parlamentar
Aracati,2023,Esporte,652213.84,625582.82,FPM
Horizonte,2020,Cultura,600583.24,580764.53,FUNDEB
Horizonte,2020,Educação Fundamental,564417.78,499564.84,FPM
Horizonte,2020,Infraestrutura,488036.64,457915.38,Emenda Parlamentar
Horizonte,2020,Assistência Social,214654.64,188011.63,SUS
Horizonte,2020,Saúde Básica,440259.05,435249.35,FUNDEB
Horizonte,2021,Assistência Social,357057.53,322471.77,PAC
Horizonte,2021,Saneamento,563579.71,560911.11,SUS
Horizonte,2021,Educação Fundamental,517680.41,478210.29,SUS
Horizonte,2021,Saúde Básica,178787.73,162672.04,PAC
Horizonte,2021,Esporte,721072.2,644746.68,PAC
Horizonte,2021,Cultura,540090.75,510175.91,Emenda Parlamentar
Horizonte,2022,Assistência Social,364909.06,322892.13,FPM
Horizonte,2022,Saúde Básica,903647.56,839511.43,SUS
Horizonte,2022,Infraestrutura,400101.57,382095.99,SUS
Horizonte,2023,Cultura,488694.41,449978.79,SUS
Horizonte,2023,Esporte,459095.18,409410.48,SUS
Horizonte,2023,Assistência Social,589610.05,555547.04,FPM
Pacajus,2020,Saneamento,397567.6,381257.11,FUNDEB
Pacajus,2020,Assistência Social,488572.96,482475.74,SUS
Pacajus,2020,Educação Fundamental,437799.07,424083.25,SUS
Pacajus,2020,Cultura,160317.69,153403.27,FUNDEB
Pacajus,2020,Infraestrutura,465133.2,408065.01,Emenda Parlamentar
Pacajus,2021,Saneamento,652098.09,626229.98,PAC
Pacajus,2021,Infraestrutura,278095.75,262395.88,FUNDEB
Pacajus,2021,Esporte,539023.4,508583.73,PAC
Pacajus,2022,Saúde Básica,784753.42,672134.5,FPM
Pacajus,2022,Cultura,801486.13,698244.89,SUS
Pacajus,2022,Educação Fundamental,260638.25,253707.0,FUNDEB
Pacajus,2022,Infraestrutura,426373.72,378583.53,PAC
Pacajus,2022,Saneamento,709446.67,671611.0,SUS
Pacajus,2022,Esporte,586292.8,508421.2,FPM
Pacajus,2023,Cultura,445949.27,420802.23,FUNDEB
Pacajus,2023,Infraestrutura,587118.08,578313.87,Emenda Parlamentar
Pacajus,2023,Assistência Social,551996.14,486380.19,PAC
Pacajus,2023,Saneamento,430225.32,381081.93,PAC
Eusébio,2020,Infraestrutura,716909.79,672570.24,FUNDEB
Eusébio,2020,Esporte,430527.92,429872.45,SUS
Eusébio,2020,Saneamento,216704.71,200064.03,FPM
Eusébio,2021,Cultura,379828.03,369934.58,PAC
Eusébio,2021,Saúde Básica,328562.38,288771.16,Emenda Parlamentar
Eusébio,2021,Educação Fundamental,651687.98,598227.82,FPM
Eusébio,2021,Assistência Social,519539.87,490956.1,SUS
Eusébio,2022,Saneamento,574799.22,570837.39,FUNDEB
Eusébio,2022,Cultura,682472.91,676810.4,FUNDEB
Eusébio,2022,Assistência Social,70109.95,67725.42,FPM
Eusébio,2023,Assistência Social,354138.6,321454.1,PAC
Eusébio,2023,Cultura,311681.36,273415.25,SUS
Eusébio,2023,Educação Fundamental,728021.03,702504.94,FPM
Eusébio,2023,Saneamento,498604.39,466936.91,SUS
Eusébio,2023,Esporte,830608.98,716916.11,FUNDEB
Eusébio,2023,Saúde Básica,396473.05,380234.03,PAC
São Gonçalo do Amarante,2020,Saneamento,452048.86,408117.42,FPM
São Gonçalo do Amarante,2020,Saúde Básica,630795.47,551041.28,FPM
São Gonçalo do Amarante,2020,Assistência Social,451685.11,429702.22,Emenda Parlamentar
São Gonçalo do Amarante,2021,Esporte,574780.46,489112.07,SUS
São Gonçalo do Amarante,2021,Cultura,685013.04,618757.9,PAC
São Gonçalo do Amarante,2021,Educação Fundamental,383146.61,332171.95,Emenda Parlamentar
São Gonçalo do Amarante,2021,Saneamento,642373.38,591068.76,SUS
São Gonçalo do Amarante,2021,Assistência Social,531571.1,530606.97,Emenda Parlamentar
São Gonçalo do Amarante,2021,Infraestrutura,709550.46,645971.77,FUNDEB
São Gonçalo do Amarante,2022,Saúde Básica,263168.0,258728.77,FPM
São Gonçalo do Amarante,2022,Educação Fundamental,543379.0,506311.74,SUS
São Gonçalo do Amarante,2022,Saneamento,474923.83,449591.57,FPM
São Gonçalo do Amarante,2022,Infraestrutura,515027.71,504087.33,SUS
São Gonçalo do Amarante,2022,Assistência Social,579525.28,504607.87,Emenda Parlamentar
São Gonçalo do Amarante,2022,Cultura,724591.85,676315.8,FUNDEB
São Gonçalo do Amarante,2023,Esporte,341236.16,295840.77,PAC
São Gonçalo do Amarante,2023,Assistência Social,598756.6,565199.44,Emenda Parlamentar
São Gonçalo do Amarante,2023,Saúde Básica,553534.48,547960.76,Emenda Parlamentar
São Gonçalo do Amarante,2023,Saneamento,637678.55,633509.63,Emenda Parlamentar
Cascavel,2020,Saúde Básica,607333.38,557578.88,PAC
Cascavel,2020,Educação Fundamental,600495.34,521751.71,PAC
Cascavel,2020,Esporte,882077.58,801025.37,Emenda Parlamentar
Cascavel,2020,Infraestrutura,552554.49,526966.25,SUS
Cascavel,2021,Cultura,837373.54,731843.19,FUNDEB
Cascavel,2021,Educação Fundamental,690828.85,643948.83,FUNDEB
Cascavel,2021,Esporte,468910.36,443090.59,FUNDEB
Cascavel,2022,Infraestrutura,175109.36,171086.73,FPM
Cascavel,2022,Assistência Social,347879.06,298300.91,SUS
Cascavel,2022,Saneamento,428387.48,372178.86,FPM
Cascavel,2022,Cultura,382978.33,343857.08,FPM
Cascavel,2023,Esporte,491271.67,466316.38,Emenda Parlamentar
Cascavel,2023,Educação Fundamental,522909.5,445382.83,PAC
Cascavel,2023,Assistência Social,589377.77,554336.95,Emenda Parlamentar
Barbalha,2020,Esporte,1022811.24,1017460.32,Emenda Parlamentar
Barbalha,2020,Educação Fundamental,333358.46,283475.83,FUNDEB
Barbalha,2020,Assistência Social,636487.56,620918.11,FUNDEB
Barbalha,2020,Cultura,704299.4,609033.44,FUNDEB
Barbalha,2021,Infraestrutura,801299.66,798972.03,FPM
Barbalha,2021,Cultura,605127.5,580480.51,FUNDEB
Barbalha,2021,Educação Fundamental,343823.92,336082.96,Emenda Parlamentar
Barbalha,2022,Infraestrutura,562894.54,530869.22,FUNDEB
Barbalha,2022,Educação Fundamental,675332.48,647659.0,Emenda Parlamentar
Barbalha,2022,Assistência Social,622129.34,529109.63,PAC
Barbalha,2022,Esporte,521813.4,496209.9,FUNDEB
Barbalha,2022,Saúde Básica,313281.85,267113.84,FPM
Barbalha,2022,Cultura,706422.42,687508.65,PAC
Barbalha,2023,Assistência Social,77548.24,68606.81,FPM
Barbalha,2023,Saneamento,343965.21,321075.34,FUNDEB
Barbalha,2023,Esporte,697548.38,639291.25,Emenda Parlamentar
Barbalha,2023,Infraestrutura,633665.45,606384.73,FUNDEB
Barbalha,2023,Educação Fundamental,201593.11,189141.97,SUS
Barbalha,2023,Cultura,656777.98,626351.35,Emenda Parlamentar
Icó,2020,Infraestrutura,283505.23,264965.65,FUNDEB
Icó,2020,Assistência Social,279067.9,276228.27,PAC
Icó,2020,Cultura,241130.38,233658.58,Emenda Parlamentar
Icó,2020,Saneamento,638274.58,596956.98,SUS
Icó,2020,Esporte,238746.59,227826.91,FPM
Icó,2021,Infraestrutura,642822.76,594423.38,FPM
Icó,2021,Esporte,532188.98,475649.55,SUS
Icó,2021,Cultura,295054.17,293162.64,FPM
Icó,2021,Saúde Básica,501352.47,449989.57,SUS
Icó,2022,Saúde Básica,207353.2,197705.83,PAC
Icó,2022,Educação Fundamental,731857.73,658557.23,FPM
Icó,2022,Infraestrutura,214507.57,188590.18,PAC
Icó,2022,Cultura,241751.61,212048.24,SUS
Icó,2023,Cultura,381769.03,375665.07,FPM
Icó,2023,Assistência Social,489326.87,459065.19,FPM
Icó,2023,Saneamento,527213.7,518699.52,FUNDEB
Icó,2023,Educação Fundamental,492652.04,429291.69,FUNDEB
Camocim,2020,Educação Fundamental,341316.01,322898.44,PAC
Camocim,2020,Esporte,312401.25,287637.79,FPM
Camocim,2020,Assistência Social,534016.46,480545.56,SUS
Camocim,2020,Saneamento,994195.34,895182.22,FUNDEB
Camocim,2021,Cultura,245866.41,245806.87,SUS
Camocim,2021,Infraestrutura,563722.92,532232.49,PAC
Camocim,2021,Saúde Básica,671620.0,611209.04,FPM
