manutencao_id,veiculo_id,tipo_veiculo,ano_fabricacao,data_manutencao,tipo_manutencao,componente,custo_reais,tempo_parado_horas,km_odometro
MAN-00103,VEI-0124,Van,2016,2024-04-27,Preventiva,Pneus,1056.73,6.9,317421
MAN-00104,VEI-0001,Van,2019,2023-10-27,Corretiva,Elétrica,715.14,12.4,356903
MAN-00105,VEI-0086,Caminhão,2016,2024-05-16,Corretiva,Suspensão,1666.22,24.2,270236
MAN-00106,VEI-0119,Van,2019,2024-06-15,Corretiva,Suspensão,1044.29,17.3,198710
MAN-00107,VEI-0200,Caminhão,2019,2024-07-23,Corretiva,Freios,794.82,17.8,240523
MAN-00108,VEI-0098,Van,2021,2023-07-16,Corretiva,Motor,2515.33,34.6,87899
MAN-00109,VEI-0194,Van,2020,2024-10-12,Preventiva,Freios,595.87,13.1,80203
MAN-00110,VEI-0055,Utilitário,2023,2023-12-21,Preventiva,Suspensão,547.74,4.5,220718
MAN-00111,VEI-0004,Caminhão,2020,2024-01-03,Preventiva,Suspensão,1319.17,12.8,151934
MAN-00112,VEI-0155,Van,2020,2024-02-08,Corretiva,Arrefecimento,500.88,28.5,329065
MAN-00113,VEI-0130,Caminhão,2023,2024-08-01,Preventiva,Pneus,972.93,3.8,368622
MAN-00114,VEI-0165,Caminhão,2020,2024-03-06,Corretiva,Arrefecimento,435.02,29.7,61376
MAN-00115,VEI-0088,Van,2015,2024-09-26,Preventiva,Suspensão,970.51,20.0,204114
MAN-00116,VEI-0118,Van,2019,2023-07-21,Preventiva,Arrefecimento,138.1,1.0,247154
MAN-00117,VEI-0138,Van,2016,2024-08-11,Corretiva,Transmissão,2500.62,25.2,207947
MAN-00118,VEI-0053,Van,2022,2023-08-05,Corretiva,Direção,865.51,33.1,67572
MAN-00119,VEI-0181,Van,2015,2024-09-09,Corretiva,Elétrica,508.38,18.2,274304
MAN-00120,VEI-0027,Van,2021,2023-08-06,Corretiva,Suspensão,688.87,24.8,232053
MAN-00121,VEI-0191,Utilitário,2022,2023-12-12,Corretiva,Pneus,2110.34,16.4,174125
MAN-00122,VEI-0161,Van,2018,2024-12-21,Corretiva,Suspensão,452.86,,172661
MAN-00123,VEI-0082,Caminhão,2019,2023-12-28,Corretiva,Pneus,1661.38,18.8,31104
MAN-00124,VEI-0118,Van,2019,2023-10-26,Corretiva,Suspensão,704.92,24.8,248581
MAN-00125,VEI-0200,Caminhão,2019,2024-09-18,Corretiva,Suspensão,635.27,27.0,270483
MAN-00126,VEI-0155,Van,2020,2023-07-16,Corretiva,Pneus,2437.7,24.5,315068
MAN-00127,VEI-0084,Utilitário,2022,2023-11-21,Corretiva,Motor,2932.73,22.0,195801
MAN-00128,VEI-0141,Van,2017,2024-08-10,Corretiva,Suspensão,1319.09,23.2,245210
MAN-00129,VEI-0142,Utilitário,2018,2024-04-14,Corretiva,Transmissão,4468.08,33.9,206265
MAN-00130,VEI-0067,Caminhão,2021,2023-10-02,Preventiva,Direção,861.23,12.3,240272
MAN-00131,VEI-0195,Van,2019,2024-12-04,Corretiva,Motor,3532.42,29.0,189307
MAN-00132,VEI-0067,Caminhão,2021,2024-01-28,Preventiva,Freios,200.43,20.5,240536
MAN-00133,VEI-0164,Van,2017,2024-04-20,Corretiva,Freios,809.48,25.0,153350
MAN-00134,VEI-0180,Caminhão,2016,2024-09-15,Preventiva,Direção,571.61,3.5,180824
MAN-00135,VEI-0110,Caminhão,2018,2023-07-13,Corretiva,Arrefecimento,691.95,18.9,40113
MAN-00136,VEI-0080,Van,2019,2024-12-07,Preventiva,Arrefecimento,734.89,20.6,83535
MAN-00137,VEI-0189,Caminhão,2020,2023-10-12,Corretiva,Freios,930.06,26.2,294214
MAN-00138,VEI-0024,Van,2018,2023-10-30,Corretiva,Suspensão,1126.34,22.5,173660
MAN-00139,VEI-0122,Van,2018,2024-04-09,Corretiva,Pneus,1489.21,18.8,72679
MAN-00140,VEI-0147,Utilitário,2019,2024-12-01,Corretiva,Elétrica,524.47,28.3,283251
MAN-00141,VEI-0171,Caminhão,2019,2023-07-30,Corretiva,Direção,808.71,28.6,336950
MAN-00142,VEI-0189,Caminhão,2020,2024-06-25,Preventiva,Transmissão,934.76,3.8,300633
MAN-00143,VEI-0127,Caminhão,2015,2024-08-09,Preventiva,Direção,50.0,1.0,117379
MAN-00144,VEI-0032,Caminhão,2023,2024-10-20,Corretiva,Direção,1027.56,18.8,157014
MAN-00145,VEI-0014,Caminhão,2023,2023-11-18,Preventiva,Transmissão,1349.81,6.1,329167
MAN-00146,VEI-0188,Caminhão,2016,2024-04-12,Corretiva,Motor,1998.1,23.8,225067
MAN-00147,VEI-0131,Utilitário,2022,2024-07-07,Preventiva,Suspensão,234.25,7.0,75265
MAN-00148,VEI-0045,Utilitário,2015,2024-05-07,Corretiva,Motor,1983.09,26.6,183236
MAN-00149,VEI-0189,Caminhão,2020,2024-11-20,Preventiva,Motor,50.0,12.8,285651
MAN-00150,VEI-0017,Utilitário,2018,2024-07-22,Corretiva,Elétrica,822.43,23.9,179911
MAN-00151,VEI-0149,Caminhão,2018,2023-09-17,Preventiva,Pneus,1158.53,13.5,251806
MAN-00152,VEI-0105,Utilitário,2015,2024-05-07,Corretiva,Pneus,1681.84,25.9,248332
MAN-00153,VEI-0103,Utilitário,2023,2024-06-18,Corretiva,Arrefecimento,773.42,30.9,226770
MAN-00154,VEI-0158,Utilitário,2015,2024-10-17,Preventiva,Freios,1087.85,5.4,307423
MAN-00155,VEI-0179,Van,2021,2023-09-28,Corretiva,Freios,1000.16,28.1,328712
MAN-00156,VEI-0176,Caminhão,2018,2024-02-04,Preventiva,Motor,1599.88,8.6,138020
MAN-00157,VEI-0016,Caminhão,2022,2024-04-21,Corretiva,Freios,955.73,26.9,246802
MAN-00158,VEI-0120,Van,2023,2024-08-22,Corretiva,Transmissão,3457.74,25.2,136981
MAN-00159,VEI-0038,Utilitário,2022,2023-07-21,Corretiva,Transmissão,2089.37,40.1,170329
MAN-00160,VEI-0025,Caminhão,2018,2024-11-09,Preventiva,Direção,639.21,,271280
MAN-00161,VEI-0012,Utilitário,2022,2024-11-06,Corretiva,Elétrica,645.02,29.6,274615
MAN-00162,VEI-0176,Caminhão,2018,2023-11-09,Corretiva,Elétrica,559.14,28.2,204721
MAN-00163,VEI-0065,Van,2016,2024-05-16,Corretiva,Direção,654.39,23.3,268841
MAN-00164,VEI-0001,Van,2019,2024-06-23,Preventiva,Elétrica,228.58,10.5,363163
MAN-00165,VEI-0123,Utilitário,2023,2023-07-22,Preventiva,Pneus,737.26,7.8,246691
MAN-00166,VEI-0159,Caminhão,2021,2024-07-08,Corretiva,Motor,3824.58,23.6,201839
MAN-00167,VEI-0163,Van,2017,2023-09-27,Corretiva,Direção,890.43,24.6,51984
MAN-00168,VEI-0157,Van,2019,2023-11-21,Corretiva,Freios,716.55,29.3,174160
MAN-00169,VEI-0023,Utilitário,2020,2023-10-28,Corretiva,Elétrica,357.08,20.7,324281
MAN-00170,VEI-0093,Van,2018,2024-07-02,Corretiva,Freios,442.3,12.3,259798
MAN-00171,VEI-0113,Caminhão,2020,2024-09-03,Corretiva,Arrefecimento,780.52,,212521
MAN-00172,VEI-0110,Caminhão,2018,2023-12-05,Preventiva,Direção,257.86,5.8,87669
MAN-00173,VEI-0155,Van,2020,2023-07-14,Preventiva,Motor,2439.62,12.6,323366
MAN-00174,VEI-0130,Caminhão,2023,2024-05-25,Preventiva,Motor,1117.69,9.2,361786
MAN-00175,VEI-0043,Utilitário,2022,2024-04-18,Corretiva,Direção,459.87,15.7,279445
MAN-00176,VEI-0010,Caminhão,2022,2024-10-27,Preventiva,Pneus,1232.05,12.3,103575
MAN-00177,VEI-0194,Van,2020,2024-02-08,Corretiva,Motor,3337.16,25.8,58348
MAN-00178,VEI-0066,Van,2020,2023-12-07,Preventiva,Pneus,1154.7,3.4,73015
MAN-00179,VEI-0131,Utilitário,2022,2024-10-27,Corretiva,Motor,2933.51,24.5,16942
MAN-00180,VEI-0078,Van,2019,2023-09-17,Corretiva,Freios,1136.62,27.8,271497
MAN-00181,VEI-0156,Utilitário,2020,2024-03-18,Preventiva,Suspensão,947.72,10.4,66788
MAN-00182,VEI-0127,Caminhão,2015,2023-10-16,Corretiva,Suspensão,872.05,29.1,77502
MAN-00183,VEI-0036,Caminhão,2016,2023-12-24,Corretiva,Suspensão,1358.04,21.3,94376
MAN-00184,VEI-0089,Caminhão,2022,2023-10-01,Corretiva,Freios,849.35,26.5,380438
MAN-00185,VEI-0114,Van,2015,2024-07-23,Preventiva,Direção,611.66,16.3,287555
MAN-00186,VEI-0136,Van,2015,2024-04-17,Corretiva,Arrefecimento,437.31,16.1,339722
MAN-00187,VEI-0051,Van,2016,2023-09-21,Corretiva,Pneus,1369.07,20.3,323025
MAN-00188,VEI-0101,Van,2019,2024-12-23,Preventiva,Elétrica,120.95,18.7,285859
MAN-00189,VEI-0137,Utilitário,2019,2024-09-12,Preventiva,Pneus,861.35,16.2,11271
MAN-00190,VEI-0161,Van,2018,2024-11-23,Corretiva,Suspensão,1925.29,,149842
MAN-00191,VEI-0082,Caminhão,2019,2024-10-13,Corretiva,Suspensão,1546.79,15.1,57740
MAN-00192,VEI-0097,Van,2015,2024-01-14,Preventiva,Elétrica,281.3,16.7,223877
MAN-00193,VEI-0039,Utilitário,2018,2024-12-03,Preventiva,Pneus,1435.67,4.5,80750
MAN-00194,VEI-0110,Caminhão,2018,2023-10-01,Corretiva,Arrefecimento,436.31,25.9,36082
MAN-00195,VEI-0033,Van,2017,2024-08-12,Corretiva,Elétrica,657.98,27.7,232138
MAN-00196,VEI-0113,Caminhão,2020,2024-12-02,Corretiva,Suspensão,1189.06,17.2,187229
MAN-00197,VEI-0142,Utilitário,2018,2023-07-11,Corretiva,Elétrica,574.59,26.1,222820
MAN-00198,VEI-0095,Utilitário,2023,2024-07-18,Corretiva,Elétrica,488.47,18.6,114656
MAN-00199,VEI-0168,Van,2020,2023-08-22,Preventiva,Arrefecimento,164.98,4.3,157475
MAN-00200,VEI-0042,Caminhão,2022,2023-08-28,Corretiva,Direção,891.03,34.4,201158
MAN-00201,VEI-0177,Caminhão,2017,2024-11-16,Corretiva,Pneus,1641.88,21.9,383116
MAN-00202,VEI-0010,Caminhão,2022,2024-08-29,Corretiva,Arrefecimento,812.57,26.8,68001
MAN-00203,VEI-0095,Utilitário,2023,2023-10-14,Corretiva,Transmissão,3413.73,26.0,97221
MAN-00204,VEI-0187,Caminhão,2022,2024-07-20,Corretiva,Freios,684.28,24.7,290415
MAN-00205,VEI-0080,Van,2019,2023-09-07,Corretiva,Arrefecimento,485.29,26.1,77910
MAN-00206,VEI-0020,Caminhão,2020,2023-08-10,Preventiva,Direção,729.08,2.4,369638
MAN-00207,VEI-0035,Caminhão,2017,2023-12-01,Preventiva,Pneus,1666.03,10.8,65851
MAN-00208,VEI-0082,Caminhão,2019,2024-01-29,Corretiva,Motor,2056.29,19.4,82350
MAN-00209,VEI-0180,Caminhão,2016,2024-02-09,Corretiva,Direção,649.36,22.6,202444
MAN-00210,VEI-0036,Caminhão,2016,2023-12-20,Corretiva,Arrefecimento,706.22,29.4,73044
MAN-00211,VEI-0136,Van,2015,2024-01-24,Preventiva,Pneus,1592.86,6.2,359750
MAN-00212,VEI-0140,Caminhão,2023,2023-08-20,Corretiva,Arrefecimento,617.96,28.5,178809
MAN-00213,VEI-0181,Van,2015,2024-03-27,Preventiva,Arrefecimento,1034.6,8.7,286012
MAN-00214,VEI-0191,Utilitário,2022,2023-10-21,Corretiva,Suspensão,1675.14,18.0,146288
MAN-00215,VEI-0134,Utilitário,2018,2023-12-03,Preventiva,Elétrica,50.0,1.2,221529
MAN-00216,VEI-0092,Caminhão,2023,2024-08-13,Corretiva,Transmissão,3054.1,24.9,352888
MAN-00217,VEI-0067,Caminhão,2021,2024-11-10,Preventiva,Motor,1130.96,1.0,215761
MAN-00218,VEI-0023,Utilitário,2020,2024-05-16,Corretiva,Motor,1394.0,18.0,338393
MAN-00219,VEI-0184,Caminhão,2016,2024-01-10,Corretiva,Pneus,1150.64,26.4,308185
MAN-00220,VEI-0135,Utilitário,2023,2024-01-23,Corretiva,Direção,1148.37,24.8,32456
MAN-00221,VEI-0164,Van,2017,2024-01-25,Preventiva,Suspensão,722.29,12.9,175831
MAN-00222,VEI-0179,Van,2021,2024-01-30,Preventiva,Freios,103.19,12.8,323753
MAN-00223,VEI-0015,Utilitário,2023,2024-07-09,Corretiva,Motor,2211.86,31.9,293343
MAN-00224,VEI-0160,Van,2021,2024-10-22,Corretiva,Elétrica,534.41,23.8,166915
MAN-00225,VEI-0079,Caminhão,2021,2024-07-06,Preventiva,Pneus,689.74,12.7,140004
MAN-00226,VEI-0195,Van,2019,2024-05-01,Corretiva,Transmissão,2933.76,16.9,174873
MAN-00227,VEI-0172,Caminhão,2019,2023-09-05,Preventiva,Transmissão,1881.16,8.1,327264
MAN-00228,VEI-0199,Van,2022,2024-02-05,Corretiva,Freios,842.02,21.6,294443
MAN-00229,VEI-0013,Caminhão,2015,2024-02-02,Corretiva,Suspensão,867.12,17.0,190080
MAN-00230,VEI-0137,Utilitário,2019,2024-03-14,Corretiva,Arrefecimento,958.67,20.7,49022
MAN-00231,VEI-0035,Caminhão,2017,2024-06-06,Corretiva,Pneus,1681.1,26.0,64204
MAN-00232,VEI-0077,Van,2018,2024-05-28,Corretiva,Freios,1072.56,23.8,61993
MAN-00233,VEI-0029,Van,2021,2023-07-25,Corretiva,Elétrica,609.1,30.6,50793
MAN-00234,VEI-0183,Caminhão,2019,2023-11-16,Preventiva,Elétrica,467.93,2.8,280885
MAN-00235,VEI-0055,Utilitário,2023,2024-07-21,Preventiva,Arrefecimento,200.14,3.3,217688
MAN-00236,VEI-0188,Caminhão,2016,2024-07-24,Corretiva,Suspensão,1763.38,27.1,188721
MAN-00237,VEI-0149,Caminhão,2018,2023-07-16,Corretiva,Direção,691.86,29.9,221566
MAN-00238,VEI-0122,Van,2018,2024-01-02,Corretiva,Pneus,1512.2,17.7,119010
MAN-00239,VEI-0110,Caminhão,2018,2024-01-21,Preventiva,Arrefecimento,658.79,12.8,44379
MAN-00240,VEI-0084,Utilitário,2022,2023-10-12,Corretiva,Pneus,1659.99,32.7,205583
MAN-00241,VEI-0071,Utilitário,2021,2024-02-03,Preventiva,Pneus,1821.65,4.9,221226
MAN-00242,VEI-0068,Utilitário,2023,2024-05-16,Preventiva,Elétrica,87.94,11.3,48100
MAN-00243,VEI-0200,Caminhão,2019,2024-10-03,Corretiva,Suspensão,1333.6,26.8,264458
MAN-00244,VEI-0031,Caminhão,2020,2024-06-15,Corretiva,Arrefecimento,512.76,21.0,113014
MAN-00245,VEI-0002,Van,2017,2023-12-15,Preventiva,Motor,1738.91,,340061
MAN-00246,VEI-0120,Van,2023,2024-03-18,Corretiva,Suspensão,909.35,21.6,198836
MAN-00247,VEI-0017,Utilitário,2018,2023-12-26,Corretiva,Motor,2074.34,20.4,154250
MAN-00248,VEI-0113,Caminhão,2020,2024-03-10,Corretiva,Direção,1318.14,19.4,183217
MAN-00249,VEI-0012,Utilitário,2022,2024-03-13,Corretiva,Pneus,1229.08,17.8,267053
MAN-00250,VEI-0057,Caminhão,2019,2024-09-07,Corretiva,Motor,2103.66,26.9,194713
MAN-00251,VEI-0130,Caminhão,2023,2024-02-07,Corretiva,Transmissão,2899.43,30.2,342182
MAN-00252,VEI-0040,Van,2023,2024-12-21,Corretiva,Motor,2562.68,30.4,115111
MAN-00253,VEI-0143,Utilitário,2016,2024-06-25,Preventiva,Arrefecimento,268.0,,246257
MAN-00254,VEI-0121,Utilitário,2015,2024-12-04,Corretiva,Freios,902.29,30.3,282314
MAN-00255,VEI-0153,Van,2015,2023-08-02,Preventiva,Motor,1444.05,14.8,223819
MAN-00256,VEI-0077,Van,2018,2024-12-11,Corretiva,Pneus,1365.2,17.3,66712
MAN-00257,VEI-0029,Van,2021,2024-04-18,Corretiva,Suspensão,1366.71,27.2,66280
MAN-00258,VEI-0116,Van,2019,2024-06-12,Corretiva,Pneus,1969.69,33.2,129175
MAN-00259,VEI-0057,Caminhão,2019,2024-08-13,Corretiva,Pneus,1433.82,19.1,224257
MAN-00260,VEI-0112,Utilitário,2022,2023-08-04,Corretiva,Freios,570.79,26.9,117292
MAN-00261,VEI-0054,Caminhão,2019,2023-10-21,Corretiva,Direção,1251.83,25.0,154627
MAN-00262,VEI-0195,Van,2019,2023-10-23,Corretiva,Freios,1084.59,16.5,160317
MAN-00263,VEI-0089,Caminhão,2022,2024-04-06,Corretiva,Freios,807.06,20.7,319661
MAN-00264,VEI-0100,Van,2021,2024-03-19,Corretiva,Arrefecimento,357.87,18.5,220225
MAN-00265,VEI-0194,Van,2020,2024-06-06,Corretiva,Freios,950.49,20.9,90234
MAN-00266,VEI-0065,Van,2016,2023-11-15,Corretiva,Arrefecimento,582.17,24.2,293801
MAN-00267,VEI-0187,Caminhão,2022,2024-09-17,Preventiva,Arrefecimento,576.09,13.1,251333
MAN-00268,VEI-0015,Utilitário,2023,2024-02-22,Corretiva,Pneus,1649.44,29.1,346038
