licitacao_id,municipio,ano,objeto,valor_contrato,modalidade,empresa_vencedora,cnpj_vencedora,socio_principal,endereco_empresa,numero_participantes,status
LIC-00026,Juazeiro do Norte,2023,Limpeza urbana,339134.08,Pregão,Empresa Norte Serviços,50.268.263/0001-52,Sócio 18,"Rua 18, 336",3,Concluído
LIC-00027,Juazeiro do Norte,2020,Manutenção predial,140351.96,Dispensa,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",7,Em execução
LIC-00028,Juazeiro do Norte,2023,Fornecimento de merenda,228966.5,Concorrência,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",3,Concluído
LIC-00029,Juazeiro do Norte,2021,Reforma de UBS,286460.12,Pregão,Empresa Norte Serviços,50.268.263/0001-52,Sócio 18,"Rua 18, 336",5,Concluído
LIC-00030,Juazeiro do Norte,2023,Fornecimento de merenda,287014.77,Dispensa,Empresa Sol Soluções,23.119.597/0001-77,Sócio 2,"Rua 2, 67",3,Concluído
LIC-00031,Juazeiro do Norte,2021,Reforma de UBS,191552.85,Concorrência,Empresa Norte Engenharia,85.387.857/0001-56,Sócio 3,"Rua 3, 415",3,Em execução
LIC-00032,Juazeiro do Norte,2020,Construção de escola,30688.82,Tomada de Preços,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",8,Concluído
LIC-00033,Juazeiro do Norte,2020,Material didático,133667.14,Pregão,Empresa Terra Engenharia,86.621.839/0001-57,Sócio 24,"Rua 24, 490",5,Em execução
LIC-00034,Maracanaú,2022,Manutenção predial,109115.63,Tomada de Preços,Empresa Norte Construções,12.819.190/0001-68,Sócio 14,"Rua 14, 191",4,Em execução
LIC-00035,Maracanaú,2023,Manutenção predial,76753.94,Dispensa,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",6,Em execução
LIC-00036,Maracanaú,2023,Fornecimento de merenda,249741.91,Concorrência,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",5,Em execução
LIC-00037,Maracanaú,2023,Manutenção predial,131405.66,Tomada de Preços,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",5,Atrasado
LIC-00038,Maracanaú,2022,Manutenção predial,241082.42,Tomada de Preços,Empresa Sul Serviços,92.344.537/0001-98,Sócio 12,"Rua 12, 9",7,Concluído
LIC-00039,Maracanaú,2022,Aquisição de equipamentos,227867.95,Tomada de Preços,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",8,Em execução
LIC-00040,Maracanaú,2020,Manutenção predial,30000.0,Dispensa,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",4,Em execução
LIC-00041,Maracanaú,2020,Construção de escola,284410.55,Tomada de Preços,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",5,Atrasado
LIC-00042,Maracanaú,2023,Limpeza urbana,181580.95,Tomada de Preços,Empresa Sul Serviços,37.806.450/0001-81,Sócio 25,"Rua 25, 298",4,Atrasado
LIC-00043,Maracanaú,2021,Manutenção predial,70778.91,Concorrência,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",3,Atrasado
LIC-00044,Maracanaú,2020,Material didático,363720.79,Tomada de Preços,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",5,Concluído
LIC-00045,Maracanaú,2022,Transporte escolar,179625.11,Dispensa,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",5,Em execução
LIC-00046,Maracanaú,2023,Fornecimento de merenda,181710.29,Concorrência,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",8,Concluído
LIC-00047,Maracanaú,2022,Manutenção predial,173701.56,Pregão,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",4,Concluído
LIC-00048,Maracanaú,2023,Construção de escola,124561.89,Pregão,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",8,Concluído
LIC-00049,Maracanaú,2020,Pavimentação de via,200189.79,Dispensa,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",8,Concluído
LIC-00050,Maracanaú,2023,Transporte escolar,37039.82,Dispensa,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",8,Concluído
LIC-00051,Maracanaú,2023,Construção de escola,409404.18,Dispensa,Empresa Sul Serviços,92.344.537/0001-98,Sócio 12,"Rua 12, 9",8,Atrasado
LIC-00052,Maracanaú,2020,Aquisição de equipamentos,41980.88,Dispensa,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",4,Concluído
LIC-00053,Maracanaú,2023,Construção de escola,36462.38,Pregão,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",8,Concluído
LIC-00054,Sobral,2022,Aquisição de equipamentos,280347.26,Concorrência,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",3,Concluído
LIC-00055,Sobral,2021,Aquisição de equipamentos,168608.52,Pregão,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",3,Concluído
LIC-00056,Sobral,2020,Aquisição de equipamentos,203951.44,Tomada de Preços,Empresa Norte Serviços,50.268.263/0001-52,Sócio 18,"Rua 18, 336",5,Concluído
LIC-00057,Sobral,2022,Construção de escola,253709.95,Dispensa,Empresa Sol Soluções,17.380.177/0001-62,Sócio 16,"Rua 16, 150",5,Em execução
LIC-00058,Sobral,2021,Transporte escolar,165226.01,Dispensa,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",6,Em execução
LIC-00059,Sobral,2021,Material didático,69191.87,Tomada de Preços,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",4,Concluído
LIC-00060,Sobral,2021,Construção de escola,218883.02,Pregão,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",7,Atrasado
LIC-00061,Sobral,2020,Transporte escolar,245129.48,Tomada de Preços,Empresa Sul Serviços,92.344.537/0001-98,Sócio 12,"Rua 12, 9",6,Em execução
LIC-00062,Sobral,2021,Aquisição de equipamentos,236895.01,Pregão,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",8,Em execução
LIC-00063,Crato,2020,Material didático,61739.87,Concorrência,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",8,Em execução
LIC-00064,Crato,2020,Limpeza urbana,214029.81,Concorrência,Empresa Terra Engenharia,86.621.839/0001-57,Sócio 24,"Rua 24, 490",5,Concluído
LIC-00065,Crato,2023,Limpeza urbana,83902.41,Concorrência,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",8,Em execução
LIC-00066,Crato,2022,Construção de escola,177008.84,Concorrência,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",7,Concluído
LIC-00067,Crato,2020,Construção de escola,155803.95,Dispensa,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",8,Em execução
LIC-00068,Crato,2022,Fornecimento de merenda,91945.31,Concorrência,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",7,Concluído
LIC-00069,Crato,2022,Transporte escolar,238681.48,Pregão,Empresa Rio Engenharia,66.950.878/0001-85,Sócio 17,"Rua 17, 122",4,Atrasado
LIC-00070,Crato,2020,Construção de escola,121981.36,Dispensa,Empresa Sol Soluções,17.380.177/0001-62,Sócio 16,"Rua 16, 150",4,Concluído
LIC-00071,Crato,2021,Serviços de consultoria,239593.59,Pregão,Empresa Sul Serviços,37.806.450/0001-81,Sócio 25,"Rua 25, 298",5,Atrasado
LIC-00072,Crato,2021,Pavimentação de via,271406.54,Tomada de Preços,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",3,Atrasado
LIC-00073,Crato,2022,Serviços de consultoria,134660.27,Tomada de Preços,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",7,Concluído
LIC-00074,Itapipoca,2020,Serviços de consultoria,335151.35,Pregão,Empresa Sul Serviços,37.806.450/0001-81,Sócio 25,"Rua 25, 298",6,Em execução
LIC-00075,Itapipoca,2022,Manutenção predial,175831.5,Pregão,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",5,Em execução
LIC-00076,Itapipoca,2021,Limpeza urbana,313899.53,Tomada de Preços,Empresa Terra Engenharia,86.621.839/0001-57,Sócio 24,"Rua 24, 490",7,Concluído
LIC-00077,Itapipoca,2021,Material didático,377029.61,Pregão,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",4,Em execução
LIC-00078,Itapipoca,2020,Transporte escolar,167160.4,Tomada de Preços,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",5,Concluído
LIC-00079,Itapipoca,2020,Serviços de consultoria,146768.57,Dispensa,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",6,Concluído
LIC-00080,Itapipoca,2021,Construção de escola,168575.68,Concorrência,Empresa Sul Engenharia,43.818.836/0001-99,Sócio 21,"Rua 21, 54",3,Em execução
LIC-00081,Itapipoca,2022,Limpeza urbana,325139.06,Dispensa,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",6,Concluído
LIC-00082,Itapipoca,2022,Reforma de UBS,189996.62,Tomada de Preços,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",6,Concluído
LIC-00083,Itapipoca,2020,Material didático,214835.23,Tomada de Preços,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",3,Concluído
LIC-00084,Itapipoca,2022,Construção de escola,174789.65,Dispensa,Empresa Sol Soluções,17.380.177/0001-62,Sócio 16,"Rua 16, 150",5,Concluído
LIC-00085,Itapipoca,2023,Material didático,163643.06,Concorrência,Empresa Sol Soluções,23.119.597/0001-77,Sócio 2,"Rua 2, 67",7,Concluído
LIC-00086,Itapipoca,2020,Aquisição de equipamentos,126074.73,Pregão,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",5,Em execução
LIC-00087,Itapipoca,2022,Serviços de consultoria,351408.37,Dispensa,Empresa Norte Construções,44.878.285/0001-76,Sócio 23,"Rua 23, 459",6,Atrasado
LIC-00088,Itapipoca,2021,Serviços de consultoria,107314.34,Concorrência,Empresa Norte Construções,12.819.190/0001-68,Sócio 14,"Rua 14, 191",5,Atrasado
LIC-00089,Itapipoca,2021,Fornecimento de merenda,269393.68,Pregão,Empresa Rio Construções,25.670.464/0001-44,Sócio 30,"Rua 30, 412",5,Em execução
LIC-00090,Itapipoca,2023,Limpeza urbana,344828.86,Pregão,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",4,Concluído
LIC-00091,Maranguape,2021,Fornecimento de merenda,30000.0,Pregão,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",3,Concluído
LIC-00092,Maranguape,2023,Limpeza urbana,127084.44,Concorrência,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",6,Concluído
LIC-00093,Maranguape,2020,Pavimentação de via,136140.82,Concorrência,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",7,Atrasado
LIC-00094,Maranguape,2021,Fornecimento de merenda,206859.21,Pregão,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",7,Concluído
LIC-00095,Maranguape,2023,Aquisição de equipamentos,275346.25,Pregão,Empresa Sul Serviços,37.806.450/0001-81,Sócio 25,"Rua 25, 298",7,Concluído
LIC-00096,Maranguape,2023,Construção de escola,64244.63,Concorrência,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",8,Em execução
LIC-00097,Maranguape,2021,Transporte escolar,384694.9,Concorrência,Empresa Terra Engenharia,86.621.839/0001-57,Sócio 24,"Rua 24, 490",8,Em execução
LIC-00098,Maranguape,2022,Construção de escola,96921.07,Pregão,Empresa Norte Construções,12.819.190/0001-68,Sócio 14,"Rua 14, 191",5,Concluído
LIC-00099,Maranguape,2021,Construção de escola,34386.39,Tomada de Preços,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",6,Concluído
LIC-00100,Maranguape,2020,Limpeza urbana,196836.71,Dispensa,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",3,Em execução
LIC-00101,Maranguape,2021,Transporte escolar,285316.64,Tomada de Preços,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",5,Concluído
LIC-00102,Maranguape,2022,Transporte escolar,302853.38,Tomada de Preços,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",5,Em execução
LIC-00103,Iguatu,2022,Aquisição de equipamentos,227271.22,Pregão,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",5,Em execução
LIC-00104,Iguatu,2020,Transporte escolar,204738.71,Tomada de Preços,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",5,Em execução
LIC-00105,Iguatu,2023,Material didático,136207.04,Tomada de Preços,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",7,Atrasado
LIC-00106,Iguatu,2020,Limpeza urbana,261092.15,Tomada de Preços,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",7,Concluído
LIC-00107,Iguatu,2023,Material didático,382168.26,Dispensa,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",6,Em execução
LIC-00108,Iguatu,2022,Manutenção predial,124165.09,Dispensa,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",7,Concluído
LIC-00109,Iguatu,2022,Transporte escolar,308614.91,Dispensa,Empresa Norte Engenharia,85.387.857/0001-56,Sócio 3,"Rua 3, 415",6,Concluído
LIC-00110,Quixadá,2022,Pavimentação de via,144124.89,Pregão,Empresa Sul Serviços,37.806.450/0001-81,Sócio 25,"Rua 25, 298",5,Atrasado
LIC-00111,Quixadá,2021,Serviços de consultoria,225445.12,Dispensa,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",8,Atrasado
LIC-00112,Quixadá,2020,Manutenção predial,161550.36,Dispensa,Empresa Rio Construções,25.670.464/0001-44,Sócio 30,"Rua 30, 412",6,Concluído
LIC-00113,Quixadá,2022,Construção de escola,191460.0,Concorrência,Empresa Terra Engenharia,86.621.839/0001-57,Sócio 24,"Rua 24, 490",5,Em execução
LIC-00114,Quixadá,2022,Material didático,61373.08,Pregão,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",3,Concluído
LIC-00115,Quixadá,2023,Construção de escola,263002.08,Pregão,Empresa Sul Engenharia,43.818.836/0001-99,Sócio 21,"Rua 21, 54",6,Atrasado
LIC-00116,Quixadá,2023,Reforma de UBS,235023.77,Tomada de Preços,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",4,Concluído
LIC-00117,Quixadá,2021,Transporte escolar,115110.23,Tomada de Preços,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",4,Concluído
LIC-00118,Quixadá,2020,Manutenção predial,363674.93,Concorrência,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",3,Concluído
LIC-00119,Quixadá,2020,Construção de escola,34014.93,Concorrência,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",3,Em execução
LIC-00120,Quixadá,2021,Fornecimento de merenda,30000.0,Concorrência,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",3,Atrasado
LIC-00121,Quixadá,2020,Reforma de UBS,171199.56,Concorrência,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",3,Em execução
LIC-00122,Quixadá,2021,Transporte escolar,136169.18,Concorrência,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",5,Atrasado
LIC-00123,Quixadá,2020,Aquisição de equipamentos,201522.81,Tomada de Preços,Empresa Norte Construções,12.819.190/0001-68,Sócio 14,"Rua 14, 191",6,Concluído
LIC-00124,Quixadá,2022,Serviços de consultoria,345090.84,Concorrência,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",6,Em execução
LIC-00125,Pacatuba,2023,Fornecimento de merenda,182677.14,Concorrência,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",6,Concluído
LIC-00126,Pacatuba,2022,Aquisição de equipamentos,313978.93,Pregão,Empresa Norte Construções,44.878.285/0001-76,Sócio 23,"Rua 23, 459",4,Concluído
LIC-00127,Pacatuba,2022,Transporte escolar,72750.3,Dispensa,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",8,Concluído
LIC-00128,Pacatuba,2022,Pavimentação de via,122068.44,Dispensa,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",3,Concluído
LIC-00129,Pacatuba,2020,Material didático,262180.87,Dispensa,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",6,Atrasado
LIC-00130,Pacatuba,2022,Limpeza urbana,455083.92,Concorrência,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",5,Em execução
LIC-00131,Pacatuba,2023,Aquisição de equipamentos,118086.48,Concorrência,Empresa Sol Soluções,17.380.177/0001-62,Sócio 16,"Rua 16, 150",7,Em execução
LIC-00132,Pacatuba,2023,Fornecimento de merenda,160075.13,Tomada de Preços,Empresa Sul Engenharia,43.818.836/0001-99,Sócio 21,"Rua 21, 54",3,Concluído
LIC-00133,Pacatuba,2020,Limpeza urbana,363213.92,Concorrência,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",5,Em execução
LIC-00134,Aquiraz,2023,Fornecimento de merenda,273706.67,Pregão,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",3,Em execução
LIC-00135,Aquiraz,2022,Material didático,185431.19,Concorrência,Empresa Terra Engenharia,86.621.839/0001-57,Sócio 24,"Rua 24, 490",3,Atrasado
LIC-00136,Aquiraz,2021,Aquisição de equipamentos,279990.8,Concorrência,Empresa Rio Engenharia,52.643.772/0001-62,Sócio 11,"Rua 11, 103",7,Concluído
LIC-00137,Aquiraz,2023,Fornecimento de merenda,424811.02,Concorrência,Empresa Norte Serviços,50.268.263/0001-52,Sócio 18,"Rua 18, 336",4,Concluído
LIC-00138,Aquiraz,2023,Material didático,243692.55,Pregão,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",3,Concluído
LIC-00139,Aquiraz,2022,Manutenção predial,346594.28,Dispensa,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",7,Atrasado
LIC-00140,Aquiraz,2022,Fornecimento de merenda,120384.21,Pregão,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",5,Em execução
LIC-00141,Aquiraz,2022,Manutenção predial,173901.02,Tomada de Preços,Empresa Sul Serviços,37.806.450/0001-81,Sócio 25,"Rua 25, 298",8,Concluído
LIC-00142,Aquiraz,2023,Serviços de consultoria,30000.0,Tomada de Preços,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",4,Concluído
LIC-00143,Aquiraz,2020,Material didático,219190.11,Pregão,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",5,Atrasado
LIC-00144,Aquiraz,2022,Serviços de consultoria,156203.01,Dispensa,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",7,Concluído
LIC-00145,Aquiraz,2022,Manutenção predial,233804.06,Tomada de Preços,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",5,Concluído
LIC-00146,Canindé,2021,Serviços de consultoria,211582.12,Pregão,Empresa Sul Serviços,37.806.450/0001-81,Sócio 25,"Rua 25, 298",7,Concluído
LIC-00147,Canindé,2023,Reforma de UBS,210718.65,Tomada de Preços,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",6,Em execução
LIC-00148,Canindé,2023,Pavimentação de via,336604.0,Tomada de Preços,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",6,Concluído
LIC-00149,Canindé,2022,Limpeza urbana,375913.91,Dispensa,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",7,Concluído
LIC-00150,Canindé,2023,Pavimentação de via,303806.2,Tomada de Preços,Empresa Rio Engenharia,66.950.878/0001-85,Sócio 17,"Rua 17, 122",4,Concluído
LIC-00151,Canindé,2022,Limpeza urbana,30000.0,Tomada de Preços,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",8,Concluído
LIC-00152,Canindé,2022,Transporte escolar,211289.37,Dispensa,Empresa Sul Engenharia,43.818.836/0001-99,Sócio 21,"Rua 21, 54",8,Concluído
LIC-00153,Russas,2021,Limpeza urbana,133767.35,Pregão,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",7,Concluído
LIC-00154,Russas,2020,Transporte escolar,89708.14,Concorrência,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",6,Em execução
LIC-00155,Russas,2021,Construção de escola,447888.72,Concorrência,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",3,Concluído
LIC-00156,Russas,2022,Fornecimento de merenda,189266.05,Dispensa,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",4,Concluído
LIC-00157,Russas,2022,Serviços de consultoria,169802.5,Concorrência,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",7,Atrasado
LIC-00158,Russas,2022,Fornecimento de merenda,206041.78,Tomada de Preços,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",6,Atrasado
LIC-00159,Russas,2023,Limpeza urbana,92873.21,Concorrência,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",6,Atrasado
LIC-00160,Russas,2022,Construção de escola,210695.92,Tomada de Preços,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",6,Concluído
LIC-00161,Russas,2023,Construção de escola,238933.19,Dispensa,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",4,Concluído
LIC-00162,Russas,2023,Reforma de UBS,97036.83,Tomada de Preços,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",8,Em execução
LIC-00163,Russas,2021,Fornecimento de merenda,356588.88,Concorrência,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",5,Concluído
LIC-00164,Russas,2020,Limpeza urbana,262982.9,Dispensa,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",4,Atrasado
LIC-00165,Russas,2022,Limpeza urbana,89021.66,Dispensa,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",5,Concluído
