imovel_id,bairro,tipo_imovel,area_m2,quartos,vagas_garagem,andar,condicao,preco_total,preco_m2,ano_anuncio,mes_anuncio,dias_no_mercado,vendido
IMO-00137,Cocó,Casa,121,3,2.0,0,Usado,1088196.11,8993.36,2023,2,11.0,0
IMO-00138,Meireles,Apartamento,69,3,2.0,15,Usado,912781.14,13228.71,2022,1,92.0,1
IMO-00139,Cocó,Casa,60,2,1.0,0,Novo,732302.28,12205.04,2024,3,60.0,1
IMO-00140,Dionísio Torres,Apartamento,78,2,1.0,12,Novo,847330.08,10863.21,2024,1,71.0,1
IMO-00141,Luciano Cavalcante,Flat/Studio,35,1,0.0,8,Usado,322711.51,9220.33,2023,8,119.0,1
IMO-00142,Montese,Apartamento,91,3,2.0,9,Usado,245475.61,2697.53,2023,10,22.0,1
IMO-00143,Caucaia,Apartamento,67,2,2.0,1,Usado,214427.57,3200.41,2023,7,195.0,0
IMO-00144,Maracanaú,Apartamento,57,2,2.0,21,Usado,217503.88,3815.86,2022,11,65.0,1
IMO-00145,Eusébio,Flat/Studio,28,1,1.0,4,Usado,209525.78,7483.06,2024,5,173.0,1
IMO-00146,Maracanaú,Apartamento,60,1,2.0,17,Usado,191514.31,3191.91,2022,6,90.0,1
IMO-00147,Montese,Flat/Studio,29,1,1.0,19,Usado,131562.81,4536.65,2023,1,118.0,1
IMO-00148,Maracanaú,Apartamento,86,3,2.0,12,Novo,230363.97,2678.65,2024,9,167.0,1
IMO-00149,Messejana,Apartamento,73,2,2.0,22,Usado,300657.63,4118.6,2023,11,5.0,1
IMO-00150,Maraponga,Flat/Studio,49,1,1.0,20,Novo,219523.73,4480.08,2024,12,61.0,1
IMO-00151,Messejana,Casa,141,4,2.0,0,Novo,602749.38,4274.82,2022,9,175.0,0
IMO-00152,Aquiraz (Beach Park),Casa,179,4,3.0,0,Novo,1803588.69,10075.91,2023,9,79.0,0
IMO-00153,Aquiraz (Beach Park),Casa,175,3,4.0,0,Usado,1161238.97,6635.65,2022,4,130.0,1
IMO-00154,Cocó,Casa,184,4,2.0,0,Novo,2517341.06,13681.2,2024,4,114.0,1
IMO-00155,Parquelândia,Apartamento,64,3,1.0,25,Usado,439526.2,6867.6,2023,1,81.0,0
IMO-00156,Dionísio Torres,Apartamento,30,1,2.0,7,Usado,266321.18,8877.37,2022,1,26.0,1
IMO-00157,Parquelândia,Cobertura,220,3,3.0,21,Usado,1220156.7,5546.17,2024,5,131.0,1
IMO-00158,Edson Queiroz,Apartamento,60,3,2.0,12,Usado,484477.61,8074.63,2023,7,122.0,1
IMO-00159,Maraponga,Casa,93,4,4.0,0,Usado,443117.31,4764.7,2023,11,55.0,0
IMO-00160,Centro,Flat/Studio,50,1,0.0,13,Usado,297435.84,5948.72,2022,10,137.0,0
IMO-00161,Eusébio,Apartamento,32,1,1.0,7,Usado,170536.18,5329.26,2024,10,11.0,1
IMO-00162,Montese,Apartamento,81,3,2.0,22,Usado,423662.91,5230.41,2024,12,62.0,0
IMO-00163,Dionísio Torres,Apartamento,87,2,2.0,3,Usado,797623.64,9168.09,2023,6,49.0,0
IMO-00164,Meireles,Apartamento,98,3,1.0,7,Novo,1375464.85,14035.36,2022,9,138.0,1
IMO-00165,Maraponga,Apartamento,77,2,2.0,4,Usado,381953.69,4960.44,2022,5,87.0,0
IMO-00166,Cocó,Apartamento,79,3,3.0,20,Usado,940022.16,11899.01,2022,3,46.0,0
IMO-00167,Maraponga,Apartamento,102,3,2.0,25,Usado,438042.36,4294.53,2024,10,156.0,0
IMO-00168,Cocó,Apartamento,57,3,3.0,11,Novo,747368.96,13111.74,2023,4,151.0,1
IMO-00169,Parangaba,Cobertura,162,4,4.0,16,Usado,685395.73,4230.84,2024,3,140.0,1
IMO-00170,Centro,Flat/Studio,32,1,1.0,17,Novo,199555.21,6236.1,2024,12,94.0,1
IMO-00171,Caucaia,Apartamento,82,3,2.0,8,Usado,276229.93,3368.66,2024,1,158.0,1
IMO-00172,Cocó,Apartamento,101,1,2.0,20,Usado,1053561.63,10431.3,2024,7,118.0,0
IMO-00173,Papicu,Apartamento,91,2,1.0,10,Usado,608825.24,6690.39,2024,10,123.0,0
IMO-00174,Eusébio,Apartamento,129,2,1.0,20,Usado,443890.26,3441.01,2022,9,5.0,1
IMO-00175,Parangaba,Casa,159,3,3.0,0,Usado,640351.46,4027.37,2022,10,69.0,1
IMO-00176,Maracanaú,Apartamento,65,2,2.0,25,Usado,248740.22,3826.77,2023,7,41.0,0
IMO-00177,Maracanaú,Casa,164,4,2.0,0,Novo,427087.24,2604.19,2023,12,29.0,1
IMO-00178,Caucaia,Flat/Studio,35,1,1.0,18,Usado,86515.32,2471.87,2024,2,24.0,0
IMO-00179,Messejana,Casa,98,3,3.0,0,Usado,370437.53,3779.97,2023,2,,1
IMO-00180,Eusébio,Apartamento,115,1,1.0,19,Usado,745584.9,6483.35,2022,6,51.0,0
IMO-00181,Aquiraz (Beach Park),Apartamento,108,3,2.0,8,Novo,1026393.79,9503.65,2022,8,109.0,0
IMO-00182,Fátima,Casa,105,3,3.0,0,Usado,645081.27,6143.63,2023,7,189.0,1
IMO-00183,Messejana,Casa,178,4,3.0,0,Novo,860497.56,4834.26,2023,3,183.0,1
IMO-00184,Dionísio Torres,Flat/Studio,38,1,0.0,3,Novo,342907.35,9023.88,2024,1,103.0,1
IMO-00185,Eusébio,Apartamento,121,2,2.0,22,Usado,712509.55,5888.51,2023,9,150.0,1
IMO-00186,Eusébio,Apartamento,81,1,1.0,10,Usado,385904.34,4764.25,2023,1,170.0,1
IMO-00187,Montese,Flat/Studio,25,1,0.0,18,Novo,106161.96,4246.48,2024,9,30.0,1
IMO-00188,Caucaia,Casa,128,4,2.0,0,Novo,416044.73,3250.35,2023,7,164.0,1
IMO-00189,Aldeota,Casa,118,3,3.0,0,Usado,1439048.67,12195.33,2024,12,133.0,1
IMO-00190,Parangaba,Casa,60,3,1.0,0,Usado,239274.6,3987.91,2023,4,21.0,0
IMO-00191,Caucaia,Apartamento,124,3,1.0,8,Novo,342431.94,2761.55,2024,12,95.0,0
IMO-00192,Eusébio,Flat/Studio,40,1,1.0,17,Usado,254869.36,6371.73,2024,7,36.0,1
IMO-00193,Varjota,Flat/Studio,35,1,1.0,18,Novo,393565.3,11244.72,2023,7,86.0,1
IMO-00194,Parquelândia,Apartamento,92,4,2.0,17,Usado,678944.01,7379.83,2022,3,40.0,1
IMO-00195,Maracanaú,Apartamento,101,4,1.0,4,Novo,280775.14,2779.95,2023,10,146.0,0
IMO-00196,Dionísio Torres,Apartamento,70,3,1.0,7,Usado,514191.52,7345.59,2022,3,59.0,0
IMO-00197,Montese,Apartamento,70,4,2.0,7,Usado,232179.39,3316.85,2022,1,150.0,1
IMO-00198,Messejana,Apartamento,95,3,1.0,3,Novo,394381.87,4151.39,2023,1,5.0,1
IMO-00199,Varjota,Apartamento,74,3,3.0,21,Usado,642036.48,8676.17,2023,1,141.0,0
IMO-00200,Aquiraz (Beach Park),Cobertura,162,4,4.0,17,Novo,1343843.37,8295.33,2022,7,194.0,0
IMO-00201,Caucaia,Apartamento,55,3,2.0,25,Novo,204888.56,3725.25,2024,11,30.0,0
IMO-00202,Eusébio,Apartamento,81,1,1.0,24,Usado,487019.24,6012.58,2022,3,167.0,1
IMO-00203,Edson Queiroz,Apartamento,87,3,1.0,18,Usado,688890.84,7918.29,2024,12,11.0,1
IMO-00204,Messejana,Casa,101,4,4.0,0,Novo,452408.16,4479.29,2022,9,5.0,1
IMO-00205,Messejana,Apartamento,37,2,2.0,5,Novo,168057.31,4542.09,2023,4,20.0,1
IMO-00206,Fátima,Flat/Studio,40,1,1.0,20,Usado,323456.28,8086.41,2022,10,55.0,1
IMO-00207,Centro,Casa,184,5,2.0,0,Novo,937428.94,5094.72,2024,9,145.0,1
IMO-00208,Luciano Cavalcante,Flat/Studio,35,1,0.0,13,Novo,293467.56,8384.79,2024,4,158.0,1
IMO-00209,Parquelândia,Apartamento,51,3,3.0,24,Usado,303534.31,5951.65,2022,9,77.0,0
IMO-00210,Aquiraz (Beach Park),Casa,76,3,2.0,0,Usado,678058.57,8921.82,2022,3,5.0,1
IMO-00211,Cocó,Casa,135,4,4.0,0,Usado,1168452.67,8655.2,2022,9,144.0,1
IMO-00212,Cocó,Apartamento,92,1,3.0,6,Novo,882438.02,9591.72,2024,4,33.0,0
IMO-00213,Aquiraz (Beach Park),Apartamento,71,1,2.0,18,Novo,568050.36,8000.71,2022,1,90.0,1
IMO-00214,Benfica,Flat/Studio,37,1,0.0,11,Usado,169265.02,4574.73,2024,12,9.0,1
IMO-00215,Messejana,Cobertura,182,4,2.0,24,Novo,801810.29,4405.55,2023,10,104.0,1
IMO-00216,Luciano Cavalcante,Apartamento,52,3,2.0,14,Novo,566417.49,10892.64,2022,1,81.0,0
IMO-00217,Edson Queiroz,Casa,158,2,2.0,0,Usado,1018730.07,6447.66,2024,10,7.0,1
IMO-00218,Edson Queiroz,Apartamento,52,1,2.0,13,Usado,508177.68,9772.65,2023,4,106.0,1
IMO-00219,Montese,Casa,175,4,1.0,0,Novo,940011.01,5371.49,2022,2,163.0,0
IMO-00220,Aldeota,Flat/Studio,37,1,0.0,2,Novo,482469.47,13039.72,2024,8,78.0,0
IMO-00221,Maraponga,Cobertura,158,4,3.0,27,Novo,823731.09,5213.49,2024,7,135.0,1
IMO-00222,Papicu,Apartamento,77,3,2.0,8,Novo,626611.29,8137.81,2024,4,157.0,1
IMO-00223,Caucaia,Apartamento,48,3,2.0,10,Novo,161441.44,3363.36,2023,12,5.0,0
IMO-00224,Maraponga,Apartamento,78,3,2.0,24,Usado,359587.27,4610.09,2024,5,134.0,1
IMO-00225,Varjota,Apartamento,55,4,2.0,18,Usado,510895.4,9289.01,2022,4,5.0,1
IMO-00226,Benfica,Casa,125,2,1.0,0,Usado,549119.17,4392.95,2023,8,172.0,1
IMO-00227,Aquiraz (Beach Park),Casa,285,3,2.0,0,Novo,2264147.4,7944.38,2023,1,112.0,1
IMO-00228,Fátima,Casa,61,3,3.0,0,Usado,380363.98,6235.48,2023,6,5.0,1
IMO-00229,Edson Queiroz,Flat/Studio,41,1,1.0,7,Usado,346500.6,8451.23,2022,12,69.0,0
IMO-00230,Eusébio,Apartamento,48,3,2.0,22,Usado,266638.67,5554.97,2023,12,85.0,1
IMO-00231,Montese,Flat/Studio,31,1,1.0,7,Novo,163861.86,5285.87,2023,3,113.0,1
IMO-00232,Aldeota,Casa,60,4,3.0,0,Usado,765335.02,12755.58,2023,3,147.0,1
IMO-00233,Luciano Cavalcante,Apartamento,44,3,1.0,24,Usado,404353.03,9189.84,2024,11,5.0,0
IMO-00234,Centro,Apartamento,31,2,1.0,22,Novo,152835.98,4930.19,2023,11,5.0,1
IMO-00235,Dionísio Torres,Apartamento,91,4,1.0,2,Usado,856441.77,9411.45,2023,10,157.0,1
IMO-00236,Aldeota,Casa,236,3,2.0,0,Usado,1925696.56,8159.73,2023,4,72.0,1
IMO-00237,Luciano Cavalcante,Apartamento,114,2,2.0,21,Usado,1131938.54,9929.29,2024,10,268.0,1
IMO-00238,Centro,Casa,104,2,3.0,0,Usado,565782.23,5440.21,2023,6,80.0,0
IMO-00239,Caucaia,Apartamento,94,2,1.0,9,Usado,278693.35,2964.82,2024,7,78.0,1
IMO-00240,Papicu,Apartamento,84,3,2.0,18,Usado,530135.48,6311.14,2024,7,59.0,1
IMO-00241,Papicu,Flat/Studio,24,1,0.0,10,Novo,182826.78,7617.78,2024,5,85.0,1
IMO-00242,Maracanaú,Casa,182,3,2.0,0,Usado,608584.95,3343.87,2024,2,94.0,1
IMO-00243,Aldeota,Apartamento,97,2,2.0,10,Usado,1046712.17,10790.85,2024,5,95.0,1
IMO-00244,Maracanaú,Apartamento,78,3,,15,Usado,312382.22,4004.9,2023,4,88.0,1
IMO-00245,Meireles,Casa,181,5,2.0,0,Usado,2102524.26,11616.16,2022,1,186.0,1
IMO-00246,Maracanaú,Apartamento,80,3,1.0,24,Usado,300597.35,3757.47,2024,11,5.0,1
IMO-00247,Eusébio,Apartamento,40,3,3.0,11,Novo,207943.67,5198.59,2024,12,29.0,1
IMO-00248,Caucaia,Casa,157,4,2.0,0,Novo,667049.9,4248.73,2023,7,,1
IMO-00249,Eusébio,Apartamento,160,3,2.0,4,Usado,564155.99,3525.97,2023,2,41.0,1
IMO-00250,Parangaba,Apartamento,80,3,1.0,25,Usado,331046.43,4138.08,2024,1,58.0,0
IMO-00251,Benfica,Cobertura,145,3,4.0,24,Novo,894967.15,6172.19,2024,9,173.0,1
IMO-00252,Papicu,Casa,189,2,2.0,0,Novo,1631714.95,8633.41,2024,10,67.0,0
IMO-00253,Aldeota,Casa,134,3,2.0,0,Usado,1329668.03,9922.9,2023,1,12.0,1
IMO-00254,Parangaba,Apartamento,64,2,3.0,25,Usado,291930.29,4561.41,2023,4,72.0,0
