pedido_id,data_pedido,hora_pedido,categoria,produto_id,preco_unitario,quantidade,valor_total,frete,estado_cliente,status_pedido,nota_avaliacao
PED-000070,2024-09-05,09:39,Eletrônicos,PROD-0311,367.59,1,367.59,15.34,MG,Cancelado,
PED-000071,2024-06-27,08:17,Moda Masculina,PROD-0356,147.72,1,147.72,36.31,PI,Entregue,5.0
PED-000072,2024-11-25,18:04,Eletrônicos,PROD-0329,304.9,1,304.9,20.08,MG,Entregue,4.0
PED-000073,2023-10-05,16:43,Moda Feminina,PROD-0130,25.62,1,25.62,31.02,MA,Entregue,2.0
PED-000074,2024-08-17,20:42,Moda Feminina,PROD-0482,103.4,1,103.4,5.06,GO,Cancelado,
PED-000075,2024-04-04,17:07,Eletrônicos,PROD-0105,633.7,1,633.7,40.19,RN,Em trânsito,
PED-000076,2023-02-01,14:34,Moda Feminina,PROD-0271,112.97,2,225.95,21.08,BA,Entregue,4.0
PED-000077,2023-06-19,15:26,Casa & Decoração,PROD-0016,219.34,2,438.68,35.09,PE,Cancelado,
PED-000078,2024-11-07,19:29,Moda Feminina,PROD-0095,29.94,1,29.94,43.06,MG,Cancelado,
PED-000079,2024-10-18,15:40,Moda Masculina,PROD-0198,89.04,1,89.04,40.38,CE,Entregue,5.0
PED-000080,2023-04-23,09:30,Eletrônicos,PROD-0062,403.24,1,403.24,14.6,CE,Entregue,5.0
PED-000081,2024-04-12,06:48,Beleza & Saúde,PROD-0305,37.92,2,75.83,18.04,SE,Entregue,3.0
PED-000082,2024-01-26,15:11,Casa & Decoração,PROD-0042,256.74,1,256.74,41.0,SP,Em trânsito,
PED-000083,2023-07-02,01:47,Moda Masculina,PROD-0306,122.34,1,122.34,13.6,PE,Cancelado,
PED-000084,2023-01-20,15:59,Moda Feminina,PROD-0292,86.2,1,86.2,41.38,CE,Entregue,3.0
PED-000085,2024-04-07,12:52,Infantil,PROD-0193,49.87,1,49.87,16.75,CE,Entregue,5.0
PED-000086,2023-11-22,08:48,Infantil,PROD-0257,56.78,1,56.78,22.0,SP,Entregue,5.0
PED-000087,2023-03-23,16:52,Eletrônicos,PROD-0140,703.54,3,2110.62,38.08,SP,Devolvido,
PED-000088,2024-06-06,14:07,Eletrônicos,PROD-0190,352.61,1,352.61,14.95,PA,Em trânsito,
PED-000089,2023-10-11,21:25,Eletrônicos,PROD-0310,576.46,1,576.46,37.27,SE,Devolvido,
PED-000090,2024-10-01,22:26,Moda Masculina,PROD-0467,139.38,1,139.38,24.38,CE,Entregue,4.0
PED-000091,2024-11-13,20:08,Esporte & Lazer,PROD-0066,214.36,1,214.36,27.55,PB,Devolvido,
PED-000092,2023-01-12,12:25,Moda Feminina,PROD-0457,173.85,2,347.71,12.08,RJ,Devolvido,
PED-000093,2023-12-20,11:37,Infantil,PROD-0377,78.53,2,157.07,35.06,RN,Entregue,3.0
PED-000094,2024-05-03,19:25,Casa & Decoração,PROD-0007,161.32,1,161.32,36.24,RJ,Entregue,4.0
PED-000095,2023-11-05,08:16,Casa & Decoração,PROD-0271,337.4,2,674.8,13.01,CE,Entregue,2.0
PED-000096,2023-07-14,22:38,Moda Feminina,PROD-0153,91.79,1,91.79,7.66,SE,Entregue,1.0
PED-000097,2023-02-20,15:42,Esporte & Lazer,PROD-0334,240.24,1,240.24,17.2,RN,Entregue,5.0
PED-000098,2024-11-08,09:02,Infantil,PROD-0265,129.75,1,129.75,5.67,PA,Entregue,4.0
PED-000099,2024-08-11,13:09,Infantil,PROD-0427,80.81,1,80.81,30.78,GO,Devolvido,
PED-000100,2024-11-18,12:10,Esporte & Lazer,PROD-0497,183.5,1,183.5,18.18,PE,Entregue,5.0
PED-000101,2024-12-27,15:03,Casa & Decoração,PROD-0483,209.85,2,419.7,22.12,CE,Devolvido,
PED-000102,2023-04-15,15:16,Casa & Decoração,PROD-0206,182.51,1,182.51,39.29,BA,Entregue,5.0
PED-000103,2024-06-30,08:00,Moda Feminina,PROD-0480,122.82,1,122.82,21.36,PE,Devolvido,
PED-000104,2024-06-22,12:21,Acessórios,PROD-0127,116.14,1,116.14,5.27,CE,Entregue,5.0
PED-000105,2023-11-11,13:07,Esporte & Lazer,PROD-0050,282.65,1,282.65,39.02,SP,Cancelado,
PED-000106,2023-01-14,05:31,Eletrônicos,PROD-0215,391.56,1,391.56,7.48,BA,Cancelado,
PED-000107,2023-03-30,17:48,Esporte & Lazer,PROD-0100,219.23,1,219.23,25.63,PB,Entregue,4.0
PED-000108,2023-08-04,13:12,Moda Masculina,PROD-0282,193.04,1,193.04,22.94,CE,Entregue,3.0
PED-000109,2024-09-15,00:17,Eletrônicos,PROD-0496,449.71,2,899.42,7.63,CE,Entregue,4.0
PED-000110,2023-01-06,16:30,Eletrônicos,PROD-0471,227.39,1,227.39,30.19,CE,Entregue,5.0
PED-000111,2024-12-05,14:49,Acessórios,PROD-0181,39.32,1,39.32,8.14,CE,Cancelado,
PED-000112,2024-01-28,09:16,Moda Feminina,PROD-0177,15.0,1,15.0,25.36,PR,Cancelado,
PED-000113,2023-12-21,14:05,Esporte & Lazer,PROD-0128,121.04,1,121.04,,PR,Devolvido,
PED-000114,2024-09-08,16:58,Eletrônicos,PROD-0126,758.38,2,1516.76,5.45,BA,Entregue,2.0
PED-000115,2023-01-13,16:20,Infantil,PROD-0013,88.86,1,88.86,37.17,CE,Entregue,3.0
PED-000116,2024-11-28,09:24,Eletrônicos,PROD-0421,484.19,2,968.39,19.87,CE,Entregue,3.0
PED-000117,2024-07-11,14:43,Acessórios,PROD-0312,58.28,1,58.28,17.87,BA,Entregue,3.0
PED-000118,2024-12-15,11:57,Eletrônicos,PROD-0176,415.2,1,415.2,33.89,PE,Entregue,5.0
PED-000119,2024-03-03,08:03,Acessórios,PROD-0250,41.59,1,41.59,38.62,BA,Entregue,5.0
PED-000120,2023-02-13,13:38,Casa & Decoração,PROD-0061,212.34,1,212.34,32.18,SE,Entregue,1.0
PED-000121,2024-09-05,16:05,Casa & Decoração,PROD-0439,141.35,1,141.35,12.99,PA,Entregue,2.0
PED-000122,2023-05-29,18:24,Moda Feminina,PROD-0176,26.42,1,26.42,,SP,Cancelado,
PED-000123,2023-06-16,18:15,Moda Masculina,PROD-0345,99.36,1,99.36,36.95,CE,Em trânsito,
PED-000124,2023-06-12,08:20,Moda Masculina,PROD-0140,116.05,1,116.05,24.1,PI,Em trânsito,
PED-000125,2024-01-08,16:18,Eletrônicos,PROD-0041,539.25,1,539.25,40.82,PE,Entregue,5.0
PED-000126,2024-03-30,17:18,Eletrônicos,PROD-0296,102.01 ,1,102.01,34.17,CE,Cancelado,
PED-000127,2023-10-06,12:50,Eletrônicos,PROD-0296,143.65,1,143.65,33.12,SP,Cancelado,
PED-000128,2024-01-20,20:23,Moda Masculina,PROD-0067,216.46,1,216.46,17.05,CE,Entregue,5.0
PED-000129,2024-01-18,13:35,Infantil,PROD-0203,126.2,1,126.2,6.66,CE,Entregue,4.0
PED-000130,2023-09-02,12:00,Eletrônicos,PROD-0429,330.05,1,330.05,22.16,CE,Entregue,5.0
PED-000131,2023-01-09,15:37,Moda Feminina,PROD-0015,64.99,3,194.97,14.49,GO,Entregue,5.0
PED-000132,2023-05-27,11:01,Casa & Decoração,PROD-0292,144.49,1,144.49,35.28,SP,Em trânsito,
PED-000133,2024-04-23,16:23,Moda Masculina,PROD-0023,127.19,1,127.19,26.34,CE,Entregue,5.0
PED-000134,2023-05-17,19:29,Eletrônicos,PROD-0140,356.7,1,356.7,15.31,PR,Entregue,5.0
PED-000135,2024-10-07,15:08,Moda Feminina,PROD-0047,58.71,1,58.71,14.01,SP,Cancelado,
PED-000136,2023-05-08,14:40,Casa & Decoração,PROD-0272,161.88,1,161.88,30.17,PA,Cancelado,
PED-000137,2023-08-05,10:53,Beleza & Saúde,PROD-0253,53.8,2,107.59,10.98,RS,Cancelado,
PED-000138,2024-09-23,13:20,Esporte & Lazer,PROD-0216,223.9,1,223.9,9.1,SP,Devolvido,
PED-000139,2023-05-23,11:27,Moda Feminina,PROD-0101,54.86,1,54.86,5.64,CE,Devolvido,
PED-000140,2023-12-28,18:04,Eletrônicos,PROD-0118,531.22,1,531.22,7.71,SP,Entregue,5.0
PED-000141,2024-11-26,16:05,Eletrônicos,PROD-0155,425.83,1,425.83,12.17,PR,Entregue,4.0
PED-000142,2023-03-18,09:37,Eletrônicos,PROD-0375,504.87,1,504.87,43.75,RJ,Devolvido,
PED-000143,2024-01-10,09:43,Beleza & Saúde,PROD-0478,115.82,1,115.82,9.92,PE,Em trânsito,
PED-000144,2023-03-23,17:59,Casa & Decoração,PROD-0110,192.96,1,192.96,21.18,MG,Entregue,5.0
PED-000145,2024-03-15,11:56,Moda Feminina,PROD-0489,175.68,1,175.68,20.84,CE,Em trânsito,
PED-000146,2023-01-08,11:29,Moda Feminina,PROD-0411,68.43,1,68.43,38.9,CE,Em trânsito,
PED-000147,2023-04-01,14:15,Infantil,PROD-0124,108.64,1,108.64,22.3,PR,Cancelado,
PED-000148,2023-08-11,09:52,Moda Feminina,PROD-0290,138.12,1,138.12,10.33,PE,Entregue,5.0
PED-000149,2024-02-19,10:02,Moda Masculina,PROD-0459,179.74,1,179.74,42.39,MG,Devolvido,
PED-000150,2024-04-16,11:55,Casa & Decoração,PROD-0319,244.06,1,244.06,41.74,CE,Em trânsito,
PED-000151,2024-12-27,08:46,Casa & Decoração,PROD-0001,227.5,1,227.5,15.05,SP,Entregue,4.0
PED-000152,2023-03-08,12:12,Moda Masculina,PROD-0254,175.15,1,175.15,43.46,PR,Entregue,3.0
PED-000153,2024-11-06,06:37,Casa & Decoração,PROD-0169,319.37,1,319.37,39.48,MA,Cancelado,
PED-000154,2023-10-03,16:08,Infantil,PROD-0354,93.07,2,186.14,22.46,CE,Cancelado,
PED-000155,2024-09-15,15:12,Casa & Decoração,PROD-0080,324.88,1,324.88,13.54,CE,Entregue,5.0
PED-000156,2023-07-08,17:27,Acessórios,PROD-0112,67.01,1,67.01,23.7,PA,Entregue,4.0
PED-000157,2023-07-28,21:26,Infantil,PROD-0411,176.83,1,176.83,6.13,MG,Entregue,5.0
PED-000158,2024-03-29,00:35,Eletrônicos,PROD-0087,338.79,1,338.79,29.57,CE,Cancelado,
PED-000159,2024-09-30,13:19,Moda Feminina,PROD-0254,118.16,1,118.16,10.29,SP,Entregue,5.0
PED-000160,2023-10-04,02:41,Infantil,PROD-0191,80.13,1,80.13,21.81,RJ,Entregue,4.0
PED-000161,2024-08-05,20:53,Infantil,PROD-0183,100.25,1,100.25,31.49,GO,Entregue,5.0
PED-000162,2024-10-11,19:51,Acessórios,PROD-0145,60.59,1,60.59,34.16,MA,Devolvido,
PED-000163,2024-08-10,12:20,Casa & Decoração,PROD-0430,224.87,1,224.87,34.94,BA,Em trânsito,
PED-000164,2024-07-08,16:53,Acessórios,PROD-0379,88.22,1,88.22,6.38,RS,Devolvido,
PED-000165,2024-09-27,19:52,Eletrônicos,PROD-0224,185.27,1,185.27,36.0,MA,Devolvido,
PED-000166,2023-10-31,09:08,Esporte & Lazer,PROD-0052,105.86,1,105.86,9.06,PB,Devolvido,
PED-000167,2023-06-10,16:37,Esporte & Lazer,PROD-0478,189.7,2,379.41,16.53,MA,Entregue,4.0
PED-000168,2023-12-14,09:01,Moda Feminina,PROD-0471,102.24,1,102.24,34.65,CE,Devolvido,
PED-000169,2023-06-17,08:12,Beleza & Saúde,PROD-0083,72.1,1,72.1,42.17,PB,Entregue,5.0
PED-000170,2023-12-16,12:29,Esporte & Lazer,PROD-0231,121.31,1,121.31,10.15,PE,Entregue,5.0
PED-000171,2024-06-22,15:41,Eletrônicos,PROD-0375,115.62,1,115.62,8.08,SP,Entregue,4.0
PED-000172,2023-07-24,16:16,Casa & Decoração,PROD-0167,155.14,1,155.14,35.12,SP,Entregue,4.0
PED-000173,2024-06-11,12:28,Casa & Decoração,PROD-0440,215.17,1,215.17,39.25,MG,Entregue,5.0
PED-000174,2024-03-31,08:25,Beleza & Saúde,PROD-0068,59.95,1,59.95,,CE,Entregue,4.0
PED-000175,2023-01-08,07:20,Eletrônicos,PROD-0475,246.68,3,740.05,24.97,SP,Cancelado,
PED-000176,2024-06-19,21:20,Eletrônicos,PROD-0495,516.6,2,1033.2,9.0,RS,Cancelado,
PED-000177,2023-06-26,10:27,Moda Masculina,PROD-0439,100.67,1,100.67,37.33,CE,Devolvido,
PED-000178,2023-05-16,10:03,Eletrônicos,PROD-0090,578.14,1,578.14,9.26,RJ,Cancelado,
PED-000179,2023-09-20,19:16,Moda Feminina,PROD-0274,34.75,1,34.75,21.26,MG,Entregue,3.0
PED-000180,2024-03-12,02:49,Moda Masculina,PROD-0491,60.0,1,60.0,23.11,SP,Entregue,5.0
PED-000181,2023-09-09,12:02,Infantil,PROD-0024,109.18,1,109.18,7.43,SP,Devolvido,
PED-000182,2024-12-11,11:03,Casa & Decoração,PROD-0343,182.06,1,182.06,13.5,PA,Entregue,5.0
PED-000183,2024-08-15,01:49,Eletrônicos,PROD-0140,260.68,2,521.35,10.4,CE,Em trânsito,
PED-000184,2023-12-11,23:35,Moda Masculina,PROD-0469,99.5,1,99.5,16.95,CE,Entregue,4.0
PED-000185,2023-02-13,13:22,Beleza & Saúde,PROD-0328,70.27,1,70.27,24.93,SP,Entregue,4.0
PED-000186,2023-08-17,14:43,Moda Feminina,PROD-0001,82.25,2,164.5,44.3,SP,Entregue,3.0
PED-000187,2023-06-22,16:16,Moda Masculina,PROD-0500,156.52,1,156.52,26.22,PE,Entregue,4.0
PED-000188,2023-05-24,11:17,Casa & Decoração,PROD-0289,177.54,1,177.54,14.09,MA,Entregue,3.0
PED-000189,2024-03-26,16:30,Moda Masculina,PROD-0378,112.82,2,225.65,40.97,RJ,Entregue,2.0
PED-000190,2023-10-01,23:43,Casa & Decoração,PROD-0329,257.98,1,257.98,17.8,CE,Entregue,5.0
PED-000191,2024-06-16,19:44,Casa & Decoração,PROD-0016,265.68,1,265.68,40.66,RN,Entregue,3.0
PED-000192,2024-10-20,11:35,Eletrônicos,PROD-0247,566.15,1,566.15,21.8,BA,Em trânsito,
PED-000193,2023-10-27,20:13,Moda Feminina,PROD-0349,121.2,1,121.2,30.69,SE,Entregue,5.0
PED-000194,2023-03-30,11:51,Casa & Decoração,PROD-0077,205.28,1,205.28,26.64,PI,Em trânsito,
PED-000195,2023-10-29,17:56,Eletrônicos,PROD-0121,366.62,1,366.62,42.11,SP,Entregue,5.0
PED-000196,2023-05-17,13:09,Moda Masculina,PROD-0117,193.87,1,193.87,,RJ,Entregue,5.0
PED-000197,2024-04-27,16:36,Moda Feminina,PROD-0322,158.37,1,158.37,33.58,PE,Entregue,5.0
PED-000198,2024-10-15,12:42,Infantil,PROD-0361,15.0,1,15.0,28.24,SP,Em trânsito,
PED-000199,2023-09-23,06:50,Eletrônicos,PROD-0237,355.67,1,355.67,34.96,RJ,Entregue,5.0
PED-000200,2024-06-10,06:37,Moda Feminina,PROD-0391,179.28,1,179.28,44.5,RJ,Entregue,4.0
PED-000201,2024-12-30,15:10,Eletrônicos,PROD-0492,222.51,1,222.51,,MG,Entregue,4.0
PED-000202,2023-01-18,16:25,Moda Feminina,PROD-0403,117.89,1,117.89,42.43,CE,Entregue,3.0
PED-000203,2024-11-14,15:40,Beleza & Saúde,PROD-0402,24.46,1,24.46,38.89,PA,Devolvido,
PED-000204,2023-04-11,13:08,Beleza & Saúde,PROD-0390,63.04,2,126.07,20.52,CE,Entregue,5.0
PED-000205,2024-09-02,04:07,Moda Feminina,PROD-0119,135.92,1,135.92,29.27,BA,Entregue,4.0
PED-000206,2023-08-18,10:45,Casa & Decoração,PROD-0024,336.52,1,336.52,23.16,RN,Entregue,5.0
PED-000207,2023-09-06,16:02,Eletrônicos,PROD-0182,264.42,1,264.42,12.64,SP,Entregue,5.0
PED-000208,2024-12-08,12:51,Eletrônicos,PROD-0451,437.12,1,437.12,31.33,CE,Entregue,5.0
PED-000209,2023-08-12,07:21,Eletrônicos,PROD-0269,537.88,1,537.88,30.75,CE,Entregue,4.0
PED-000210,2024-05-04,15:43,Infantil,PROD-0261,63.84,1,63.84,17.45,CE,Entregue,3.0
PED-000211,2024-07-04,09:04,Eletrônicos,PROD-0332,391.84,2,783.68,42.45,SP,Entregue,5.0
PED-000212,2023-11-27,19:12,Eletrônicos,PROD-0398,456.09,1,456.09,37.77,SE,Devolvido,
PED-000213,2024-06-30,15:47,Moda Feminina,PROD-0328,157.9,1,157.9,10.68,BA,Entregue,5.0
PED-000214,2023-11-06,18:40,Moda Masculina,PROD-0295,104.57,1,104.57,44.05,RJ,Devolvido,
PED-000215,2023-10-28,03:48,Acessórios,PROD-0069,18.12,3,54.36,13.72,PR,Entregue,2.0
PED-000216,2024-09-19,11:13,Beleza & Saúde,PROD-0188,109.23,1,109.23,42.8,MG,Entregue,4.0
PED-000217,2024-04-08,16:10,Casa & Decoração,PROD-0397,251.75,1,251.75,43.47,PE,Devolvido,
PED-000218,2023-08-02,16:08,Casa & Decoração,PROD-0117,268.74,1,268.74,44.84,CE,Entregue,5.0
PED-000219,2023-08-21,09:05,Eletrônicos,PROD-0409,291.34,1,291.34,28.32,SE,Entregue,4.0
PED-000220,2024-02-03,03:29,Infantil,PROD-0200,122.6,1,122.6,,SP,Em trânsito,
PED-000221,2023-06-30,16:22,Esporte & Lazer,PROD-0478,79.73,2,159.46,15.71,MG,Em trânsito,
PED-000222,2024-09-16,07:04,Eletrônicos,PROD-0208,377.57 ,2,755.13,31.58,SP,Entregue,2.0
PED-000223,2024-08-01,14:41,Beleza & Saúde,PROD-0456,103.02,1,103.02,20.46,SP,Entregue,5.0
PED-000224,2023-03-01,16:16,Beleza & Saúde,PROD-0377,79.77,1,79.77,16.51,CE,Em trânsito,
PED-000225,2023-05-12,15:46,Infantil,PROD-0078,77.69,1,77.69,6.15,MG,Entregue,5.0
PED-000226,2024-03-10,22:40,Eletrônicos,PROD-0096,698.72,1,698.72,33.28,RN,Devolvido,
PED-000227,2023-04-30,14:12,Eletrônicos,PROD-0040,663.28,3,1989.83,22.42,RJ,Devolvido,
PED-000228,2023-01-02,08:20,Esporte & Lazer,PROD-0066,263.31,1,263.31,38.96,PI,Entregue,3.0
PED-000229,2023-05-17,16:14,Moda Masculina,PROD-0284,274.69,1,274.69,43.88,BA,Em trânsito,
PED-000230,2023-08-15,19:31,Eletrônicos,PROD-0168,545.09,1,545.09,29.57,PA,Em trânsito,
PED-000231,2023-06-03,15:17,Beleza & Saúde,PROD-0156,67.97,1,67.97,7.51,CE,Cancelado,
PED-000232,2024-02-09,20:27,Infantil,PROD-0251,137.99,2,275.98,20.35,CE,Entregue,2.0
PED-000233,2023-05-12,11:04,Casa & Decoração,PROD-0389,92.25 ,1,92.25,19.24,RS,Cancelado,
PED-000234,2023-06-11,15:31,Esporte & Lazer,PROD-0111,302.3,2,604.59,6.8,SP,Entregue,4.0
PED-000235,2024-07-14,11:11,Esporte & Lazer,PROD-0131,286.15,1,286.15,42.01,SP,Entregue,5.0
PED-000236,2024-07-16,12:09,Moda Masculina,PROD-0490,187.32,1,187.32,35.2,PI,Entregue,4.0
PED-000237,2023-08-28,06:59,Eletrônicos,PROD-0184,444.77,1,444.77,12.92,SP,Entregue,4.0
PED-000238,2023-04-06,07:44,Beleza & Saúde,PROD-0069,66.65 ,1,66.65,13.55,RJ,Cancelado,
PED-000239,2024-12-05,01:00,Casa & Decoração,PROD-0192,91.91,1,91.91,26.13,SP,Entregue,2.0
PED-000240,2024-05-29,05:06,Esporte & Lazer,PROD-0167,217.94,3,653.83,28.29,MG,Entregue,4.0
PED-000241,2023-04-05,21:16,Moda Masculina,PROD-0281,77.72,2,155.43,26.94,RJ,Entregue,4.0
